dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,4,1.1987
cuda,AlbertForQuestionAnswering,4,1.2029
cuda,AllenaiLongformerBase,1,1.0446
cuda,BartForCausalLM,8,1.0008
cuda,BartForConditionalGeneration,2,1.0009
cuda,BertForMaskedLM,64,0.9681
cuda,BertForQuestionAnswering,64,1.0115
cuda,BigBird,1,0.8604
cuda,BlenderbotSmallForCausalLM,64,0.9263
cuda,BlenderbotSmallForConditionalGeneration,64,0.9521
cuda,CamemBert,1,1.3931
cuda,DebertaForMaskedLM,16,1.0929
cuda,DebertaForQuestionAnswering,16,1.2013
cuda,DebertaV2ForMaskedLM,0,0.0000
cuda,DebertaV2ForQuestionAnswering,4,0.9854
cuda,DistilBertForMaskedLM,32,0.9644
cuda,DistilBertForQuestionAnswering,32,1.0308
cuda,DistillGPT2,1,1.5240
cuda,ElectraForCausalLM,32,1.0058
cuda,ElectraForQuestionAnswering,64,1.2005
cuda,GPT2ForSequenceClassification,4,1.3088
cuda,GPTNeoForCausalLM,0,0.0000
cuda,GPTNeoForSequenceClassification,0,0.0000
cuda,GoogleFnet,1,1.1860
cuda,LayoutLMForMaskedLM,16,1.0589
cuda,LayoutLMForSequenceClassification,16,1.1259
cuda,M2M100ForConditionalGeneration,4,0.9567
cuda,MBartForCausalLM,16,0.9690
cuda,MBartForConditionalGeneration,8,1.0000
cuda,MT5ForConditionalGeneration,4,1.3508
cuda,MegatronBertForCausalLM,8,1.0662
cuda,MegatronBertForQuestionAnswering,8,1.0936
cuda,MobileBertForMaskedLM,16,1.1291
cuda,MobileBertForQuestionAnswering,32,1.1732
cuda,OPTForCausalLM,16,1.0029
cuda,PLBartForCausalLM,16,0.9716
cuda,PLBartForConditionalGeneration,8,1.0027
cuda,PegasusForCausalLM,16,0.9559
cuda,PegasusForConditionalGeneration,8,0.9708
cuda,RobertaForCausalLM,64,0.9698
cuda,RobertaForQuestionAnswering,64,1.0117
cuda,Speech2Text2ForCausalLM,64,1.1588
cuda,T5ForConditionalGeneration,4,0.9751
cuda,T5Small,1,1.4631
cuda,TrOCRForCausalLM,16,0.9792
cuda,XGLMForCausalLM,0,0.0000
cuda,XLNetLMHeadModel,8,1.0901
cuda,YituTechConvBert,1,1.3816
