dev,name,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,AlbertForMaskedLM,4,1,1,477,477,1.0000,0.9976,1.9666
cuda,AlbertForQuestionAnswering,4,1,1,478,478,1.0000,0.9977,1.9846
cuda,AllenaiLongformerBase,1,4,4,3345,3347,0.9994,0.9956,9.2000
cuda,BartForCausalLM,8,1,1,507,507,1.0000,0.9987,2.5364
cuda,BartForConditionalGeneration,2,1,1,1294,1294,1.0000,0.9991,9.8111
cuda,BertForMaskedLM,64,1,1,398,398,1.0000,0.9973,4.8046
cuda,BertForQuestionAnswering,64,1,1,411,411,1.0000,0.9974,4.8781
cuda,BigBird,1,64,75,5457,5526,0.9875,0.9719,7.6089
cuda,BlenderbotSmallForCausalLM,64,1,1,347,347,1.0000,0.9970,1.4897
cuda,BlenderbotSmallForConditionalGeneration,64,1,1,874,874,1.0000,0.9986,5.2064
cuda,CamemBert,1,1,1,408,408,1.0000,0.9969,4.8470
cuda,DebertaForMaskedLM,16,111,51,786,828,0.9493,0.7653,3.4221
cuda,DebertaForQuestionAnswering,16,111,51,797,840,0.9488,0.7786,3.4372
cuda,DebertaV2ForMaskedLM,4,163,99,956,1037,0.9219,0.7837,6.3303
cuda,DebertaV2ForQuestionAnswering,4,163,99,959,1042,0.9203,0.7855,6.3273
cuda,DistilBertForMaskedLM,32,1,1,240,240,1.0000,0.9957,0.9878
cuda,DistilBertForQuestionAnswering,32,1,1,243,243,1.0000,0.9958,0.9787
cuda,DistillGPT2,1,1,1,404,404,1.0000,0.9958,1.6028
cuda,ElectraForCausalLM,32,1,1,415,415,1.0000,0.9972,4.9149
cuda,ElectraForQuestionAnswering,64,1,1,403,403,1.0000,0.9967,4.9431
cuda,GPT2ForSequenceClassification,4,2,2,739,739,1.0000,0.9987,4.2506
cuda,GPTNeoForCausalLM,4,1,1,1276,1276,1.0000,0.9996,7.1545
cuda,GPTNeoForSequenceClassification,4,2,2,1276,1277,0.9992,0.9995,7.2053
cuda,GoogleFnet,1,27,27,242,280,0.8643,0.8138,0.8513
cuda,LayoutLMForMaskedLM,16,1,1,455,455,1.0000,0.9974,5.0214
cuda,LayoutLMForSequenceClassification,16,2,2,454,455,0.9978,0.9955,4.9788
cuda,M2M100ForConditionalGeneration,4,7,7,1320,1321,0.9992,0.9970,5.8287
cuda,MBartForCausalLM,16,1,1,506,506,1.0000,0.9974,2.4822
cuda,MBartForConditionalGeneration,8,1,1,1316,1316,1.0000,0.9992,9.9007
cuda,MT5ForConditionalGeneration,4,1,1,1250,1250,1.0000,0.9980,12.6381
cuda,MegatronBertForCausalLM,8,1,1,769,769,1.0000,0.9985,15.7553
cuda,MegatronBertForQuestionAnswering,8,1,1,792,792,1.0000,0.9987,15.7375
cuda,MobileBertForMaskedLM,16,1,1,1666,1666,1.0000,0.9992,62.5619
cuda,MobileBertForQuestionAnswering,32,1,1,1647,1647,1.0000,0.9991,63.7469
cuda,OPTForCausalLM,16,1,1,606,606,1.0000,0.9973,2.5113
cuda,PLBartForCausalLM,16,1,1,268,268,1.0000,0.9974,1.0971
cuda,PLBartForConditionalGeneration,8,1,1,681,681,1.0000,0.9983,3.6091
cuda,PegasusForCausalLM,16,4,4,505,506,0.9980,0.9967,2.3495
cuda,PegasusForConditionalGeneration,8,7,7,1306,1309,0.9977,0.9983,6.0237
cuda,RobertaForCausalLM,64,1,1,415,416,0.9976,0.9978,4.8577
cuda,RobertaForQuestionAnswering,64,1,1,419,419,1.0000,0.9976,4.8619
cuda,Speech2Text2ForCausalLM,64,4,4,281,282,0.9965,0.9977,1.0606
cuda,T5ForConditionalGeneration,4,1,1,863,863,1.0000,0.9987,7.2575
cuda,T5Small,1,1,1,870,870,1.0000,0.9983,7.1965
cuda,TrOCRForCausalLM,16,1,1,504,504,1.0000,0.9981,2.3883
cuda,XGLMForCausalLM,4,4,4,1001,1003,0.9980,0.9977,6.0176
cuda,XLNetLMHeadModel,8,1,1,975,975,1.0000,0.9995,13.8144
cuda,YituTechConvBert,1,1,1,679,679,1.0000,0.9984,7.8299
