dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.1109
cuda,beit_base_patch16_224,128,0.9717
cuda,botnet26t_256,128,1.1504
cuda,cait_m36_384,4,0.9967
cuda,coat_lite_mini,128,1.0455
cuda,convit_base,64,1.1487
cuda,convmixer_768_32,64,1.0200
cuda,convnext_base,64,0.9876
cuda,crossvit_9_240,64,1.0737
cuda,cspdarknet53,64,0.8635
cuda,deit_base_distilled_patch16_224,128,1.0367
cuda,densenet121,128,1.1026
cuda,dla102,128,1.2516
cuda,dm_nfnet_f0,128,0.6945
cuda,dpn107,64,1.0168
cuda,eca_botnext26ts_256,128,1.0184
cuda,eca_halonext26ts,128,1.0178
cuda,ecaresnet101d,128,1.1940
cuda,ese_vovnet19b_dw,128,1.0538
cuda,fbnetc_100,128,1.0156
cuda,fbnetv3_b,128,0.8556
cuda,gernet_l,128,1.0038
cuda,ghostnet_100,128,1.2064
cuda,gluon_inception_v3,128,1.1110
cuda,gluon_senet154,64,1.1524
cuda,gluon_xception65,32,1.0669
cuda,gmixer_24_224,128,1.0235
cuda,gmlp_s16_224,128,1.0133
cuda,hardcorenas_a,128,1.0366
cuda,hrnet_w18,128,1.2519
cuda,inception_v3,128,1.1109
cuda,jx_nest_base,64,1.1354
cuda,lcnet_050,128,0.8858
cuda,legacy_senet154,0,0.0000
cuda,levit_128,128,1.1434
cuda,mixer_b16_224,128,0.9754
cuda,mixnet_l,128,0.9820
cuda,mnasnet_100,128,1.0286
cuda,mobilenetv2_100,128,0.9171
cuda,mobilenetv3_large_100,128,0.9895
cuda,mobilevit_s,128,1.0585
cuda,nasnetalarge,16,1.0896
cuda,nfnet_l0,128,1.1240
cuda,pit_b_224,64,1.0409
cuda,pnasnet5large,16,1.0818
cuda,poolformer_m36,64,1.0469
cuda,regnety_002,128,1.1704
cuda,repvgg_a2,128,0.9434
cuda,res2net101_26w_4s,128,1.1029
cuda,res2net50_14w_8s,128,1.1669
cuda,res2next50,128,1.1016
cuda,resmlp_12_224,128,1.1983
cuda,resnest101e,64,1.1251
cuda,resnet18,128,1.1487
cuda,rexnet_100,128,0.9842
cuda,sebotnet33ts_256,128,1.0630
cuda,selecsls42b,128,1.1895
cuda,spnasnet_100,128,0.9751
cuda,swin_base_patch4_window7_224,64,1.0665
cuda,swsl_resnext101_32x16d,32,1.0949
cuda,tf_efficientnet_b0,128,0.9616
cuda,tf_mixnet_l,128,0.9819
cuda,tinynet_a,128,0.9184
cuda,tnt_s_patch16_224,128,1.2955
cuda,twins_pcpvt_base,128,1.1166
cuda,visformer_small,128,1.0252
cuda,vit_base_patch16_224,128,0.9895
cuda,volo_d1_224,128,1.0709
cuda,xcit_large_24_p8_224,11,1.0238
