dev,suite,name,graphs,batch_size,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,torchbench,vision_maskrcnn,245.0,4,265.0,3874.0,12019.0,0.3223,0.4607,14.1472
cuda,huggingface,DebertaV2ForQuestionAnswering,163.0,4,99.0,961.0,1042.0,0.9223,0.7856,6.2121
cuda,huggingface,DebertaV2ForMaskedLM,163.0,4,99.0,948.0,1028.0,0.9222,0.785,6.2526
cuda,torchbench,detectron2_maskrcnn,123.0,2,120.0,1214.0,1752.0,0.6929,0.7073,5.0407
cuda,huggingface,DebertaForMaskedLM,111.0,16,51.0,779.0,818.0,0.9523,0.7741,3.4742
cuda,huggingface,DebertaForQuestionAnswering,111.0,16,51.0,786.0,830.0,0.947,0.7757,3.4476
cuda,timm_models,xcit_large_24_p8_224,77.0,11,77.0,1157.0,1427.0,0.8108,0.7708,2.0829
cuda,timm_models,cait_m36_384,76.0,4,76.0,1205.0,1464.0,0.8231,0.7719,2.1284
cuda,huggingface,BigBird,64.0,1,75.0,5452.0,5540.0,0.9841,0.9712,7.7272
cuda,torchbench,hf_BigBird,64.0,1,75.0,5441.0,5528.0,0.9843,0.97,7.7385
cuda,timm_models,tnt_s_patch16_224,50.0,128,50.0,619.0,880.0,0.7034,0.6952,1.3089
cuda,timm_models,gmixer_24_224,49.0,128,49.0,400.0,571.0,0.7005,0.6641,0.8874
cuda,timm_models,volo_d1_224,40.0,128,40.0,525.0,623.0,0.8427,0.8378,1.3344
cuda,timm_models,twins_pcpvt_base,33.0,128,33.0,1060.0,1108.0,0.9567,0.8976,1.9459
cuda,timm_models,gmlp_s16_224,31.0,128,31.0,372.0,454.0,0.8194,0.7836,0.912
cuda,huggingface,GoogleFnet,27.0,1,27.0,241.0,281.0,0.8577,0.8287,0.9798
cuda,timm_models,convit_base,26.0,64,26.0,378.0,533.0,0.7092,0.6568,0.7784
cuda,timm_models,mixer_b16_224,25.0,128,25.0,149.0,236.0,0.6314,0.6435,0.5338
cuda,torchbench,maml,23.0,1,23.0,753.0,1200.0,0.6275,0.5762,10.0253
cuda,timm_models,coat_lite_mini,17.0,128,17.0,493.0,531.0,0.9284,0.8028,0.9919
cuda,timm_models,densenet121,13.0,128,13.0,565.0,575.0,0.9826,0.9958,6.6652
cuda,torchbench,moco,11.0,32,7.0,0.0,-5.0,0.0,0.0,2.0896
cuda,huggingface,M2M100ForConditionalGeneration,7.0,4,7.0,1280.0,1282.0,0.9984,0.998,6.3188
cuda,huggingface,PegasusForConditionalGeneration,7.0,8,7.0,1259.0,1262.0,0.9976,0.9977,6.4124
cuda,torchbench,fastNLP_Bert,6.0,1,6.0,472.0,545.0,0.8661,0.918,4.4754
cuda,torchbench,hf_Reformer,6.0,1,6.0,649.0,653.0,0.9939,0.9897,2.7761
cuda,torchbench,yolov3,5.0,16,3.0,325.0,326.0,0.9969,0.997,15.891
cuda,timm_models,convnext_base,5.0,64,5.0,456.0,464.0,0.9828,0.8714,1.9191
cuda,huggingface,AllenaiLongformerBase,4.0,1,4.0,3279.0,3281.0,0.9994,0.9951,9.6473
cuda,torchbench,hf_Longformer,4.0,1,4.0,3261.0,3264.0,0.9991,0.9945,9.861
cuda,torchbench,tts_angular,4.0,64,4.0,22.0,29.0,0.7586,0.8483,0.4257
cuda,huggingface,PegasusForCausalLM,4.0,16,4.0,512.0,514.0,0.9961,0.9967,2.4324
cuda,huggingface,Speech2Text2ForCausalLM,4.0,64,4.0,275.0,277.0,0.9928,0.9979,1.1804
cuda,huggingface,XGLMForCausalLM,4.0,4,4.0,998.0,999.0,0.999,0.9978,6.2347
cuda,torchbench,speech_transformer,4.0,1,4.0,1109.0,1217.0,0.9113,0.9328,2.9779
cuda,timm_models,swin_base_patch4_window7_224,2.0,64,2.0,1421.0,1427.0,0.9958,0.9283,9.9386
cuda,huggingface,GPT2ForSequenceClassification,2.0,4,2.0,741.0,742.0,0.9987,0.9988,4.4685
cuda,huggingface,LayoutLMForSequenceClassification,2.0,16,2.0,454.0,454.0,1.0,0.9972,5.236
cuda,huggingface,GPTNeoForSequenceClassification,2.0,4,2.0,1273.0,1274.0,0.9992,0.9996,7.4606
cuda,torchbench,tacotron2,0.0,0,,,,,,
cuda,torchbench,pyhpc_isoneutral_mixing,0.0,0,,,,,,
cuda,torchbench,fambench_xlmr,0.0,0,,,,,,
cuda,torchbench,dlrm,0.0,0,,,,,,
cuda,torchbench,Super_SloMo,0.0,0,,,,,,
