dev,name,batch_size,speedup
cuda,BERT_pytorch,16,1.8137
cuda,Background_Matting,4,1.1565
cuda,LearningToPaint,96,1.2348
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,0.9982
cuda,attention_is_all_you_need_pytorch,0,0.0000
cuda,dcgan,32,1.1017
cuda,demucs,4,0.9996
cuda,densenet121,4,1.4502
cuda,detectron2_maskrcnn,0,0.0000
cuda,dlrm,0,0.0000
cuda,drq,1,1.1009
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,1.5191
cuda,hf_Bart,4,1.0732
cuda,hf_Bert,4,1.1797
cuda,hf_BigBird,2,0.8670
cuda,hf_DistilBert,8,1.0524
cuda,hf_GPT2,4,1.4117
cuda,hf_Longformer,2,1.0305
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,8,0.8976
cuda,maml,0,0.0000
cuda,maml_omniglot,1,1.0955
cuda,mnasnet1_0,32,1.3764
cuda,mobilenet_v2,96,1.4865
cuda,mobilenet_v2_quantized_qat,96,1.7561
cuda,mobilenet_v3_large,32,1.4541
cuda,moco,32,0.9962
cuda,nvidia_deeprecommender,256,0.9270
cuda,opacus_cifar10,0,0.0000
cuda,pyhpc_equation_of_state,0,0.0000
cuda,pyhpc_isoneutral_mixing,0,0.0000
cuda,pyhpc_turbulent_kinetic_energy,0,0.0000
cuda,pytorch_CycleGAN_and_pix2pix,1,1.3210
cuda,pytorch_stargan,16,1.1061
cuda,pytorch_struct,200,1.0789
cuda,pytorch_unet,1,1.1895
cuda,resnet18,16,1.4019
cuda,resnet50,32,1.2910
cuda,resnet50_quantized_qat,32,1.6429
cuda,resnext50_32x4d,8,1.3509
cuda,shufflenet_v2_x1_0,128,1.4217
cuda,soft_actor_critic,256,0.9925
cuda,speech_transformer,32,1.0245
cuda,squeezenet1_1,32,1.1509
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,1.3469
cuda,timm_efficientnet,32,1.4609
cuda,timm_nfnet,128,1.2274
cuda,timm_regnet,32,1.4611
cuda,timm_resnest,32,1.3153
cuda,timm_vision_transformer,8,1.3310
cuda,timm_vovnet,32,1.1754
cuda,tts_angular,64,0.9928
cuda,vgg16,64,0.9972
cuda,vision_maskrcnn,4,0.9747
cuda,yolov3,16,0.9963
