dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,dm_nfnet_f0,128,0.7013,1.2282,1.4285
cuda,regnety_002,128,1.1725,1.3576,1.384
cuda,nfnet_l0,128,1.2187,1.184,1.3079
cuda,res2net50_14w_8s,128,1.1655,1.2476,1.2931
cuda,res2next50,128,1.1003,1.1809,1.2806
cuda,hrnet_w18,128,1.2511,1.3224,1.2557
cuda,gluon_inception_v3,128,1.1116,1.1345,1.2245
cuda,inception_v3,128,1.1112,1.1347,1.2236
cuda,adv_inception_v3,128,1.1109,0.0,1.2235
cuda,resnet18,128,1.1486,1.1771,1.2066
cuda,botnet26t_256,128,1.15,1.1922,1.1997
cuda,eca_botnext26ts_256,128,1.1752,1.1656,1.194
cuda,crossvit_9_240,64,1.1094,1.0393,1.192
cuda,selecsls42b,128,1.186,1.2112,1.1793
cuda,pit_b_224,64,1.0413,1.0623,1.1675
cuda,ese_vovnet19b_dw,128,1.0534,1.0785,1.1043
cuda,swsl_resnext101_32x16d,32,1.0921,1.1071,1.094
cuda,lcnet_050,128,0.8838,1.3036,1.0899
cuda,hardcorenas_a,128,1.0376,1.0742,1.0865
cuda,rexnet_100,128,1.0288,1.0411,1.0852
cuda,tf_efficientnet_b0,128,1.0582,1.0374,1.081
cuda,cspdarknet53,64,0.9406,1.0748,1.0555
cuda,poolformer_m36,64,1.0467,0.0,1.0552
cuda,repvgg_a2,128,0.9446,0.9946,1.0533
cuda,mobilenetv3_large_100,128,0.993,1.0522,1.0517
cuda,mnasnet_100,128,1.03,1.029,1.0275
cuda,visformer_small,128,1.0256,1.0195,1.02
cuda,mobilenetv2_100,128,0.9141,1.0494,1.0083
cuda,fbnetc_100,128,1.0136,1.0363,1.0076
cuda,tinynet_a,128,1.0151,0.9844,1.0022
cuda,gernet_l,128,1.005,1.0212,1.0011
cuda,spnasnet_100,128,0.9757,0.9809,0.983
cuda,fbnetv3_b,128,0.8543,0.9858,0.9564
cuda,gluon_xception65,32,1.0713,1.0445,0.944
cuda,resmlp_12_224,128,1.1981,0.0,0.629
cuda,dla102,128,1.2486,1.2929,0.0
cuda,ecaresnet101d,128,1.1911,1.2489,0.0
cuda,resnest101e,64,1.1242,1.2003,0.0
cuda,res2net101_26w_4s,128,1.1012,1.1757,0.0
cuda,sebotnet33ts_256,128,1.1782,1.1727,0.0
cuda,convit_base,64,1.1485,1.171,0.0
cuda,eca_halonext26ts,128,1.1669,1.159,0.0
cuda,densenet121,128,1.1016,1.1547,0.0
cuda,gluon_senet154,64,1.1549,1.1462,0.0
cuda,twins_pcpvt_base,128,1.042,1.1272,0.0
cuda,nasnetalarge,16,1.0902,1.1013,0.0
cuda,volo_d1_224,128,1.0566,1.1011,0.0
cuda,mobilevit_s,128,1.141,1.0903,0.0
cuda,pnasnet5large,16,1.0818,1.0852,0.0
cuda,coat_lite_mini,128,1.046,1.0749,0.0
cuda,convmixer_768_32,64,1.0202,1.0425,0.0
cuda,tnt_s_patch16_224,128,1.007,1.0419,0.0
cuda,gmixer_24_224,128,1.0562,1.0334,0.0
cuda,mixnet_l,128,0.9915,1.0308,0.0
cuda,tf_mixnet_l,128,0.9938,1.0286,0.0
cuda,deit_base_distilled_patch16_224,128,1.0374,1.0216,0.0
cuda,dpn107,64,1.0201,1.009,0.0
cuda,jx_nest_base,64,1.1353,0.9997,0.0
cuda,swin_base_patch4_window7_224,64,1.0505,0.9997,0.0
cuda,ghostnet_100,128,1.2067,0.9994,0.0
cuda,cait_m36_384,4,0.9982,0.9957,0.0
cuda,vit_base_patch16_224,128,0.9896,0.9809,0.0
cuda,mixer_b16_224,128,0.9828,0.9805,0.0
cuda,gmlp_s16_224,128,0.9847,0.9681,0.0
cuda,beit_base_patch16_224,128,0.9721,0.9638,0.0
cuda,levit_128,128,1.1535,0.0,0.0
cuda,xcit_large_24_p8_224,11,1.0011,0.0,0.0
cuda,convnext_base,64,0.9879,0.0,0.0
cuda,legacy_senet154,0,0.0,0.0,0.0
