dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,regnety_002,128,1.0404,1.3848,1.8999
cuda,resnest101e,64,1.0123,1.2865,1.4534
cuda,nfnet_l0,128,1.0791,1.1397,1.4347
cuda,hrnet_w18,128,0.0,0.0,1.4059
cuda,dla102,128,1.0024,1.421,1.3846
cuda,res2net50_14w_8s,128,1.0009,1.3104,1.3702
cuda,res2next50,128,0.9972,1.2216,1.3491
cuda,pit_b_224,64,1.0008,1.0002,1.3445
cuda,densenet121,128,1.031,1.248,1.3238
cuda,ecaresnet101d,128,0.7958,1.2783,1.3212
cuda,gmlp_s16_224,128,0.8019,1.0173,1.3202
cuda,resnet18,128,0.9996,1.323,1.3065
cuda,lcnet_050,128,0.8918,1.2902,1.3013
cuda,selecsls42b,128,0.9998,0.0,1.2994
cuda,gluon_inception_v3,128,1.0,0.0,1.2676
cuda,inception_v3,128,1.0001,0.0,1.2674
cuda,adv_inception_v3,128,1.0002,0.0,1.2659
cuda,res2net101_26w_4s,128,0.9965,1.1598,1.2538
cuda,visformer_small,128,0.0,0.0,1.2267
cuda,eca_botnext26ts_256,128,0.8282,1.2587,1.2063
cuda,eca_halonext26ts,128,0.829,1.2436,1.1941
cuda,legacy_senet154,64,0.0,0.0,1.1798
cuda,gluon_senet154,64,0.8793,1.0895,1.178
cuda,hardcorenas_a,128,0.0,1.1004,1.1754
cuda,coat_lite_mini,128,1.16,1.1781,1.1683
cuda,ese_vovnet19b_dw,128,0.8519,1.1325,1.1634
cuda,sebotnet33ts_256,128,0.8502,1.2359,1.1628
cuda,poolformer_m36,64,1.0439,1.0561,1.157
cuda,rexnet_100,128,0.0,0.0,1.132
cuda,tf_efficientnet_b0,128,0.8796,0.0,1.1123
cuda,tf_mixnet_l,128,0.9279,0.0,1.1111
cuda,swsl_resnext101_32x16d,32,0.9895,1.0751,1.1002
cuda,mixnet_l,128,0.0,0.0,1.0956
cuda,gluon_xception65,32,0.0,0.0,1.0904
cuda,gmixer_24_224,128,0.9646,1.0339,1.0695
cuda,mnasnet_100,128,0.0,1.0511,1.0687
cuda,convmixer_768_32,64,1.0327,0.0,1.0685
cuda,cspdarknet53,64,0.7975,0.8459,1.0683
cuda,mobilenetv2_100,128,0.0,0.8625,1.0635
cuda,fbnetc_100,128,0.0,1.049,1.0233
cuda,spnasnet_100,128,0.0,0.9863,0.9969
cuda,tinynet_a,128,0.0,0.0,0.995
cuda,fbnetv3_b,128,0.0,0.9643,0.9867
cuda,resmlp_12_224,128,1.259,0.0,0.9735
cuda,mixer_b16_224,128,0.8875,0.9707,0.9534
cuda,repvgg_a2,128,0.0,0.9549,0.9506
cuda,gernet_l,128,0.7686,0.9839,0.9397
cuda,convnext_base,64,1.0979,0.0,0.6519
cuda,botnet26t_256,128,0.8294,1.2947,0.0
cuda,twins_pcpvt_base,128,0.9332,1.2689,0.0
cuda,dm_nfnet_f0,128,0.9996,1.1941,0.0
cuda,volo_d1_224,128,0.9666,1.1189,0.0
cuda,xcit_large_24_p8_224,11,0.9892,1.0766,0.0
cuda,mobilenetv3_large_100,128,0.0,1.0619,0.0
cuda,deit_base_distilled_patch16_224,128,1.033,1.0493,0.0
cuda,crossvit_9_240,64,1.0678,1.0442,0.0
cuda,ghostnet_100,128,0.0,1.0286,0.0
cuda,tnt_s_patch16_224,128,0.9536,1.007,0.0
cuda,cait_m36_384,4,0.77,1.0041,0.0
cuda,jx_nest_base,64,1.1662,0.9997,0.0
cuda,swin_base_patch4_window7_224,64,1.0783,0.9994,0.0
cuda,vit_base_patch16_224,128,0.9481,0.9712,0.0
cuda,beit_base_patch16_224,128,0.9992,0.9621,0.0
cuda,dpn107,64,0.0,0.9546,0.0
cuda,pnasnet5large,16,1.0058,0.0,0.0
cuda,nasnetalarge,16,1.0055,0.0,0.0
cuda,convit_base,0,0.0,0.0,0.0
cuda,levit_128,0,0.0,0.0,0.0
cuda,mobilevit_s,0,0.0,0.0,0.0
