dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,nfnet_l0,128,1.2185,1.1839,1.3099
cuda,regnety_002,128,1.1707,1.3493,1.2931
cuda,res2net50_14w_8s,128,1.1654,1.2474,1.2915
cuda,res2next50,128,1.1008,1.1811,1.2718
cuda,hrnet_w18,128,1.2514,1.3216,1.2547
cuda,inception_v3,128,1.1114,1.1347,1.224
cuda,adv_inception_v3,128,1.111,0.0,1.223
cuda,gluon_inception_v3,128,1.1112,1.1347,1.2212
cuda,resnet18,128,1.1488,1.1766,1.2074
cuda,eca_botnext26ts_256,128,1.1748,1.165,1.1899
cuda,selecsls42b,128,1.1861,1.2109,1.1787
cuda,pit_b_224,64,1.0414,1.0627,1.1662
cuda,ese_vovnet19b_dw,128,1.0545,1.0788,1.1014
cuda,swsl_resnext101_32x16d,32,1.0919,1.1076,1.0939
cuda,rexnet_100,128,1.0276,1.0404,1.0855
cuda,poolformer_m36,64,1.0467,0.0,1.0541
cuda,repvgg_a2,128,0.9413,0.9922,1.0539
cuda,cspdarknet53,64,0.9419,1.0702,1.0418
cuda,visformer_small,128,1.0255,1.0199,1.0199
cuda,fbnetc_100,128,1.0142,1.0294,1.0082
cuda,gernet_l,128,1.0038,1.0239,0.9998
cuda,resmlp_12_224,128,1.1981,0.0,0.6284
cuda,lcnet_050,128,0.8847,1.2939,0.0
cuda,dla102,128,1.249,1.2934,0.0
cuda,ecaresnet101d,128,1.1915,1.2495,0.0
cuda,dm_nfnet_f0,128,0.7533,1.2279,0.0
cuda,resnest101e,64,1.1243,1.2008,0.0
cuda,botnet26t_256,128,1.1503,1.192,0.0
cuda,res2net101_26w_4s,128,1.101,1.1759,0.0
cuda,sebotnet33ts_256,128,1.1785,1.1729,0.0
cuda,convit_base,64,1.1487,1.1714,0.0
cuda,eca_halonext26ts,128,1.166,1.1583,0.0
cuda,densenet121,128,1.1011,1.1552,0.0
cuda,gluon_senet154,64,1.1546,1.1461,0.0
cuda,twins_pcpvt_base,128,1.0419,1.1269,0.0
cuda,volo_d1_224,128,1.0564,1.1013,0.0
cuda,nasnetalarge,16,1.0899,1.101,0.0
cuda,mobilevit_s,128,1.1415,1.0891,0.0
cuda,pnasnet5large,16,1.0819,1.085,0.0
cuda,coat_lite_mini,128,1.0453,1.0745,0.0
cuda,hardcorenas_a,128,1.0383,1.0728,0.0
cuda,mobilenetv3_large_100,128,0.9915,1.0508,0.0
cuda,mobilenetv2_100,128,0.9159,1.0493,0.0
cuda,gluon_xception65,32,1.0716,1.0448,0.0
cuda,convmixer_768_32,64,1.0202,1.0427,0.0
cuda,tnt_s_patch16_224,128,1.0071,1.0422,0.0
cuda,crossvit_9_240,64,1.0461,1.0399,0.0
cuda,tf_efficientnet_b0,128,1.057,1.0384,0.0
cuda,gmixer_24_224,128,1.0564,1.0335,0.0
cuda,mixnet_l,128,0.9929,1.031,0.0
cuda,tf_mixnet_l,128,0.9927,1.0291,0.0
cuda,mnasnet_100,128,1.0293,1.0287,0.0
cuda,deit_base_distilled_patch16_224,128,1.0361,1.021,0.0
cuda,dpn107,64,1.0185,1.0095,0.0
cuda,jx_nest_base,64,1.1352,0.9998,0.0
cuda,swin_base_patch4_window7_224,64,1.0505,0.9997,0.0
cuda,ghostnet_100,128,1.2063,0.999,0.0
cuda,cait_m36_384,4,0.9983,0.9948,0.0
cuda,tinynet_a,128,1.0125,0.9853,0.0
cuda,vit_base_patch16_224,128,0.9895,0.9824,0.0
cuda,spnasnet_100,128,0.975,0.9824,0.0
cuda,mixer_b16_224,128,0.9831,0.98,0.0
cuda,fbnetv3_b,128,0.856,0.9795,0.0
cuda,gmlp_s16_224,128,0.9847,0.9679,0.0
cuda,beit_base_patch16_224,128,0.9721,0.9621,0.0
cuda,levit_128,128,1.1477,0.0,0.0
cuda,xcit_large_24_p8_224,11,1.0002,0.0,0.0
cuda,convnext_base,64,0.9877,0.0,0.0
cuda,legacy_senet154,0,0.0,0.0,0.0
