dev,name,batch_size,time,memory,graphs
cuda,AlbertForMaskedLM,4,3.6736,16.3465,1
cuda,AlbertForQuestionAnswering,4,3.6913,15.9591,1
cuda,AllenaiLongformerBase,1,10.6692,3.0275,4
cuda,BartForCausalLM,8,4.0229,20.7683,1
cuda,BartForConditionalGeneration,2,11.6433,12.0942,1
cuda,BertForMaskedLM,64,6.2930,10.9164,1
cuda,BertForQuestionAnswering,64,6.4113,6.9911,1
cuda,BigBird,1,8.9331,3.2958,64
cuda,BlenderbotSmallForCausalLM,64,2.5745,9.6174,1
cuda,BlenderbotSmallForConditionalGeneration,64,6.7102,13.8862,1
cuda,CamemBert,1,6.0595,1.4123,1
cuda,DebertaForMaskedLM,16,5.3502,18.8986,204
cuda,DebertaForQuestionAnswering,16,5.3989,12.3359,204
cuda,DebertaV2ForMaskedLM,4,8.6124,18.2032,304
cuda,DebertaV2ForQuestionAnswering,4,8.4187,14.0869,304
cuda,DistilBertForMaskedLM,32,2.4455,18.8817,1
cuda,DistilBertForQuestionAnswering,32,2.3046,11.0239,1
cuda,DistillGPT2,1,2.6724,1.2005,1
cuda,ElectraForCausalLM,32,6.3706,15.0549,1
cuda,ElectraForQuestionAnswering,64,6.4471,14.2179,1
cuda,GPT2ForSequenceClassification,4,5.6006,11.3050,2
cuda,GPTNeoForCausalLM,4,8.8833,20.7387,1
cuda,GPTNeoForSequenceClassification,4,8.8745,19.2785,2
cuda,GoogleFnet,1,1.9495,1.0682,27
cuda,LayoutLMForMaskedLM,16,6.6379,15.0082,1
cuda,LayoutLMForSequenceClassification,16,6.4606,11.1103,2
cuda,M2M100ForConditionalGeneration,4,7.5067,14.7624,7
cuda,MBartForCausalLM,16,3.8782,17.5807,1
cuda,MBartForConditionalGeneration,8,11.9464,17.7673,1
cuda,MT5ForConditionalGeneration,4,14.6614,12.7176,1
cuda,MegatronBertForCausalLM,8,18.1903,17.2208,1
cuda,MegatronBertForQuestionAnswering,8,18.6582,15.3752,1
cuda,MobileBertForMaskedLM,16,68.2174,12.0414,1
cuda,MobileBertForQuestionAnswering,32,69.5089,15.8275,1
cuda,OPTForCausalLM,16,3.8043,15.7489,1
cuda,PLBartForCausalLM,16,2.3267,12.2049,1
cuda,PLBartForConditionalGeneration,8,4.8384,10.9366,1
cuda,PegasusForCausalLM,16,3.6346,18.3524,4
cuda,PegasusForConditionalGeneration,8,7.5633,17.7337,7
cuda,RobertaForCausalLM,64,6.3946,10.8925,1
cuda,RobertaForQuestionAnswering,64,6.3493,6.9911,1
cuda,Speech2Text2ForCausalLM,64,2.1495,10.6734,4
cuda,T5ForConditionalGeneration,4,8.9636,10.3887,1
cuda,T5Small,1,8.7575,2.7431,1
cuda,TrOCRForCausalLM,16,3.7913,17.5450,1
cuda,XGLMForCausalLM,4,7.4301,17.6206,4
cuda,XLNetLMHeadModel,8,15.3199,19.2028,1
cuda,YituTechConvBert,1,9.8935,1.3873,1
