dev,name,batch_size,time,memory,graphs
cuda,BERT_pytorch,16,1.1229,2.4723,0
cuda,Background_Matting,4,1.9751,11.4098,0
cuda,LearningToPaint,96,0.3582,0.8387,0
cuda,Super_SloMo,6,0,0,0
cuda,alexnet,128,0.1856,1.2699,0
cuda,attention_is_all_you_need_pytorch,256,1.1082,4.4660,0
cuda,dcgan,32,2.3767,0.0672,0
cuda,demucs,4,2.6881,4.0309,0
cuda,densenet121,4,0.4124,0.5709,0
cuda,detectron2_maskrcnn,1,0,0,0
cuda,dlrm,0,0.0000
cuda,drq,1,2.2943,0.0408,0
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,6,1.0882,4.9374,0
cuda,hf_Albert,8,1.1790,6.5125,0
cuda,hf_Bart,4,1.0597,5.1852,0
cuda,hf_Bert,4,1.0232,3.6906,0
cuda,hf_BigBird,2,1.5797,5.5592,0
cuda,hf_DistilBert,8,1.0832,4.0280,0
cuda,hf_GPT2,4,1.1170,5.2640,0
cuda,hf_Longformer,2,1.1202,4.9616,0
cuda,hf_Reformer,4,1.1941,1.4154,0
cuda,hf_T5,8,1.4944,18.4956,0
cuda,maml,1,0,0,0
cuda,maml_omniglot,1,2.3713,0.0047,0
cuda,mnasnet1_0,32,0.3127,1.5028,0
cuda,mobilenet_v2,96,0.3896,7.6954,0
cuda,mobilenet_v2_quantized_qat,96,2.8177,11.6158,0
cuda,mobilenet_v3_large,32,0.2895,1.4932,0
cuda,moco,32,3.0215,3.4723,0
cuda,nvidia_deeprecommender,256,0.9645,3.0640,0
cuda,opacus_cifar10,64,2.4271,3.0002,0
cuda,pyhpc_equation_of_state,1048576,0,0,0
cuda,pyhpc_isoneutral_mixing,1048576,0,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,0,0,0
cuda,pytorch_CycleGAN_and_pix2pix,1,2.5057,0.4582,0
cuda,pytorch_stargan,16,2.6902,1.1601,0
cuda,pytorch_struct,200,0.9476,0.6831,0
cuda,pytorch_unet,1,2.4163,3.4745,0
cuda,resnet18,16,0.2076,0.4570,0
cuda,resnet50,32,0.3145,2.9261,0
cuda,resnet50_quantized_qat,32,2.6941,6.2777,0
cuda,resnext50_32x4d,8,0.3005,1.0667,0
cuda,shufflenet_v2_x1_0,128,0.3475,2.7953,0
cuda,soft_actor_critic,256,0.0058,0.0127,0
cuda,speech_transformer,32,1.0641,0.8779,0
cuda,squeezenet1_1,32,0.2308,0.7515,0
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,4.4399,1.4042,0
cuda,timm_efficientnet,32,2.5096,2.9182,0
cuda,timm_nfnet,128,2.8283,13.2571,0
cuda,timm_regnet,32,2.6436,2.4251,0
cuda,timm_resnest,32,2.4397,2.0965,0
cuda,timm_vision_transformer,8,2.3390,0.6742,0
cuda,timm_vovnet,32,2.4374,2.5853,0
cuda,tts_angular,64,0.3660,0.3350,0
cuda,vgg16,64,0.2514,5.9837,0
cuda,vision_maskrcnn,4,0,0,0
cuda,yolov3,16,3.6083,7.3829,0
