dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,XLNetLMHeadModel,8,1.1145,1.065,1.513
cuda,GPT2ForSequenceClassification,4,1.5579,1.5801,0.0
cuda,DistillGPT2,1,1.2596,1.5372,0.0
cuda,CamemBert,1,1.0775,1.4092,0.0
cuda,YituTechConvBert,1,1.0777,1.3738,0.0
cuda,T5Small,1,0.0,1.3717,0.0
cuda,AlbertForQuestionAnswering,4,1.1703,1.2229,0.0
cuda,AlbertForMaskedLM,4,1.1696,1.216,0.0
cuda,GoogleFnet,1,1.1341,1.2064,0.0
cuda,DebertaForQuestionAnswering,16,0.0,1.2012,0.0
cuda,ElectraForQuestionAnswering,64,1.2697,1.2003,0.0
cuda,MobileBertForQuestionAnswering,32,1.2348,1.1839,0.0
cuda,DistilBertForQuestionAnswering,32,1.0074,1.1822,0.0
cuda,Speech2Text2ForCausalLM,64,1.0281,1.1666,0.0
cuda,MobileBertForMaskedLM,16,1.1744,1.1297,0.0
cuda,LayoutLMForSequenceClassification,16,1.1858,1.125,0.0
cuda,MegatronBertForQuestionAnswering,8,1.1486,1.0923,0.0
cuda,DebertaForMaskedLM,16,0.0,1.0922,0.0
cuda,MegatronBertForCausalLM,8,1.1354,1.0669,0.0
cuda,LayoutLMForMaskedLM,16,1.1441,1.0572,0.0
cuda,DistilBertForMaskedLM,32,1.0059,1.0495,0.0
cuda,AllenaiLongformerBase,1,1.1663,1.0442,0.0
cuda,BertForQuestionAnswering,64,1.0732,1.0162,0.0
cuda,RobertaForQuestionAnswering,64,1.0719,1.013,0.0
cuda,ElectraForCausalLM,32,1.1427,1.0057,0.0
cuda,OPTForCausalLM,16,1.0885,1.0051,0.0
cuda,BartForCausalLM,8,1.0042,1.0022,0.0
cuda,BartForConditionalGeneration,2,0.9972,1.0003,0.0
cuda,PLBartForConditionalGeneration,8,1.0091,1.0001,0.0
cuda,MBartForConditionalGeneration,8,1.0088,0.9995,0.0
cuda,DebertaV2ForQuestionAnswering,4,0.9968,0.9859,0.0
cuda,TrOCRForCausalLM,16,1.0048,0.9819,0.0
cuda,T5ForConditionalGeneration,4,0.0,0.976,0.0
cuda,PLBartForCausalLM,16,1.0085,0.9741,0.0
cuda,RobertaForCausalLM,64,1.0499,0.9717,0.0
cuda,PegasusForConditionalGeneration,8,1.0074,0.9704,0.0
cuda,BertForMaskedLM,64,1.0536,0.9694,0.0
cuda,MBartForCausalLM,16,1.0093,0.9688,0.0
cuda,PegasusForCausalLM,16,1.0086,0.9555,0.0
cuda,M2M100ForConditionalGeneration,4,1.0033,0.9536,0.0
cuda,BlenderbotSmallForConditionalGeneration,64,1.0184,0.9467,0.0
cuda,BlenderbotSmallForCausalLM,64,1.015,0.9262,0.0
cuda,BigBird,1,0.9823,0.8627,0.0
cuda,MT5ForConditionalGeneration,4,1.0217,0.0,0.0
cuda,XGLMForCausalLM,4,1.0013,0.0,0.0
cuda,DebertaV2ForMaskedLM,0,0.0,0.0,0.0
cuda,GPTNeoForCausalLM,0,0.0,0.0,0.0
cuda,GPTNeoForSequenceClassification,0,0.0,0.0,0.0
