dev,name,batch_size,time,memory,graphs
cuda,BERT_pytorch,16,29.9292,2.5645,1
cuda,Background_Matting,4,7.8065,12.2750,1
cuda,LearningToPaint,96,5.4824,1.1970,1
cuda,Super_SloMo,6,0,0,0
cuda,alexnet,128,1.9928,1.4936,1
cuda,attention_is_all_you_need_pytorch,256,12.9099,5.3489,1
cuda,dcgan,32,4.2662,0.0942,1
cuda,demucs,4,2.9876,4.0295,1
cuda,densenet121,4,39.5532,0.6722,1
cuda,detectron2_maskrcnn,1,0,0,0
cuda,dlrm,0,0.0000
cuda,drq,1,4.5523,0.0408,2
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,6,17.0823,5.0784,7
cuda,hf_Albert,8,15.2668,6.8640,1
cuda,hf_Bart,4,13.9519,6.4315,1
cuda,hf_Bert,4,0,0,0
cuda,hf_BigBird,2,24.4479,4.8118,64
cuda,hf_DistilBert,8,6.0639,4.9582,1
cuda,hf_GPT2,4,18.4444,5.2921,1
cuda,hf_Longformer,2,13.1528,4.9767,4
cuda,hf_Reformer,4,9.1818,1.4318,22
cuda,hf_T5,8,0,0,0
cuda,maml,1,0,0,0
cuda,maml_omniglot,1,3.4208,0.0058,1
cuda,mnasnet1_0,32,7.7695,1.6468,1
cuda,mobilenet_v2,96,2.9492,7.6689,1
cuda,mobilenet_v2_quantized_qat,96,37.3515,9.0196,1
cuda,mobilenet_v3_large,32,17.5482,1.5039,1
cuda,moco,32,5.7926,3.4559,11
cuda,nvidia_deeprecommender,256,3.3890,3.0640,1
cuda,opacus_cifar10,64,0,0,0
cuda,pyhpc_equation_of_state,1048576,0,0,0
cuda,pyhpc_isoneutral_mixing,1048576,0,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,0,0,0
cuda,pytorch_CycleGAN_and_pix2pix,1,6.0830,0.5091,1
cuda,pytorch_stargan,16,5.8750,1.1363,1
cuda,pytorch_struct,200,3.4777,1.3607,1
cuda,pytorch_unet,1,6.4331,4.0418,1
cuda,resnet18,16,5.0709,0.5835,1
cuda,resnet50,32,12.2661,3.3544,1
cuda,resnet50_quantized_qat,32,41.1275,4.4076,1
cuda,resnext50_32x4d,8,12.4382,1.2122,1
cuda,shufflenet_v2_x1_0,128,8.6899,2.8550,1
cuda,soft_actor_critic,256,1.3984,0.0127,2
cuda,speech_transformer,32,4.7135,0.8791,4
cuda,squeezenet1_1,32,4.0389,0.7504,1
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,70.6281,1.3777,1
cuda,timm_efficientnet,32,22.5197,2.9316,1
cuda,timm_nfnet,128,40.9458,13.9529,1
cuda,timm_regnet,32,53.7402,2.4805,1
cuda,timm_resnest,32,8.0566,2.4641,1
cuda,timm_vision_transformer,8,8.6755,0.7819,1
cuda,timm_vovnet,32,13.3003,3.3731,1
cuda,tts_angular,64,1.3141,0.3356,4
cuda,vgg16,64,3.2751,9.1304,1
cuda,vision_maskrcnn,4,0,0,0
cuda,yolov3,16,42.2055,8.7073,5
