dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.3854
cuda,AlbertForQuestionAnswering,0,0.0000
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.0722
cuda,BartForConditionalGeneration,2,1.0026
cuda,BertForMaskedLM,64,1.0984
cuda,BertForQuestionAnswering,64,1.1720
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.0080
cuda,BlenderbotSmallForConditionalGeneration,64,1.0968
cuda,CamemBert,1,1.5321
cuda,DebertaForMaskedLM,4,1.3013
cuda,DebertaForQuestionAnswering,4,1.3378
cuda,DebertaV2ForMaskedLM,1,1.0016
cuda,DebertaV2ForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.3309
cuda,DistilBertForQuestionAnswering,0,0.0000
cuda,DistillGPT2,1,1.6218
cuda,ElectraForCausalLM,1,1.4897
cuda,ElectraForQuestionAnswering,64,1.4917
cuda,GPT2ForSequenceClassification,0,0.0000
cuda,GPTNeoForCausalLM,0,0.0000
cuda,GPTNeoForSequenceClassification,0,0.0000
cuda,GoogleFnet,0,0.0000
cuda,LayoutLMForMaskedLM,16,1.2333
cuda,LayoutLMForSequenceClassification,16,1.3230
cuda,M2M100ForConditionalGeneration,2,1.4336
cuda,MBartForCausalLM,16,1.1514
cuda,MBartForConditionalGeneration,8,1.0299
cuda,MT5ForConditionalGeneration,0,0.0000
cuda,MegatronBertForCausalLM,0,0.0000
cuda,MegatronBertForQuestionAnswering,0,0.0000
cuda,MobileBertForMaskedLM,0,0.0000
cuda,MobileBertForQuestionAnswering,32,1.5797
cuda,OPTForCausalLM,0,0.0000
cuda,PLBartForCausalLM,16,1.1692
cuda,PLBartForConditionalGeneration,8,1.0333
cuda,PegasusForCausalLM,8,1.4410
cuda,PegasusForConditionalGeneration,4,1.5047
cuda,RobertaForCausalLM,4,1.5564
cuda,RobertaForQuestionAnswering,0,0.0000
cuda,Speech2Text2ForCausalLM,64,1.2828
cuda,T5ForConditionalGeneration,4,1.0076
cuda,T5Small,1,1.7244
cuda,TrOCRForCausalLM,8,1.5061
cuda,XGLMForCausalLM,2,1.4063
cuda,XLNetLMHeadModel,4,1.2018
cuda,YituTechConvBert,1,1.4261
