dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,AlbertForMaskedLM,2,1.1627,1.2565,1.262
cuda,AlbertForQuestionAnswering,2,1.1618,1.2608,1.2714
cuda,AllenaiLongformerBase,1,1.17,1.0417,0.0
cuda,BartForCausalLM,4,1.0051,0.9884,1.0979
cuda,BartForConditionalGeneration,2,0.9973,1.0008,1.0755
cuda,BertForMaskedLM,64,1.0527,0.9664,1.0132
cuda,BertForQuestionAnswering,64,1.0732,1.011,1.0799
cuda,BigBird,1,0.9853,0.862,0.0
cuda,BlenderbotSmallForCausalLM,64,1.0149,0.9258,0.9896
cuda,BlenderbotSmallForConditionalGeneration,64,1.0182,0.9428,1.046
cuda,CamemBert,1,1.0813,1.3944,0.0
cuda,DebertaForMaskedLM,4,0.0,1.0848,1.1869
cuda,DebertaForQuestionAnswering,4,0.0,1.3368,1.3581
cuda,DebertaV2ForMaskedLM,1,0.9364,0.9349,0.0
cuda,DebertaV2ForQuestionAnswering,1,0.9371,0.9282,0.0
cuda,DistilBertForMaskedLM,16,1.0971,1.074,1.1321
cuda,DistilBertForQuestionAnswering,32,1.0367,1.0439,1.1454
cuda,DistillGPT2,1,1.2536,1.5814,0.0
cuda,ElectraForCausalLM,1,1.072,1.3888,4.2321
cuda,ElectraForQuestionAnswering,64,1.2698,1.2003,1.3521
cuda,GPT2ForSequenceClassification,4,1.5593,1.5787,0.0
cuda,GPTNeoForCausalLM,0,0.0,0.0,0.0
cuda,GPTNeoForSequenceClassification,0,0.0,0.0,0.0
cuda,GoogleFnet,1,1.1321,1.1818,0.0
cuda,LayoutLMForMaskedLM,16,1.1441,1.0603,1.1152
cuda,LayoutLMForSequenceClassification,16,1.1849,1.1286,1.1999
cuda,M2M100ForConditionalGeneration,2,1.0808,1.2811,2.7142
cuda,MBartForCausalLM,16,1.0276,0.9804,1.0148
cuda,MBartForConditionalGeneration,8,1.0832,1.0331,1.4258
cuda,MT5ForConditionalGeneration,2,0.0,0.0,4.7829
cuda,MegatronBertForCausalLM,2,1.1396,1.4682,3.0871
cuda,MegatronBertForQuestionAnswering,8,1.1382,1.5007,1.6689
cuda,MobileBertForMaskedLM,16,1.0628,1.4654,2.7996
cuda,MobileBertForQuestionAnswering,32,1.0703,1.444,2.1192
cuda,OPTForCausalLM,4,1.1693,1.4011,3.0335
cuda,PLBartForCausalLM,16,1.0656,1.0817,1.191
cuda,PLBartForConditionalGeneration,8,1.0347,1.0341,1.8575
cuda,PegasusForCausalLM,8,1.0689,1.1583,1.1633
cuda,PegasusForConditionalGeneration,4,1.0789,1.4171,2.2784
cuda,RobertaForCausalLM,4,1.0821,1.4699,2.8667
cuda,RobertaForQuestionAnswering,64,1.0717,1.0167,1.0832
cuda,Speech2Text2ForCausalLM,64,1.0842,1.094,1.2526
cuda,T5ForConditionalGeneration,4,0.0,0.9753,1.1602
cuda,T5Small,1,0.0,1.4811,1.3433
cuda,TrOCRForCausalLM,8,1.0801,1.1623,1.1874
cuda,XGLMForCausalLM,2,1.0891,1.2868,1.9261
cuda,XLNetLMHeadModel,4,1.1286,1.0809,1.4396
cuda,YituTechConvBert,1,1.0817,1.3733,3.2756
