dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.2620
cuda,AlbertForQuestionAnswering,2,1.2714
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.0979
cuda,BartForConditionalGeneration,2,1.0755
cuda,BertForMaskedLM,64,1.0132
cuda,BertForQuestionAnswering,64,1.0799
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,0.9896
cuda,BlenderbotSmallForConditionalGeneration,64,1.0460
cuda,CamemBert,0,0.0000
cuda,DebertaForMaskedLM,4,1.1869
cuda,DebertaForQuestionAnswering,4,1.3581
cuda,DebertaV2ForMaskedLM,0,0.0000
cuda,DebertaV2ForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.1321
cuda,DistilBertForQuestionAnswering,32,1.1454
cuda,DistillGPT2,0,0.0000
cuda,ElectraForCausalLM,1,4.2321
cuda,ElectraForQuestionAnswering,64,1.3521
cuda,GPT2ForSequenceClassification,0,0.0000
cuda,GPTNeoForCausalLM,0,0.0000
cuda,GPTNeoForSequenceClassification,0,0.0000
cuda,GoogleFnet,0,0.0000
cuda,LayoutLMForMaskedLM,16,1.1152
cuda,LayoutLMForSequenceClassification,16,1.1999
cuda,M2M100ForConditionalGeneration,2,2.7142
cuda,MBartForCausalLM,16,1.0148
cuda,MBartForConditionalGeneration,8,1.4258
cuda,MT5ForConditionalGeneration,2,4.7829
cuda,MegatronBertForCausalLM,2,3.0871
cuda,MegatronBertForQuestionAnswering,8,1.6689
cuda,MobileBertForMaskedLM,16,2.7996
cuda,MobileBertForQuestionAnswering,32,2.1192
cuda,OPTForCausalLM,4,3.0335
cuda,PLBartForCausalLM,16,1.1910
cuda,PLBartForConditionalGeneration,8,1.8575
cuda,PegasusForCausalLM,8,1.1633
cuda,PegasusForConditionalGeneration,4,2.2784
cuda,RobertaForCausalLM,4,2.8667
cuda,RobertaForQuestionAnswering,64,1.0832
cuda,Speech2Text2ForCausalLM,64,1.2526
cuda,T5ForConditionalGeneration,4,1.1602
cuda,T5Small,1,1.3433
cuda,TrOCRForCausalLM,8,1.1874
cuda,XGLMForCausalLM,2,1.9261
cuda,XLNetLMHeadModel,4,1.4396
cuda,YituTechConvBert,1,3.2756
