dev,name,batch_size,time,memory,graphs
cuda,adv_inception_v3,128,6.8675,15.0433,2
cuda,beit_base_patch16_224,64,6.4789,11.0206,2
cuda,botnet26t_256,128,6.3869,13.5574,2
cuda,cait_m36_384,2,18.4226,10.8265,2
cuda,coat_lite_mini,128,6.3102,13.3571,2
cuda,convit_base,32,4.9771,7.8448,27
cuda,convmixer_768_32,32,5.5442,13.6109,2
cuda,convnext_base,32,7.8636,8.8016,2
cuda,crossvit_9_240,64,7.9666,4.2220,2
cuda,cspdarknet53,64,10.6060,15.3587,2
cuda,deit_base_distilled_patch16_224,64,5.3754,10.2420,2
cuda,densenet121,64,12.7230,8.5089,14
cuda,dla102,64,7.6584,10.0003,2
cuda,dm_nfnet_f0,128,14.1996,14.2149,2
cuda,dpn107,32,23.3929,11.6027,2
cuda,eca_botnext26ts_256,128,6.9513,17.8952,2
cuda,eca_halonext26ts,128,7.3247,18.0110,2
cuda,ecaresnet101d,64,10.5423,12.2370,2
cuda,ese_vovnet19b_dw,128,4.8106,10.8743,2
cuda,fbnetc_100,128,8.8131,8.1126,2
cuda,fbnetv3_b,128,14.8614,11.7649,2
cuda,gernet_l,128,9.4163,10.3975,2
cuda,ghostnet_100,128,6.4806,5.3461,2
cuda,gluon_inception_v3,128,6.9013,15.0433,2
cuda,gluon_senet154,32,17.8784,13.2121,2
cuda,gluon_xception65,32,7.5301,14.5669,2
cuda,gmixer_24_224,64,7.7864,7.9080,2
cuda,gmlp_s16_224,64,7.1267,9.3718,2
cuda,hardcorenas_a,128,5.5600,6.5509,2
cuda,hrnet_w18,128,32.5455,17.8579,2
cuda,inception_v3,128,6.8796,15.0433,2
cuda,jx_nest_base,64,9.0208,19.7422,2
cuda,lcnet_050,128,4.5111,2.3340,2
cuda,legacy_senet154,32,13.8513,13.2130,2
cuda,levit_128,128,7.9147,3.3075,2
cuda,mixer_b16_224,64,4.5516,8.3271,2
cuda,mixnet_l,64,17.7009,8.7723,2
cuda,mnasnet_100,128,6.9612,6.4145,2
cuda,mobilenetv2_100,128,6.8414,11.3788,2
cuda,mobilenetv3_large_100,128,6.9908,6.6108,2
cuda,mobilevit_s,64,9.1599,14.3498,2
cuda,nasnetalarge,16,42.8750,16.3970,2
cuda,nfnet_l0,128,10.5548,13.2683,2
cuda,pit_b_224,64,5.8987,14.8408,2
cuda,pnasnet5large,16,32.9084,18.0261,2
cuda,poolformer_m36,64,10.6641,16.8016,2
cuda,regnety_002,128,8.0840,3.1245,2
cuda,repvgg_a2,128,8.8292,6.4988,2
cuda,res2net101_26w_4s,64,12.9440,11.7873,2
cuda,res2net50_14w_8s,128,10.9316,17.0183,2
cuda,res2next50,128,7.0046,17.3280,2
cuda,resmlp_12_224,128,4.3068,7.3500,2
cuda,resnest101e,32,15.2573,9.0958,2
cuda,resnet18,128,3.3090,3.9583,2
cuda,rexnet_100,128,9.5036,14.3860,2
cuda,sebotnet33ts_256,64,8.4367,12.8977,2
cuda,selecsls42b,128,4.0353,6.8294,2
cuda,spnasnet_100,128,8.5455,7.0067,2
cuda,swin_base_patch4_window7_224,64,14.4406,15.0304,2
cuda,swsl_resnext101_32x16d,32,7.6713,15.7779,2
cuda,tf_efficientnet_b0,128,8.8032,14.0403,2
cuda,tf_mixnet_l,64,21.1717,9.5387,2
cuda,tinynet_a,128,9.6230,11.0325,2
cuda,tnt_s_patch16_224,64,10.3667,9.7062,2
cuda,twins_pcpvt_base,32,13.5262,6.4129,2
cuda,visformer_small,128,5.0368,11.5011,2
cuda,vit_base_patch16_224,64,5.4425,10.1640,2
cuda,volo_d1_224,64,8.3127,10.2487,2
cuda,xcit_large_24_p8_224,5,15.6058,10.1702,2
