dev,name,batch_size,speedup
cuda,BERT_pytorch,16,1.7792
cuda,Background_Matting,4,1.1556
cuda,LearningToPaint,96,1.2711
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,0.9959
cuda,attention_is_all_you_need_pytorch,0,0.0000
cuda,dcgan,32,1.1002
cuda,demucs,4,0.9987
cuda,densenet121,4,1.3210
cuda,detectron2_maskrcnn,0,0.0000
cuda,dlrm,0,0.0000
cuda,drq,1,1.0301
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,1.5203
cuda,hf_Bart,4,1.0687
cuda,hf_Bert,4,1.0984
cuda,hf_BigBird,2,0.8631
cuda,hf_DistilBert,8,1.0559
cuda,hf_GPT2,4,1.4145
cuda,hf_Longformer,2,1.0321
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,8,0.8993
cuda,maml,0,0.0000
cuda,maml_omniglot,1,1.0604
cuda,mnasnet1_0,32,1.3290
cuda,mobilenet_v2,96,1.4851
cuda,mobilenet_v2_quantized_qat,96,1.6704
cuda,mobilenet_v3_large,32,1.3583
cuda,moco,32,0.9959
cuda,nvidia_deeprecommender,256,1.0003
cuda,opacus_cifar10,0,0.0000
cuda,pyhpc_equation_of_state,0,0.0000
cuda,pyhpc_isoneutral_mixing,0,0.0000
cuda,pyhpc_turbulent_kinetic_energy,0,0.0000
cuda,pytorch_CycleGAN_and_pix2pix,1,1.2921
cuda,pytorch_stargan,16,1.1051
cuda,pytorch_struct,200,0.8811
cuda,pytorch_unet,1,1.1782
cuda,resnet18,16,1.2917
cuda,resnet50,32,1.2478
cuda,resnet50_quantized_qat,32,1.6017
cuda,resnext50_32x4d,8,1.2093
cuda,shufflenet_v2_x1_0,128,1.3736
cuda,soft_actor_critic,256,0.9656
cuda,speech_transformer,32,1.0225
cuda,squeezenet1_1,32,1.0851
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,1.4407
cuda,timm_nfnet,128,1.2277
cuda,timm_regnet,32,1.3275
cuda,timm_resnest,32,1.3082
cuda,timm_vision_transformer,8,1.3336
cuda,timm_vovnet,32,1.1717
cuda,tts_angular,64,1.0222
cuda,vgg16,64,0.9973
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,16,0.9954
