dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.1099
cuda,beit_base_patch16_224,64,0.9747
cuda,botnet26t_256,128,1.1501
cuda,cait_m36_384,2,0.9991
cuda,coat_lite_mini,128,1.0458
cuda,convit_base,32,1.1474
cuda,convmixer_768_32,32,1.0406
cuda,convnext_base,32,0.9926
cuda,crossvit_9_240,64,1.0415
cuda,cspdarknet53,64,0.9427
cuda,deit_base_distilled_patch16_224,64,1.0389
cuda,densenet121,64,1.0413
cuda,dla102,64,1.2539
cuda,dm_nfnet_f0,128,1.1337
cuda,dpn107,32,0.9418
cuda,eca_botnext26ts_256,128,1.1732
cuda,eca_halonext26ts,128,1.1671
cuda,ecaresnet101d,64,1.2067
cuda,ese_vovnet19b_dw,128,1.0521
cuda,fbnetc_100,128,1.0155
cuda,fbnetv3_b,128,0.8542
cuda,gernet_l,128,0.9990
cuda,ghostnet_100,128,1.2058
cuda,gluon_inception_v3,128,1.1099
cuda,gluon_senet154,32,1.1398
cuda,gluon_xception65,32,1.0721
cuda,gmixer_24_224,64,1.0706
cuda,gmlp_s16_224,64,1.0116
cuda,hardcorenas_a,128,1.0387
cuda,hrnet_w18,128,1.2500
cuda,inception_v3,128,1.1097
cuda,jx_nest_base,64,1.1356
cuda,lcnet_050,128,0.8808
cuda,legacy_senet154,32,1.1448
cuda,levit_128,128,1.1456
cuda,mixer_b16_224,64,0.9739
cuda,mixnet_l,64,0.9444
cuda,mnasnet_100,128,1.0256
cuda,mobilenetv2_100,128,0.9150
cuda,mobilenetv3_large_100,128,0.9904
cuda,mobilevit_s,64,1.0998
cuda,nasnetalarge,16,1.0906
cuda,nfnet_l0,128,1.2179
cuda,pit_b_224,64,1.0414
cuda,pnasnet5large,16,1.0818
cuda,poolformer_m36,64,1.0465
cuda,regnety_002,128,1.1571
cuda,repvgg_a2,128,0.9424
cuda,res2net101_26w_4s,64,1.1122
cuda,res2net50_14w_8s,128,1.1664
cuda,res2next50,128,1.1004
cuda,resmlp_12_224,128,1.1934
cuda,resnest101e,32,1.1046
cuda,resnet18,128,1.1484
cuda,rexnet_100,128,1.0269
cuda,sebotnet33ts_256,64,1.1333
cuda,selecsls42b,128,1.1891
cuda,spnasnet_100,128,0.9750
cuda,swin_base_patch4_window7_224,64,1.0658
cuda,swsl_resnext101_32x16d,32,1.0923
cuda,tf_efficientnet_b0,128,1.0564
cuda,tf_mixnet_l,64,0.9442
cuda,tinynet_a,128,1.0141
cuda,tnt_s_patch16_224,64,1.2869
cuda,twins_pcpvt_base,32,1.0929
cuda,visformer_small,128,1.0244
cuda,vit_base_patch16_224,64,0.9954
cuda,volo_d1_224,64,1.0665
cuda,xcit_large_24_p8_224,5,1.0508
