dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,21.128115,17.903942,8.269607,2.864940,11.280880,4.698249,1.959938,0.363818,13.523666,6.350857
cuda,Background_Matting,4,20.454969,17.981024,8.969687,3.269960,12.374518,6.698760,2.769989,0.290335,6.797663
cuda,LearningToPaint,96,8.072205,7.170424,3.758690,1.390244,4.477436,1.447478,0.690481,0.094290,2.158478
cuda,Super_SloMo,6,19.349360,17.343976,9.589654,3.168618,12.565465,6.774098,2.461779,0.175129,6.242816
cuda,alexnet,128,2.756883,2.537412,2.039144,0.207207,3.419215,1.004127,0.310389,0.020460,1.596027
cuda,attention_is_all_you_need_pytorch,256,22.626130,19.731348,9.919379,2.907148,12.972629,5.645162,2.159353,0.435387,13.668966,6.100931
cuda,dcgan,32,2.806301,2.617269,2.011362,0.221174,2.577285,0.240809,0.105154,0.016359,0.797578
cuda,demucs,4,2.456707,1.717159,1.513020,0.128723,1.377585,0.163823,0.081728,0.012954
cuda,densenet121,4,50.233400,43.767213,21.371697,8.424192,26.645591,15.202436,5.136731,0.778765,14.024096
cuda,drq,1,3.165964,2.827872,2.231031,0.160647,3.267069,0.229064,0.115254,0.020568,1.206822
cuda,fastNLP_Bert,6,22.083161,18.696053,9.733672,2.565405,13.118673,4.645179,2.049309,0.366374,5.723042,6.313398
cuda,functorch_dp_cifar10,64,7.558899,6.859187,3.965349,1.647629,6.518442,2.387312,0.804890,0.082681,4.254098,0.574699
cuda,hf_Albert,8,14.618182,12.689358,5.038926,2.322972,8.242000,3.129121,1.281986,0.163527,4.126502,5.618294
cuda,hf_Bart,4,27.095888,22.923295,10.923637,3.228920,15.156392,5.715090,2.450167,0.510126,4.213058,7.619058
cuda,hf_Bert,4,19.549813,15.846320,6.921391,2.508213,9.725865,4.131723,1.848499,0.346493,2.098486,5.428249
cuda,hf_Bert_large,4,37.158311,30.287962,12.866240,5.198017,17.823474,9.109325,3.580904,0.948346,1.885453,10.383422
cuda,hf_DistilBert,8,11.361300,9.760768,5.179544,1.593833,7.149533,2.134001,1.023395,0.152506,5.238608,3.626672
cuda,hf_GPT2,4,17.442898,14.514115,6.551536,2.351219,9.596539,4.083726,1.706112,0.300143,3.536657,5.497483
cuda,hf_GPT2_large,4,50.847767,41.383970,17.844968,7.219972,28.032948,13.449571,4.974031,1.522290,2.741724,18.080992
cuda,hf_Longformer,2,62.936756,54.184481,32.077224,6.742503,40.027970,18.506290,6.151163,0.454479,4.549128,15.033938
cuda,hf_Reformer,4,13.554626,11.030032,8.896687,0.956893,9.638945,1.473078,0.949566,0.070985,3.098306,1.744051
cuda,hf_T5,8,22.902984,19.066327,8.984337,2.855334,12.628557,5.153640,2.070550,0.357500,6.929546,6.638335
cuda,hf_T5_large,2,91.708145,73.879616,31.481420,11.532207,47.816499,25.416295,8.013397,2.874331,26.122229,28.408439
cuda,lennard_jones,1000,2.047201,1.885836,1.537779,0.077860,2.077529,0.101786,0.063102,0.008833,0.623139
cuda,mnasnet1_0,32,18.958464,16.532650,8.150118,2.938688,9.940197,4.266848,1.847557,0.259386,4.850725,2.514015
cuda,mobilenet_v2,96,20.776289,18.570831,9.222523,2.937426,10.922752,4.752511,2.425047,0.296168,4.769224
cuda,mobilenet_v3_large,32,20.984307,18.621981,9.316823,3.084290,12.019133,5.167545,2.067755,0.298140,5.917826,29.846765
cuda,nvidia_deeprecommender,256,2.470102,2.257466,1.730983,0.143928,2.801314,0.160994,0.085558,0.012710,1.222212,0.424055
cuda,phlippe_densenet,128,19.741771,17.516978,8.797840,2.949389,11.315762,5.178261,2.226463,0.285018,5.591195
cuda,phlippe_resnet,128,7.497333,6.635520,3.508470,1.215225,4.055577,1.249739,0.660939,0.090703,1.931916
cuda,pytorch_CycleGAN_and_pix2pix,1,7.632041,6.865704,3.378839,1.456506,5.368062,2.103878,0.838083,0.085487,3.494567
cuda,pytorch_stargan,16,8.145184,7.345779,3.894607,1.181017,4.925560,1.445237,0.500548,0.072505,38.192103,2.385874
cuda,pytorch_struct,200,2.830166,2.445214,1.511314,0.198119,2.825349,0.339533,0.181705,0.027758,1.527233,14.872320
cuda,pytorch_unet,1,9.502820,8.470172,4.527441,1.363295,6.391238,2.783614,1.116214,0.106278,3.283101
cuda,resnet152,32,52.017221,44.321278,17.783779,9.250441,19.461539,10.944126,4.317694,1.119889,11.296890,2.461805
cuda,resnet18,16,8.961214,8.070440,4.766697,1.378069,5.748066,1.953540,0.820645,0.090164,2.408497,2.058007
cuda,resnet50,32,18.911589,16.646541,7.646190,2.856766,9.233146,4.149789,1.736199,0.263579,4.886383,2.590986
cuda,resnext50_32x4d,8,17.592478,15.387298,6.730785,2.860762,8.374114,3.572407,1.728914,0.241302,4.628519,3.043421
cuda,shufflenet_v2_x1_0,128,20.774691,18.348766,9.033211,3.633315,10.716214,5.218686,2.583339,0.349652,5.456674
cuda,soft_actor_critic,256,2.679687,2.480646,2.166347,0.073509,3.124100,0.093561,0.053380,0.008612,1.037021
cuda,speech_transformer,32,26.382725,22.123734,10.776980,3.147354,14.831616,6.238054,2.631790,0.343596,7.358385
cuda,squeezenet1_1,32,4.814928,4.231587,3.007703,0.535692,4.773563,1.719708,0.864177,0.060472,2.322904
cuda,timm_efficientdet,1,82.212826,66.381567,27.951898,14.806890,49.985509,22.298000,7.277496,1.686229,43.799052,38.201796
cuda,timm_efficientnet,32,24.146444,20.511613,9.820992,3.756420,12.724310,5.996294,2.428841,0.369543,6.810566,36.192620
cuda,timm_nfnet,128,22.573456,18.668226,7.957142,4.189762,11.938813,6.073992,2.622224,0.335058,8.334193
cuda,timm_regnet,32,26.054826,21.571621,9.073892,4.246037,11.578502,5.337494,2.263236,0.430029,6.929070,19.830259
cuda,timm_resnest,32,12.469453,11.056837,6.726699,1.772070,9.428364,3.605645,1.493715,0.123743,41.461475,4.537597
cuda,timm_vision_transformer,8,14.349486,12.219022,6.059216,2.035770,13.131678,3.578886,1.642666,0.265964,16.846884,9.197092
cuda,timm_vision_transformer_large,8,43.187183,35.820395,14.754030,6.165291,37.356685,12.978557,4.988096,1.577878,12.549136,29.340790
cuda,timm_vovnet,32,15.944470,13.317773,6.864275,2.445723,9.557684,4.442003,1.742183,0.189698,5.232374,2.401111
cuda,tts_angular,64,1.972176,1.746086,1.577782,0.067495,2.053726,0.062661,0.034129,0.004415,0.547174
cuda,vgg16,64,3.478141,3.112530,2.289609,0.443372,3.410247,1.035606,0.434922,0.036999,1.577795
cuda,yolov3,16,29.592374,25.573472,12.546934,5.108203,15.215483,7.441195,2.965035,0.425368,4.311322,7.960073
