dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,26.894427,22.389590,5.106348,2.139157,9.683549,3.369598,1.275568,0.160827,1.448521,6.805511
cuda,AlbertForQuestionAnswering,4,27.014573,22.497638,5.152343,2.145350,9.761468,3.367330,1.289126,0.157753,1.061236,6.844008
cuda,AllenaiLongformerBase,4,81.448615,68.732530,31.646303,6.508978,39.758691,18.432729,5.960525,0.456510,3.356829,14.966926
cuda,BartForCausalLM,4,32.448296,26.506499,7.612490,2.133643,10.791007,4.129556,1.844754,0.345396,2.362680,5.609347
cuda,BartForConditionalGeneration,2,83.962059,67.462926,17.832362,6.449831,23.729982,10.850255,4.614295,1.476994,1.177547,12.644236
cuda,BertForMaskedLM,16,34.203475,27.462338,7.110569,2.516730,9.947751,4.184369,1.870084,0.352340,2.195875,5.472067
cuda,BertForQuestionAnswering,16,34.110410,27.398895,7.097215,2.495107,9.908636,4.174948,1.863469,0.348547,1.794974,5.423769
cuda,BlenderbotForCausalLM,4,61.402867,48.592515,11.281973,4.671664,17.905821,8.879842,3.710890,1.038174,11.844384,3.839597
cuda,BlenderbotSmallForCausalLM,64,21.663100,17.444798,4.551194,1.635628,6.845949,2.517669,1.264473,0.207963,4.008117,2.547042
cuda,BlenderbotSmallForConditionalGeneration,64,55.954606,44.851085,11.794151,3.905103,15.888541,7.198867,3.149000,0.750525,1.780214,8.193533
cuda,CamemBert,16,34.914781,28.566917,7.605874,2.279612,10.346628,4.542387,1.870092,0.348347,1.097557,5.557960
cuda,DebertaForMaskedLM,4,46.209839,35.596393,16.579379,3.195221,21.015881,6.412465,3.107186,0.400093,2.612740,7.873209
cuda,DebertaForQuestionAnswering,8,47.122197,36.450509,17.135130,3.158766,21.322534,6.548705,3.364843,0.393842,2.998722,7.594392
cuda,DebertaV2ForMaskedLM,1,85.039968,58.689388,19.640825,4.278797,23.857373,8.042183,3.960560,0.694488,1.681416,8.906698
cuda,DebertaV2ForQuestionAnswering,2,84.932697,59.007606,20.202347,4.810027,25.097919,9.599746,4.633332,0.709237,0.548634,10.388754
cuda,DistilBertForMaskedLM,128,18.709907,15.691400,5.325612,1.156438,7.427872,2.515230,1.023328,0.148028,4.031433,3.319759
cuda,DistilBertForQuestionAnswering,256,18.636298,15.667401,5.371339,1.152722,7.604471,2.538253,1.017144,0.140612,3.014575,3.446647
cuda,DistillGPT2,16,17.134830,14.102284,4.677463,1.323841,6.654302,2.204231,0.938730,0.131697,2.729964,3.354703
cuda,ElectraForCausalLM,32,36.243714,29.716297,8.951837,2.265180,14.921286,4.572773,1.935617,0.349569,4.041346,8.356696
cuda,ElectraForQuestionAnswering,64,34.928590,27.985564,7.189739,2.500358,12.248077,4.220735,1.880314,0.353599,2.295655,7.676839
cuda,GPT2ForSequenceClassification,4,29.460564,23.993444,6.684465,2.785435,9.547163,3.836546,1.710409,0.301142,2.528976,5.752073
cuda,LayoutLMForMaskedLM,16,36.381993,29.263838,8.273432,2.556329,11.154953,4.270168,1.882698,0.349829,2.658771,5.555642
cuda,LayoutLMForSequenceClassification,16,36.013549,29.027498,8.462447,2.557523,12.885517,4.981358,2.150579,0.352509,6.969272,7.098294
cuda,M2M100ForConditionalGeneration,16,82.224452,66.240239,17.067313,6.379898,24.849773,9.743859,4.658453,1.008608,11.519818,14.450368
cuda,MBartForCausalLM,4,33.510218,27.518239,8.407021,2.309004,12.012435,4.701804,1.908581,0.374826,2.304473,6.028360
cuda,MBartForConditionalGeneration,2,83.326978,66.215592,16.651309,6.846138,23.808939,11.622352,4.818521,1.533493,0.614218,14.305475
cuda,MT5ForConditionalGeneration,16,46.897999,39.110942,11.978788,4.016695,17.531722,8.336395,2.889439,0.597596,23.475367,10.148223
cuda,MegatronBertForCausalLM,4,65.688622,53.081175,13.414052,5.573142,19.463512,9.763500,3.796460,1.025626,2.025805,11.861557
cuda,MegatronBertForQuestionAnswering,8,65.671003,52.987107,13.311903,5.479987,19.301547,9.618441,3.725321,1.079537,1.647089,11.704855
cuda,MobileBertForMaskedLM,64,108.800892,88.387517,12.865329,6.922151,29.758065,15.297856,6.319027,4.171218,4.235753,24.207537
cuda,MobileBertForQuestionAnswering,128,109.073732,88.599338,12.797281,6.845762,29.627336,15.246767,6.248049,4.175844,2.966542,24.058399
cuda,OPTForCausalLM,2,32.642408,26.867411,8.144038,2.242398,11.272447,5.009464,1.973676,0.333880,3.061829,5.670721
cuda,PLBartForCausalLM,8,18.881869,15.747123,5.491683,1.133993,7.841467,2.369717,0.988878,0.143142,1.521019,3.542686
cuda,PLBartForConditionalGeneration,4,44.490425,36.051025,9.503604,3.211530,13.414259,5.574023,2.476840,0.504403,2.647063,7.280249
cuda,PegasusForCausalLM,32,32.751433,26.722693,8.016537,2.215231,11.816786,4.089078,1.913968,0.371193,2.328298,6.327846
cuda,PegasusForConditionalGeneration,32,71.816584,60.403914,12.993906,4.920877,21.888459,9.095982,4.651955,0.997799,0.637900,14.253598
cuda,RobertaForCausalLM,16,34.469414,27.741536,7.258507,2.546393,9.887424,4.255687,1.918499,0.349785,1.436744,5.291958
cuda,RobertaForQuestionAnswering,16,34.206556,27.514163,7.196060,2.499467,9.685589,4.137711,1.871100,0.343055,0.736563,5.107332
cuda,Speech2Text2ForCausalLM,256,18.958957,15.631326,6.164799,1.005906,8.585558,2.119953,1.121968,0.144714,1.332240,3.485831
cuda,T5ForConditionalGeneration,4,33.281167,27.901884,9.170974,2.890512,12.902914,5.270947,2.345479,0.359249,7.874246,6.757764
cuda,T5Small,4,33.375822,27.954847,9.193650,2.900181,12.976932,5.310947,2.355831,0.363443,7.900445,6.820456
cuda,TrOCRForCausalLM,32,32.645077,26.669526,7.769666,2.115981,10.948716,4.143332,1.861874,0.350783,1.348604,5.600469
cuda,XGLMForCausalLM,8,66.740953,54.523475,14.627635,6.532966,21.012620,9.252782,3.900504,1.082657,32.012583,13.166463
