dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,12.444304,10.794533,4.684986,1.710939,8.971874,3.356679,1.177537,0.151827,1.475196,6.079057
cuda,AlbertForQuestionAnswering,4,12.568938,10.921573,4.726834,1.699369,9.174382,3.332457,1.173537,0.154677,1.115015,6.225573
cuda,AllenaiLongformerBase,4,72.820131,62.728308,32.442197,6.638165,39.808332,17.323239,6.283358,0.446419,3.119311,14.346720
cuda,BartForCausalLM,4,19.592964,15.911181,7.071130,2.042717,10.215941,3.680236,1.578243,0.283957,1.448870,5.291866
cuda,BartForConditionalGeneration,2,47.487021,38.865190,17.161268,6.080432,22.202180,9.635204,3.963230,1.054247,1.193377,11.393784
cuda,BertForMaskedLM,16,20.235138,16.195072,6.701055,2.583919,9.267439,3.630470,1.656197,0.294800,2.097508,5.263463
cuda,BertForQuestionAnswering,16,20.104258,16.107868,6.712899,2.561094,9.237331,3.591419,1.635061,0.289664,1.677382,5.192581
cuda,BlenderbotForCausalLM,4,36.055779,28.583116,12.735791,4.435667,17.241216,7.496701,3.086731,0.677966,4.184315,9.140676
cuda,BlenderbotSmallForCausalLM,64,12.537922,10.340228,4.638186,1.491383,6.948312,2.699208,1.074723,0.171766,3.872039,2.101912
cuda,BlenderbotSmallForConditionalGeneration,64,30.752886,25.085285,11.015999,3.633492,15.020737,6.793845,2.656665,0.580961,1.840485,7.813748
cuda,CamemBert,16,20.680099,16.550540,6.749813,2.578280,9.186166,3.614604,1.651565,0.296142,0.987487,5.124469
cuda,DebertaForMaskedLM,4,34.280430,26.561992,15.073186,2.768172,19.298460,5.259621,2.509263,0.372938,2.494167,7.223403
cuda,DebertaForQuestionAnswering,8,34.063990,26.186296,14.811221,2.744940,19.274890,5.184989,2.246490,0.355570,2.741827,7.435457
cuda,DebertaV2ForMaskedLM,1,47.866146,34.460770,17.712842,3.780250,21.035253,5.413918,3.599464,0.621182,1.556894,7.479070
cuda,DebertaV2ForQuestionAnswering,2,47.612977,34.299294,17.216847,4.274067,21.735733,7.266417,3.494785,0.635192,0.486561,9.167881
cuda,DistilBertForMaskedLM,128,11.751029,10.120807,5.362082,1.095436,7.000834,2.126031,0.870212,0.134663,3.718334,3.038629
cuda,DistilBertForQuestionAnswering,256,11.671589,10.087982,5.114187,1.091589,7.128744,2.121174,0.875334,0.127042,2.928564,3.160544
cuda,DistillGPT2,16,13.451256,11.717716,6.530229,1.171238,8.435476,2.106020,1.050551,0.114265,2.919969,3.125531
cuda,ElectraForCausalLM,32,21.708781,17.723454,8.296747,2.335967,14.142305,3.711770,1.639733,0.296330,3.829617,8.294434
cuda,ElectraForQuestionAnswering,64,20.020751,16.289896,6.860480,2.348016,11.684712,3.677329,1.633397,0.321284,2.357096,7.534601
cuda,GPT2ForSequenceClassification,4,21.733727,18.185861,8.491346,2.340695,10.924067,4.151318,1.549832,0.253450,2.471261,4.868118
cuda,GoogleFnet,16,13.192968,11.289372,7.017783,1.195858,10.961588,2.212224,0.825899,0.128120,1.785701,5.208771
cuda,LayoutLMForMaskedLM,16,21.808581,17.819515,8.062411,2.141646,10.964461,3.912971,1.652344,0.293339,2.557947,5.342061
