dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,36.680924,30.375289,7.994447,2.950075,11.179112,4.693029,1.968399,0.370864,0.349042,13.557607,6.621414
cuda,Background_Matting,4,30.905236,26.269639,9.210970,4.367742,11.928941,6.205105,2.755230,0.305667,0.460664,7.676188
cuda,LearningToPaint,96,12.301746,10.582606,4.082917,1.635805,4.501768,1.460521,0.687427,0.094628,0.235966,2.342813
cuda,Super_SloMo,6,35.857001,30.704102,10.417538,4.893331,12.183893,6.328991,2.472152,0.177129,0.369995,7.135187
cuda,alexnet,128,3.929317,3.501937,2.090651,0.334594,3.237810,0.881848,0.310490,0.020530,0.145349,1.635865
cuda,attention_is_all_you_need_pytorch,256,34.573966,29.455439,9.545274,2.705755,12.601037,5.304982,2.157525,0.438701,0.397141,14.181648,6.525174
cuda,dcgan,32,3.644002,3.306914,2.098361,0.341820,2.651226,0.243234,0.106291,0.016307,0.113541,1.018862
cuda,demucs,4,3.313885,1.789631,1.581599,0.127992,1.446316,0.165827,0.082369,0.013126
cuda,densenet121,4,75.129685,64.608238,24.878563,13.417388,25.878604,14.805073,5.078894,0.798580,0.797988,15.545526
cuda,drq,1,4.390769,3.838085,2.349272,0.271138,3.341061,0.231058,0.117457,0.020860,0.268555,1.542513
cuda,fastNLP_Bert,6,36.203229,30.012484,9.963274,2.394778,13.563492,4.793880,2.054051,0.362211,0.783024,5.724825,6.905993
cuda,functorch_dp_cifar10,64,10.309259,9.078021,4.242535,1.983019,6.352504,2.386479,0.814830,0.083883,0.822511,4.967436,0.641820
cuda,hf_Albert,8,26.567292,22.086582,5.063645,1.880848,8.209632,3.332429,1.272778,0.160087,3.166736,3.907931,8.465131
cuda,hf_Bart,4,46.247930,38.215906,10.567158,2.978098,14.799268,5.676433,2.453046,0.512147,3.354901,4.310971,10.726824
cuda,hf_Bert,4,33.120975,27.009249,6.981062,2.245200,10.033309,4.348072,1.835023,0.351666,0.759418,2.247823,6.178515
cuda,hf_Bert_large,4,64.454413,52.099033,12.895295,4.845756,17.732352,8.812367,3.560880,0.979349,1.045929,1.892050,10.969284
cuda,hf_DistilBert,8,18.457322,15.465946,5.310583,1.333837,7.261974,2.114703,1.012576,0.145978,2.172951,5.227982,5.522124
cuda,hf_GPT2,4,29.381507,24.084769,6.556340,2.468661,9.572091,4.050743,1.693674,0.301416,2.175502,3.551424,7.766248
cuda,hf_Longformer,2,80.779608,68.238707,32.310536,6.613680,39.984429,17.389287,6.087022,0.462448,17.085599,4.587866,31.757210
cuda,hf_Reformer,4,17.139385,13.741646,9.309818,1.253109,9.605412,1.473211,0.751918,0.074428,2.364696,3.161245,3.961587
cuda,hf_T5,8,33.606765,28.350199,9.179089,2.586061,13.104745,5.559880,2.086911,0.366942,2.791572,6.907441,9.450351
cuda,hf_T5_large,2,125.770156,103.230828,31.298314,10.523732,46.904858,25.490747,7.907715,2.920666,4.763996,26.374303,31.460187
cuda,lennard_jones,1000,2.817275,2.509030,1.587857,0.076023,2.145415,0.102604,0.063099,0.009172,0.103440,0.742995
cuda,mnasnet1_0,32,28.691363,24.620808,8.962744,3.953456,10.283867,4.307757,2.105977,0.265427,2.757516,8.161182,2.448864
cuda,mobilenet_v2,96,31.114703,26.931071,10.054928,4.184324,11.001243,4.790386,1.988504,0.297537,0.309927,5.582697
cuda,mobilenet_v3_large,32,32.736752,28.202485,10.077867,4.585818,11.898432,5.173742,2.092633,0.298709,29.675661,36.221260,29.432233
cuda,nvidia_deeprecommender,256,3.539727,3.139390,1.790279,0.136176,2.882026,0.162691,0.086687,0.012753,0.539851,1.776413,0.410595
cuda,phlippe_densenet,128,30.270432,26.078430,9.837854,4.405709,11.425600,5.235456,2.253627,0.282421,0.325126,6.448471
cuda,phlippe_resnet,128,11.703840,10.056199,3.928264,1.583736,4.162027,1.268242,0.666876,0.090779,0.181180,2.171606
cuda,pytorch_CycleGAN_and_pix2pix,1,14.238148,12.135874,3.817721,1.889440,5.655684,2.135662,0.845045,0.085826,0.148082,3.926600
cuda,pytorch_stargan,16,11.657800,10.189344,4.242779,1.475204,5.002349,1.442508,0.510340,0.073894,18.445684,37.085021,20.859380
cuda,pytorch_struct,200,4.484363,3.779646,1.520779,0.195580,2.839100,0.332520,0.179870,0.028327,15.138423,16.667212,14.973338
cuda,pytorch_unet,1,15.256636,13.156596,4.937161,1.869829,6.504356,2.663184,1.124717,0.105103,0.182990,3.678844
cuda,resnet152,32,80.912252,68.305846,19.928632,12.342618,19.994554,11.459827,4.272769,1.135819,3.295789,16.094959,2.482346
cuda,resnet18,16,12.610079,10.970042,4.845588,1.773817,5.626280,1.952926,0.821214,0.091977,2.848292,5.452671,2.658098
cuda,resnet50,32,28.694168,24.495370,8.226771,4.087636,9.357353,4.089027,2.000759,0.263394,2.716003,8.064926,2.490503
cuda,resnext50_32x4d,8,28.072847,23.860950,7.525180,3.918083,8.687024,3.804370,1.730440,0.245053,3.005369,8.216654,2.698282
cuda,shufflenet_v2_x1_0,128,31.556189,26.980212,9.803641,4.862975,10.943125,5.333800,2.603936,0.356651,0.363341,6.511372
cuda,soft_actor_critic,256,3.120073,2.837110,2.143513,0.076785,3.071379,0.089822,0.051455,0.008646,0.222226,1.232952
cuda,speech_transformer,32,44.993328,36.937336,10.884599,3.285575,14.636659,5.769916,2.811068,0.343702,0.138256,7.338079
cuda,squeezenet1_1,32,8.073776,6.964349,3.404449,1.221624,4.643238,1.707616,0.734056,0.062511,0.161813,2.644927
cuda,timm_efficientdet,1,130.362491,105.856318,32.952664,22.229760,50.385335,22.512961,7.285979,1.697381,34.001381,45.425380,74.210392
cuda,timm_efficientnet,32,37.801909,31.732730,10.930275,5.646753,12.749158,5.952925,2.400402,0.366718,37.678666,45.306937,37.371943
cuda,timm_nfnet,128,36.160210,29.604531,8.705648,5.886225,11.514059,6.040468,2.185488,0.340462,0.478940,9.347309
cuda,timm_regnet,32,42.561500,34.950356,10.507802,6.341637,11.665781,5.691095,2.263391,0.430834,20.756685,28.445153,20.274466
cuda,timm_resnest,32,17.739914,15.474128,7.193088,2.199949,9.550875,3.660773,1.504792,0.124078,30.380147,41.568092,35.002820
cuda,timm_vision_transformer,8,22.120597,18.384837,6.019176,2.008872,12.008114,3.581695,1.667841,0.268329,11.745934,17.553770,19.836803
cuda,timm_vision_transformer_large,8,69.659050,56.793319,15.547723,6.659844,33.732012,13.587576,5.032138,1.632340,10.474642,12.029295,35.906065
