dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.4606,111.0777,48.7234,0.8903
cuda,beit_base_patch16_224,64,1.2582,107.9091,26.6331,0.9693
cuda,botnet26t_256,128,1.3180,78.9274,31.4141,0.8479
cuda,cait_m36_384,4,1.1607,145.0082,91.4950,0.8062
cuda,coat_lite_mini,128,1.9390,59.7538,60.5032,0.8498
cuda,convit_base,64,1.6057,113.2553,33.3792,1.1086
cuda,convmixer_768_32,32,1.0500,282.8946,29.7186,0.9769
cuda,convnext_base,64,1.4867,82.0979,62.0534,0.8823
cuda,crossvit_9_240,128,1.4448,75.8932,48.5250,0.8159
cuda,cspdarknet53,64,1.2945,70.2021,33.7339,0.8954
cuda,deit_base_distilled_patch16_224,64,1.2531,75.6781,27.3222,1.0186
cuda,dla102,128,1.5347,116.7424,47.9224,0.9494
cuda,dm_nfnet_f0,128,1.5353,85.4710,32.5199,1.0310
cuda,dpn107,32,1.1071,96.4855,59.2753,0.8475
cuda,eca_botnext26ts_256,128,1.3012,84.4882,37.6588,1.1055
cuda,eca_halonext26ts,0,0.0000
cuda,ese_vovnet19b_dw,128,1.3531,48.8189,17.7322,0.9156
cuda,fbnetc_100,128,1.3191,63.7650,31.7033,0.8956
cuda,fbnetv3_b,128,1.3406,86.2116,54.2243,0.9840
cuda,gernet_l,128,1.0408,72.8872,27.0399,0.8487
cuda,ghostnet_100,128,1.8807,49.4390,48.2017,0.9455
cuda,gluon_inception_v3,128,1.4699,111.0433,48.4636,0.8903
cuda,gluon_xception65,32,1.1026,89.2266,56.3850,0.8867
cuda,gmixer_24_224,128,1.5168,79.5032,41.5748,1.3273
cuda,gmlp_s16_224,128,1.5510,88.3248,44.7835,1.3268
cuda,hrnet_w18,128,1.3684,212.2713,144.2164,0.8917
cuda,inception_v3,128,1.4598,111.1429,48.5999,0.8903
cuda,jx_nest_base,32,1.3304,89.5470,64.8164,0.7421
cuda,lcnet_050,128,1.7657,17.3678,19.0755,0.8352
cuda,mixer_b16_224,128,1.3153,90.4631,24.2646,0.9291
cuda,mixnet_l,128,1.1706,156.7235,45.0449,0.8794
cuda,mnasnet_100,128,1.3922,48.1384,26.1965,0.8684
cuda,mobilenetv2_100,128,1.3543,47.6524,27.2192,1.0579
cuda,mobilenetv3_large_100,128,1.4039,45.0112,29.9432,0.9294
cuda,mobilevit_s,64,1.3547,64.9498,67.6164,1.1803
cuda,nfnet_l0,128,1.5654,67.8123,31.9101,1.0282
cuda,pit_b_224,64,1.3136,117.5822,27.2353,0.9627
cuda,pnasnet5large,16,1.1374,180.6327,99.1317,1.2024
cuda,poolformer_m36,64,1.2804,116.8898,57.5345,1.4053
cuda,regnety_002,128,1.6533,27.1622,26.9912,0.8297
cuda,repvgg_a2,128,1.1131,67.9394,26.2350,0.7734
cuda,res2net101_26w_4s,64,1.1939,85.5139,84.0041,0.8805
cuda,res2net50_14w_8s,128,1.3893,105.4992,76.0871,0.8708
cuda,res2next50,128,1.3736,101.1666,42.4508,0.8655
cuda,resmlp_12_224,128,1.1817,57.9811,24.6977,1.0078
cuda,resnest101e,64,1.4313,115.3787,89.0363,1.0498
cuda,rexnet_100,128,1.2350,71.3998,38.4998,1.2191
cuda,sebotnet33ts_256,64,1.2017,67.1376,40.1955,1.0293
cuda,selecsls42b,128,1.3945,45.1537,23.6340,0.8755
cuda,spnasnet_100,128,1.3262,54.8572,32.0491,0.8785
cuda,swin_base_patch4_window7_224,64,1.5245,96.3613,83.6223,0.7632
cuda,swsl_resnext101_32x16d,32,1.0707,111.7704,47.4945,0.7858
cuda,tf_efficientnet_b0,128,1.2939,67.7777,34.2755,1.1849
cuda,tf_mixnet_l,128,1.1815,162.3857,45.9540,0.9460
cuda,tinynet_a,128,1.2033,59.8028,38.4147,1.3653
cuda,tnt_s_patch16_224,128,2.0994,173.6854,48.0468,1.0935
cuda,twins_pcpvt_base,64,2.0517,66.3362,102.0680,0.9980
cuda,visformer_small,128,1.1813,83.4918,32.1132,1.2073
cuda,vit_base_patch16_224,64,1.1757,103.0947,26.5765,1.0180
cuda,volo_d1_224,64,1.6079,83.6976,46.4283,1.0684
cuda,xcit_large_24_p8_224,5,2.0202,63.5322,94.0568,0.7566
