dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,4,6.202441,4.496069
cuda,AlbertForQuestionAnswering,4,6.416838,4.639882
cuda,AllenaiLongformerBase,4,25.327420,17.321666
cuda,BartForCausalLM,4,8.037844,4.844956
cuda,BartForConditionalGeneration,2,20.276175,12.683362
cuda,BertForMaskedLM,16,8.355752,5.086149
cuda,BertForQuestionAnswering,16,8.511860,5.191092
cuda,BlenderbotForCausalLM,4,16.113336,9.965497
cuda,BlenderbotSmallForCausalLM,64,5.335082,3.276063
cuda,BlenderbotSmallForConditionalGeneration,64,13.536749,8.442185
cuda,CamemBert,16,8.498183,5.209080
cuda,DebertaForMaskedLM,4,13.944869,7.291343
cuda,DebertaForQuestionAnswering,8,13.950120,7.526927
cuda,DebertaV2ForMaskedLM,1,23.513764,11.319545
cuda,DebertaV2ForQuestionAnswering,2,23.262128,11.736665
cuda,DistilBertForMaskedLM,128,4.216147,2.691173
cuda,DistilBertForQuestionAnswering,256,4.167087,2.658920
cuda,DistillGPT2,16,4.014800,2.526819
cuda,ElectraForCausalLM,32,8.500362,5.163868
cuda,ElectraForQuestionAnswering,64,8.341534,5.076830
cuda,GPT2ForSequenceClassification,4,7.645061,4.771755
cuda,GoogleFnet,16,4.352415,2.420407
cuda,LayoutLMForMaskedLM,16,8.821290,5.411437
cuda,LayoutLMForSequenceClassification,16,8.711557,5.168498
cuda,M2M100ForConditionalGeneration,16,19.991363,12.298350
cuda,MBartForCausalLM,4,8.419366,5.055605
cuda,MBartForConditionalGeneration,2,21.034891,13.154372
cuda,MT5ForConditionalGeneration,16,14.703685,9.744523
cuda,MegatronBertForCausalLM,4,17.706383,10.975791
cuda,MegatronBertForQuestionAnswering,8,16.859872,10.269794
cuda,MobileBertForMaskedLM,64,24.686346,17.464444
cuda,MobileBertForQuestionAnswering,128,24.295752,17.160066
cuda,OPTForCausalLM,2,8.135891,4.985622
cuda,PLBartForCausalLM,8,4.296323,2.637629
cuda,PLBartForConditionalGeneration,4,10.583820,6.808367
cuda,PegasusForCausalLM,32,8.092521,4.851835
cuda,PegasusForConditionalGeneration,32,14.632760,11.053491
cuda,RobertaForCausalLM,16,8.391981,5.114438
cuda,RobertaForQuestionAnswering,16,8.580155,5.220906
cuda,Speech2Text2ForCausalLM,256,4.253930,2.561375
cuda,T5ForConditionalGeneration,4,10.348897,6.640146
cuda,T5Small,4,10.297492,6.593872
cuda,TrOCRForCausalLM,32,8.028425,4.857542
cuda,XGLMForCausalLM,8,16.486006,10.608603
cuda,XLNetLMHeadModel,8,23.939667,16.536285
cuda,YituTechConvBert,16,12.451658,7.852425
