dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.8898,254.8405,12.2469,0.8558
cuda,beit_base_patch16_224,64,0.9585,134.9028,7.2474,0.9247
cuda,botnet26t_256,128,0.8994,166.8393,5.6879,0.8403
cuda,cait_m36_384,4,0.9888,220.5791,25.9894,0.8877
cuda,coat_lite_mini,128,0.9965,191.5920,6.6488,0.8740
cuda,convit_base,64,0.9965,197.7853,7.3832,0.8644
cuda,convmixer_768_32,32,0.9802,372.3754,6.6851,0.9855
cuda,convnext_base,64,0.9946,264.4047,9.4561,0.8971
cuda,crossvit_9_240,128,0.9889,95.7055,10.4783,0.8619
cuda,cspdarknet53,64,0.8337,150.4289,9.9724,0.8525
cuda,deit_base_distilled_patch16_224,64,0.9953,121.5334,5.5723,0.9135
cuda,dla102,128,0.8806,306.4421,14.0379,0.9113
cuda,dm_nfnet_f0,128,0.9946,207.0779,9.6879,0.8778
cuda,dpn107,32,0.8894,206.2127,18.3788,0.9017
cuda,eca_botnext26ts_256,128,0.7195,223.9253,6.4171,0.7658
cuda,eca_halonext26ts,128,0.7258,230.2397,6.7179,0.7671
cuda,ese_vovnet19b_dw,128,0.8903,109.5673,4.1544,0.8854
cuda,fbnetc_100,128,0.8225,145.3286,9.0752,0.8502
cuda,fbnetv3_b,128,0.8279,189.9239,15.7580,0.7822
cuda,gernet_l,128,0.9008,178.9617,8.3403,0.7787
cuda,ghostnet_100,128,0.7806,147.3014,14.1061,0.8768
cuda,gluon_inception_v3,128,0.8875,255.5484,12.3235,0.8558
cuda,gluon_xception65,32,0.8890,206.1844,16.6528,0.9253
cuda,gmixer_24_224,128,0.8306,176.7662,10.1012,0.9653
cuda,gmlp_s16_224,128,0.9915,153.0754,9.7666,0.9743
cuda,hrnet_w18,128,0.7274,574.0843,35.3870,0.9265
cuda,inception_v3,128,0.8884,255.5573,12.5724,0.8558
cuda,jx_nest_base,32,0.9879,122.2684,12.5069,0.8751
cuda,lcnet_050,128,0.7660,47.9310,4.7210,0.7525
cuda,mixer_b16_224,128,0.9963,160.7788,4.4949,0.9521
cuda,mixnet_l,128,0.8310,293.7965,14.3116,0.8439
cuda,mnasnet_100,128,0.8137,117.4990,7.1622,0.9005
cuda,mobilenetv2_100,128,0.8243,114.8060,7.6493,0.7616
cuda,mobilenetv3_large_100,128,0.8142,101.8279,8.1280,0.8574
cuda,mobilevit_s,64,0.7134,161.1400,9.5709,0.7658
cuda,nfnet_l0,128,0.7858,224.6616,9.5080,0.8195
cuda,pit_b_224,64,0.9944,159.8240,6.4696,0.7764
cuda,pnasnet5large,16,0.9396,307.5673,23.5494,1.0120
cuda,poolformer_m36,64,0.9914,176.6875,11.1400,0.9381
cuda,regnety_002,128,0.7824,59.1020,7.7061,0.8089
cuda,repvgg_a2,128,0.8649,142.1613,8.3860,0.7894
cuda,res2net101_26w_4s,64,0.8623,176.5327,25.1386,0.9126
cuda,res2net50_14w_8s,128,0.8626,266.5235,22.9108,0.8997
cuda,res2next50,128,0.8837,234.4484,12.5832,0.9095
cuda,resmlp_12_224,128,0.9920,71.8855,4.0603,0.9352
cuda,resnest101e,64,0.8951,257.1034,23.1923,0.9415
cuda,rexnet_100,128,0.7319,158.9183,10.1977,0.7840
cuda,sebotnet33ts_256,64,0.7640,146.3153,6.6782,0.7111
cuda,selecsls42b,128,0.8604,104.4763,5.4425,0.8779
cuda,spnasnet_100,128,0.8070,126.5441,9.0996,0.9087
cuda,swin_base_patch4_window7_224,64,0.9712,243.3051,16.1174,0.9083
cuda,swsl_resnext101_32x16d,32,0.9111,240.9104,13.6698,0.8514
cuda,tf_efficientnet_b0,128,0.7158,183.5829,9.9412,0.7680
cuda,tf_mixnet_l,128,0.8362,303.0929,14.6112,0.8560
cuda,tinynet_a,128,0.7015,151.9332,11.0253,0.7780
cuda,tnt_s_patch16_224,128,0.9970,472.4940,13.6073,0.9721
cuda,twins_pcpvt_base,64,0.9846,136.7170,18.1965,0.9056
cuda,visformer_small,128,0.9466,135.7812,5.5331,0.9236
cuda,vit_base_patch16_224,64,0.9950,120.8498,5.5375,0.9115
cuda,volo_d1_224,64,0.9736,157.5373,9.8922,0.9111
cuda,xcit_large_24_p8_224,5,0.9393,153.6650,25.4084,0.8576
