dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,15.099603,13.116087,5.287888,1.925580,10.163960,3.595226,1.308984,0.159322,1.304167,1.464567,8.200260
cuda,AlbertForQuestionAnswering,4,15.085518,13.143688,5.290936,1.895836,10.163666,3.556841,1.284407,0.155589,0.941221,1.052725,7.802899
cuda,AllenaiLongformerBase,4,62.997726,54.120459,32.249648,6.503844,39.779004,17.315839,6.106898,0.456379,16.428387,3.266258,30.843529
cuda,BartForCausalLM,4,19.803211,16.450946,7.784712,2.320482,11.043206,3.886125,1.860059,0.347284,2.140614,2.328361,7.836614
cuda,BartForConditionalGeneration,2,49.336161,40.646520,18.414100,6.010482,24.448302,11.365124,4.683187,1.455670,1.224077,1.240208,13.578594
cuda,BertForMaskedLM,16,19.897278,16.307677,7.199823,2.214453,10.379934,4.410198,1.894300,0.352349,1.840352,2.225043,7.357572
cuda,BertForQuestionAnswering,16,19.925865,16.330581,7.353597,2.216116,10.402128,4.343493,1.879858,0.345531,1.364300,1.715765,6.751354
cuda,BlenderbotSmallForCausalLM,64,13.156539,10.899477,4.793790,1.430908,7.110050,2.548961,1.280347,0.209478,2.916450,6.747001,2.694953
cuda,BlenderbotSmallForConditionalGeneration,64,33.033026,27.261676,12.513629,3.897573,16.592562,7.525415,3.212296,0.757390,1.926799,1.903707,10.110845
cuda,CamemBert,16,19.908024,16.318225,7.218268,2.246131,10.312445,4.407172,1.873826,0.352031,0.729850,1.070002,6.193461
cuda,DebertaForMaskedLM,4,34.107461,26.990925,16.751287,3.081030,20.578430,5.784827,2.728242,0.400714,15.827805,2.782351,23.015956
cuda,DebertaForQuestionAnswering,8,34.286214,27.122450,16.807999,3.081659,20.435585,5.786370,2.739778,0.401788,16.399536,2.943918,23.393770
cuda,DebertaV2ForMaskedLM,1,51.954151,38.361304,20.308032,4.590963,23.781306,7.210742,3.818787,0.705668,34.862173,1.781268,43.400305
cuda,DebertaV2ForQuestionAnswering,2,53.319938,39.247143,20.258288,5.163815,24.400830,8.763675,4.468127,0.712109,35.002522,0.573924,44.791761
cuda,DistilBertForMaskedLM,128,11.864412,10.271758,5.521083,1.155465,7.518387,2.355159,1.027866,0.145808,1.411216,3.978781,4.628164
cuda,DistilBertForQuestionAnswering,256,11.969923,10.371166,5.605667,1.157237,7.700954,2.388154,1.029001,0.140242,0.816631,3.003921,4.135173
cuda,DistillGPT2,16,10.458621,8.949184,4.752624,1.243330,6.801161,2.210063,0.964751,0.132564,1.709483,2.768320,5.058088
cuda,ElectraForCausalLM,32,21.742814,18.159997,9.100378,2.247403,15.150808,4.543448,1.949522,0.354899,3.623081,4.112747,12.047672
cuda,ElectraForQuestionAnswering,64,20.304222,16.635287,7.472897,2.228502,12.785619,4.444812,1.898578,0.351085,2.132877,2.397233,9.798401
cuda,GPT2ForSequenceClassification,4,17.684673,14.700217,6.626875,2.623741,9.392858,3.824243,1.719929,0.299836,1.595108,2.352897,7.094708
cuda,LayoutLMForMaskedLM,16,21.784076,17.855579,8.483629,2.304672,11.742791,4.541193,1.946365,0.364473,1.852823,2.583440,7.544626
cuda,LayoutLMForSequenceClassification,16,21.677157,17.844216,8.718523,2.337945,13.546334,5.317267,2.190756,0.350935,6.323713,7.105779,13.613436
cuda,M2M100ForConditionalGeneration,16,47.205731,38.663143,17.435737,6.114165,24.991184,10.126690,4.737269,1.012139,4.427757,11.508292,18.396238
cuda,MBartForCausalLM,4,20.270573,16.883178,8.305007,2.478305,11.740899,4.096782,2.146991,0.373862,2.129041,2.258290,8.163399
cuda,MBartForConditionalGeneration,2,50.370517,41.270496,17.633781,6.413511,25.276662,12.091258,5.585196,1.589277,0.559684,0.659707,14.937103
cuda,MT5ForConditionalGeneration,16,31.485259,26.283836,11.599093,4.043212,17.237634,7.842525,2.943827,0.581806,4.244397,23.572894,14.134864
cuda,MegatronBertForCausalLM,4,38.395435,31.198255,13.371099,4.863375,19.529452,9.817280,3.832937,1.040637,1.032475,2.014401,12.309824
cuda,MegatronBertForQuestionAnswering,8,38.215665,31.063160,13.266629,5.104814,19.066542,9.337368,3.757408,1.034449,1.338187,1.683018,12.491971
cuda,MobileBertForMaskedLM,64,51.245852,42.504002,12.459291,6.218552,29.626430,15.364211,6.314644,4.099214,3.053237,4.335115,26.837688
cuda,MobileBertForQuestionAnswering,128,51.344558,42.608002,12.390389,6.146407,29.689851,15.242285,6.294651,4.214762,2.588719,2.979072,26.428741
cuda,OPTForCausalLM,2,19.250940,16.145069,7.913650,2.400475,11.037437,4.559707,1.974562,0.334729,2.495343,3.182995,8.133913
cuda,PLBartForCausalLM,8,11.987322,10.282871,5.681429,1.128230,7.875124,2.205890,0.990020,0.145304,1.321285,1.515650,4.704856
cuda,PLBartForConditionalGeneration,4,25.591869,21.431656,9.633563,3.139787,13.651355,5.588548,2.482170,0.504982,2.380228,2.557512,9.697558
cuda,PegasusForCausalLM,32,19.474930,16.109753,7.786215,2.400210,11.600087,4.080698,1.928077,0.375050,2.636949,2.465237,8.975904
cuda,PegasusForConditionalGeneration,32,37.578621,33.185537,13.086806,4.642170,21.725023,9.365061,4.194519,0.984076,1.887239,0.652115,15.427304
cuda,RobertaForCausalLM,16,20.074894,16.492321,7.392554,2.259837,10.316805,4.491938,1.923083,0.351134,0.688740,1.430899,5.996039
cuda,RobertaForQuestionAnswering,16,19.880143,16.325122,7.238484,2.223010,10.000028,4.397086,1.894340,0.346256,0.408124,0.772984,5.515407
cuda,Speech2Text2ForCausalLM,256,12.112423,10.381043,6.275205,0.982106,8.753859,1.929997,0.963005,0.142276,1.468765,1.348127,4.988672
cuda,T5ForConditionalGeneration,4,22.545619,18.907341,9.101420,2.869545,12.868001,5.258669,2.133510,0.363928,3.062629,8.112711,9.840083
cuda,T5Small,4,22.745831,19.100838,9.194160,2.911551,12.972453,5.277460,2.124267,0.360591,3.109179,7.968818,9.941235
cuda,TrOCRForCausalLM,32,19.568095,16.252348,7.740839,2.273249,10.959367,3.871674,1.854061,0.345051,1.299490,1.356045,6.907663
cuda,XGLMForCausalLM,8,38.701156,32.124296,14.369672,4.924366,22.164834,9.674817,3.895669,1.064091,4.269504,32.595068,17.239123
cuda,XLNetLMHeadModel,8,52.105540,44.523685,19.716769,7.093727,25.050457,13.944691,4.248039,1.049900,10.943665,13.618733
cuda,YituTechConvBert,16,29.457498,24.338140,10.823593,4.011790,16.788034,6.754442,2.847550,0.589613,6.132880,9.376995,16.298510
