dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,11.543388,9.965386,3.985159,1.695257,8.131586,3.333263,1.194546,0.153564,1.494543,5.922322
cuda,AlbertForQuestionAnswering,4,11.546885,9.983564,3.979039,1.673676,8.216011,3.295881,1.191176,0.146675,1.121775,5.989781
cuda,AllenaiLongformerBase,4,58.992410,50.248936,29.047789,6.268527,36.660896,17.724990,6.229701,0.444046,3.190242,14.215682
cuda,BartForCausalLM,4,16.372535,13.194828,6.234212,2.013967,9.396935,3.678185,1.617159,0.275238,1.476119,5.276249
cuda,BartForConditionalGeneration,2,42.126123,34.332309,16.852968,6.646308,21.322309,9.649567,3.985133,1.045677,1.243649,11.376637
cuda,BertForMaskedLM,16,17.214987,13.487753,6.052296,2.592998,8.732008,3.738186,1.703196,0.298131,2.108566,5.383194
cuda,BertForQuestionAnswering,16,16.930134,13.327860,6.066508,2.492953,8.597172,3.616980,1.656064,0.286082,1.687922,5.131794
cuda,BlenderbotForCausalLM,4,32.309238,24.976258,11.709101,4.383249,16.290399,7.122087,3.149471,0.669868,4.168056,9.163080
cuda,BlenderbotSmallForCausalLM,64,10.470727,8.435071,3.712624,1.323335,6.172266,2.625224,1.111266,0.173539,3.851779,2.019544
cuda,BlenderbotSmallForConditionalGeneration,64,27.296057,22.024328,10.218010,3.666243,13.870826,6.471993,2.741342,0.569894,2.242674,7.494325
cuda,CamemBert,16,16.809316,13.213707,5.908595,2.509402,8.397596,3.623444,1.667494,0.291503,0.990381,5.105750
cuda,DebertaForMaskedLM,4,27.327072,20.573369,11.403452,2.735504,15.019171,5.441511,2.287328,0.360996,2.365355,6.577416
cuda,DebertaForQuestionAnswering,8,27.700283,21.132742,11.247964,2.572646,14.761804,5.187249,2.510948,0.359531,2.719149,6.313422
cuda,DebertaV2ForMaskedLM,1,41.103320,28.636261,13.752049,3.920125,16.093252,5.924816,2.937486,0.627864,1.659821,6.636164
