dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,13.390473,11.650550,8.956451,3.006102,1.672108,5.010738,3.277163,1.216722,0.154365,1.429823,3.755780
cuda,AlbertForQuestionAnswering,4,13.212511,11.522710,8.916075,3.002881,1.641893,4.967732,3.226924,1.207563,0.146818,1.071936,3.684835
cuda,BartForCausalLM,4,16.247750,13.224218,10.417372,3.968413,1.933073,5.896226,3.397162,1.601869,0.287694,1.492369,3.958731
cuda,BartForConditionalGeneration,2,39.530880,31.502215,28.545681,11.487503,5.583309,15.432879,9.099208,3.979589,1.070073,1.260354,9.784657
cuda,BertForMaskedLM,16,17.687583,14.239066,11.478673,4.472532,2.448657,6.059612,3.333646,1.649038,0.303598,2.088038,4.141447
cuda,BertForQuestionAnswering,16,17.552088,14.161807,11.415074,4.459029,2.226297,6.006034,3.301656,1.635031,0.302148,1.656836,4.075914
cuda,BlenderbotForCausalLM,4,30.901228,24.263338,21.648810,8.768202,4.337650,11.766468,6.547807,3.166415,0.703295,4.309819,7.532206
cuda,BlenderbotSmallForCausalLM,64,11.861642,9.807862,7.250914,2.750434,1.440066,3.984758,2.233929,1.080272,0.174096,2.739741,2.051150
cuda,BlenderbotSmallForConditionalGeneration,64,26.901710,21.554990,18.579076,7.225687,3.241549,10.240694,5.753604,2.674632,0.601039,1.862426,6.428563
cuda,CamemBert,16,17.389293,14.244199,11.489851,4.462932,2.042095,6.307511,3.326382,1.919327,0.302214,0.947201,4.377565
cuda,DebertaForMaskedLM,4,18.367305,13.326982,10.510977,3.669972,2.006154,6.253785,3.553864,1.754937,0.281557,1.843514,4.747216
cuda,DebertaForQuestionAnswering,8,17.978929,13.024240,10.392299,3.623984,1.757092,6.429722,3.726978,1.737647,0.278604,2.406220,4.717932
cuda,DebertaV2ForMaskedLM,1,31.977945,21.563053,18.575812,6.495398,2.897316,8.437196,4.761322,2.411358,0.555127,1.866190,5.135524
cuda,DebertaV2ForQuestionAnswering,2,32.599072,22.360728,19.227201,7.077131,3.184917,10.148571,5.435016,3.418946,0.559514,6.547804
cuda,DistilBertForMaskedLM,128,10.472216,8.954084,6.414262,2.735118,1.051434,3.702745,2.036896,0.887208,0.129536,3.715994,2.073255
cuda,DistilBertForQuestionAnswering,256,10.468853,8.969022,6.431330,2.716290,1.036706,3.729511,2.069715,0.890281,0.128659,2.920710,2.106177
cuda,DistillGPT2,16,10.142027,8.654243,6.084854,2.574716,1.286639,3.485062,1.970745,0.896104,0.112497,2.183308,2.244728
cuda,ElectraForCausalLM,32,18.079037,14.568963,11.783313,4.648818,2.251043,6.333985,3.490284,1.710481,0.306165,3.838284,4.247258
cuda,ElectraForQuestionAnswering,64,17.944636,14.794054,11.784622,4.714224,2.057509,6.605398,3.367566,1.652747,0.307567,2.336852,4.242015
cuda,GPT2ForSequenceClassification,4,17.124604,14.366402,11.497454,5.151253,2.139081,6.785470,4.156635,1.598089,0.251712,1.460220,3.867360
cuda,GoogleFnet,16,10.741979,8.986773,6.047590,2.454438,1.350303,3.594995,1.918294,1.084755,0.128353,1.794604,2.561998
cuda,LayoutLMForMaskedLM,16,18.619272,14.871048,11.802719,4.373739,2.112443,6.214658,3.418751,1.691936,0.306897,2.538364,4.291324
cuda,LayoutLMForSequenceClassification,16,18.948624,15.476258,12.252599,4.843277,2.622262,7.592417,4.201808,1.974615,0.309814,6.696845,5.482526
