dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.8470,191.7743,13.1239,0.8758
cuda,beit_base_patch16_224,64,0.9506,142.5459,8.7239,0.9344
cuda,botnet26t_256,128,0.8483,122.4267,6.0353,0.8758
cuda,cait_m36_384,4,0.8171,205.5300,31.9460,0.9132
cuda,coat_lite_mini,128,0.9906,116.8199,7.9087,0.9291
cuda,convit_base,64,0.9946,182.8478,9.1289,0.8502
cuda,convmixer_768_32,32,0.9530,310.9988,7.7223,0.9814
cuda,convnext_base,64,0.9876,123.7498,11.9930,0.9276
cuda,crossvit_9_240,128,0.9875,110.7565,13.0773,0.8813
cuda,cspdarknet53,64,0.7815,116.1074,11.2342,0.8450
cuda,deit_base_distilled_patch16_224,64,0.9891,95.6653,7.1615,0.9358
cuda,dla102,128,0.8051,222.5980,14.9845,0.9175
cuda,dm_nfnet_f0,128,0.9908,132.4383,11.2736,0.9053
cuda,dpn107,32,0.7853,135.7901,19.3832,0.9084
cuda,eca_botnext26ts_256,128,0.7252,151.7186,6.9044,0.7769
cuda,eca_halonext26ts,128,0.7319,155.7683,7.1731,0.7817
cuda,ese_vovnet19b_dw,128,0.8374,78.7674,4.4971,0.8679
cuda,fbnetc_100,128,0.7394,113.6083,9.6101,0.8653
cuda,fbnetv3_b,128,0.7654,151.0442,17.8574,0.7925
cuda,gernet_l,128,0.7894,95.9122,8.9193,0.8640
cuda,ghostnet_100,128,0.7579,122.5452,15.2255,0.8925
cuda,gluon_inception_v3,128,0.8514,191.6932,13.1528,0.8758
cuda,gluon_xception65,32,0.8081,121.7119,17.8596,0.8869
cuda,gmixer_24_224,128,0.8734,137.7234,13.1192,0.9787
cuda,gmlp_s16_224,128,0.9885,138.2753,12.2138,0.9775
cuda,hrnet_w18,128,0.6431,451.0741,39.0721,0.9252
cuda,inception_v3,128,0.8509,190.4555,13.2230,0.8758
cuda,jx_nest_base,32,0.9869,120.7361,14.2472,0.8942
cuda,lcnet_050,128,0.7298,41.9364,5.2478,0.7964
cuda,mixer_b16_224,128,0.9936,119.2847,5.8851,0.9644
cuda,mixnet_l,128,0.8158,224.7829,15.7457,0.8518
cuda,mnasnet_100,128,0.7451,89.9106,7.8986,0.8903
cuda,mobilenetv2_100,128,0.7313,88.0736,8.1898,0.7729
cuda,mobilenetv3_large_100,128,0.7617,82.9108,8.7326,0.8599
cuda,mobilevit_s,64,0.7410,118.3771,11.2926,0.7711
cuda,nfnet_l0,128,0.8037,132.5731,10.5716,0.8226
cuda,pit_b_224,64,0.9923,155.8238,8.2370,0.8033
cuda,pnasnet5large,16,0.9087,226.5170,26.9474,0.9944
cuda,poolformer_m36,64,0.9910,151.0057,12.4801,0.9453
cuda,regnety_002,128,0.7832,55.5560,8.7147,0.8273
cuda,repvgg_a2,128,0.7523,100.2004,8.9343,0.7929
cuda,res2net101_26w_4s,64,0.7599,134.0344,27.0721,0.9193
cuda,res2net50_14w_8s,128,0.7760,188.4567,24.4134,0.9150
cuda,res2next50,128,0.8146,170.4510,12.8543,0.9170
cuda,resmlp_12_224,128,0.9898,69.2011,5.2049,0.9668
cuda,resnest101e,64,0.8444,196.2207,25.0886,0.9943
cuda,rexnet_100,128,0.7210,121.9432,11.1852,0.7931
cuda,sebotnet33ts_256,64,0.7657,105.3691,7.5792,0.7151
cuda,selecsls42b,128,0.7990,78.7980,5.7667,0.8989
cuda,spnasnet_100,128,0.7400,98.2595,9.6802,0.8993
cuda,swin_base_patch4_window7_224,64,0.9191,159.7899,19.1311,0.9238
cuda,swsl_resnext101_32x16d,32,0.8115,147.5493,14.8260,0.8709
cuda,tf_efficientnet_b0,128,0.6887,127.1722,10.5026,0.7772
cuda,tf_mixnet_l,128,0.8207,233.7258,17.0001,0.8625
cuda,tinynet_a,128,0.6738,106.4436,12.2879,0.7960
cuda,tnt_s_patch16_224,128,0.9944,366.7687,16.3573,0.9782
cuda,twins_pcpvt_base,64,0.9053,147.1381,24.2847,0.9270
cuda,visformer_small,128,0.9335,105.4680,6.2737,0.9331
cuda,vit_base_patch16_224,64,0.9914,122.0985,7.0929,0.9361
cuda,volo_d1_224,64,0.9708,138.3821,11.6877,0.9515
cuda,xcit_large_24_p8_224,5,0.7804,157.6548,28.7985,0.8870
