dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.8034,66.5621,10.9311,0.8688
cuda,Background_Matting,4,0.1363,933.0814,11.6629,0.6516
cuda,LearningToPaint,96,0.7394,16.3297,3.0625,0.7604
cuda,Super_SloMo,6,0.1766,448.1434,9.6134,0.8285
cuda,alexnet,128,0.9585,10.2121,0.6854,0.8317
cuda,attention_is_all_you_need_pytorch,256,0.8897,60.6226,10.6233,0.9416
cuda,dcgan,32,0.6476,3.1932,0.6631,0.8225
cuda,demucs,4,0.9699,55.3847,1.8072,0.9976
cuda,densenet121,4,0.6442,83.1063,18.5863,0.8749
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,1024,0.8593,4.7480,0.7615,0.9949
cuda,drq,1,0.6875,4.5880,0.9376,0.8950
cuda,fastNLP_Bert,6,0.8510,65.9966,10.6068,0.8883
cuda,functorch_dp_cifar10,64,0.8562,12.0240,2.3051,0.8356
cuda,hf_Albert,8,0.9565,73.1442,8.4902,0.9542
cuda,hf_Bart,4,0.7974,71.5474,13.2538,0.8136
cuda,hf_Bert,4,0.7905,51.5055,11.0595,0.9022
cuda,hf_Bert_large,4,0.8297,100.3739,22.1556,0.8832
cuda,hf_BigBird,2,0.7940,241.8718,37.7956,0.9619
cuda,hf_DistilBert,8,0.9012,36.1474,5.6588,0.8720
cuda,hf_GPT2,4,0.9672,50.8847,9.1965,0.8681
cuda,hf_GPT2_large,4,0.9602,218.4238,27.7083,0.8551
cuda,hf_Longformer,2,0.6365,188.5708,28.4440,0.8108
cuda,hf_Reformer,4,0.9833,83.6469,4.0870,0.9234
cuda,hf_T5,8,0.8492,206.2276,12.2183,0.9618
cuda,hf_T5_large,2,0.8247,319.8688,48.0486,0.9098
cuda,lennard_jones,1000,0.7064,2.2086,0.5399,1.0001
cuda,mnasnet1_0,32,0.7014,32.4484,7.1014,0.8818
cuda,mobilenet_v2,96,0.7518,63.8532,7.2999,0.7732
cuda,mobilenet_v3_large,32,0.7494,36.4345,8.1487,0.8588
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.8920,11.4840,0.6825,0.8684
cuda,phlippe_densenet,128,0.7094,33.6567,7.4565,0.8539
cuda,phlippe_resnet,128,0.6933,13.2050,2.8238,0.8887
cuda,pytorch_CycleGAN_and_pix2pix,1,0.8668,15.4275,2.9848,0.8613
cuda,pytorch_stargan,16,0.8054,18.4198,3.1767,0.9745
cuda,pytorch_struct,200,0.7385,6.3800,1.2792,0.5170
cuda,pytorch_unet,1,0.2031,197.1867,4.5222,0.7175
cuda,resnet152,32,0.6984,92.4352,21.8861,0.8962
cuda,resnet18,16,0.6888,12.9373,2.8114,0.7901
cuda,resnet50,32,0.7394,35.6965,7.2169,0.8672
cuda,resnext50_32x4d,8,0.6256,31.6479,7.1850,0.8662
cuda,shufflenet_v2_x1_0,128,0.7456,45.0102,8.0575,0.9036
cuda,soft_actor_critic,256,0.6383,2.7655,0.5616,0.9259
cuda,speech_transformer,32,0.7966,75.2347,13.1671,0.9041
cuda,squeezenet1_1,32,0.9123,11.3111,1.5703,0.8123
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,0.6346,206.8304,40.6527,0.8397
cuda,timm_efficientnet,32,0.6564,54.0998,10.3966,0.7771
cuda,timm_nfnet,128,0.9902,123.5173,10.7073,0.8713
cuda,timm_regnet,32,0.7880,75.2750,12.0527,0.8573
cuda,timm_resnest,32,0.8286,28.5998,3.8521,0.8920
cuda,timm_vision_transformer,8,0.8075,36.4902,6.9829,0.8775
cuda,timm_vision_transformer_large,8,0.9559,194.1924,23.5209,0.8067
cuda,timm_vovnet,32,0.7415,35.7793,6.1314,0.7677
cuda,tts_angular,64,0.9108,6.9532,0.3821,0.9973
cuda,vgg16,64,0.9852,67.3198,1.0572,0.7287
cuda,yolov3,16,0.7768,87.9267,11.0070,0.8352
