dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.9007,25.2506,43.2786,0.9130
cuda,Background_Matting,4,1.0585,171.9340,33.3735,0.9132
cuda,LearningToPaint,96,1.1283,12.5201,19.2939,0.6854
cuda,Super_SloMo,6,1.1783,99.3750,31.1217,1.0704
cuda,alexnet,128,1.1142,11.0490,7.5862,0.8346
cuda,attention_is_all_you_need_pytorch,256,1.0431,70.2971,46.4800,0.8150
cuda,dcgan,32,1.1677,1.8686,9.2295,0.8324
cuda,demucs,4,1.0293,73.6516,23.3234,0.7559
cuda,densenet121,4,2.4659,19.6327,72.9571,0.8407
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,1024,1.6309,2.2087,7.1793,0.9522
cuda,drq,1,1.5682,1.6448,12.0326,0.6562
cuda,fastNLP_Bert,6,1.4002,43.0337,36.4745,1.0444
cuda,functorch_dp_cifar10,64,2.2962,3.5643,19.5990,0.4111
cuda,hf_Albert,8,1.6314,46.3201,35.4751,0.9305
cuda,hf_Bart,4,1.2051,46.1438,41.7657,0.8281
cuda,hf_Bert,4,1.1595,33.9439,38.5309,0.9284
cuda,hf_Bert_large,4,1.1687,80.1021,60.5263,0.9981
cuda,hf_BigBird,2,2.3867,81.5069,126.1087,0.6805
cuda,hf_DistilBert,8,1.1320,34.6738,23.4699,0.8316
cuda,hf_GPT2,4,1.3842,36.7427,32.1560,0.9095
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.1362,73.2264,32.6065,0.5722
cuda,hf_T5,0,0.0000
cuda,hf_T5_large,2,1.5607,128.8211,155.2671,0.8085
cuda,lennard_jones,1000,1.3615,0.9099,6.1572,0.5322
cuda,mnasnet1_0,32,1.2614,20.9757,34.2814,0.8515
cuda,mobilenet_v2,96,1.3832,51.2266,31.8202,1.1747
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.4885,17.6502,62.6088,0.8327
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.7989,10.6787,9.1742,0.6651
cuda,phlippe_densenet,128,1.8332,13.7197,30.3400,0.8866
cuda,phlippe_resnet,128,1.5723,5.5287,11.4556,0.7903
cuda,pytorch_CycleGAN_and_pix2pix,1,1.5518,8.7832,15.5424,0.9075
cuda,pytorch_stargan,16,1.2324,19.1232,54.2873,0.8997
cuda,pytorch_struct,200,1.4914,2.9169,26.9093,0.7259
cuda,pytorch_unet,1,1.1750,49.8513,18.3505,0.8462
cuda,resnet152,32,1.0732,79.2462,63.5590,0.9033
cuda,resnet18,16,1.2832,7.3644,18.1227,0.6910
cuda,resnet50,32,1.1337,34.2022,26.1150,0.8528
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,1.3908,16.5308,29.8745,0.8335
cuda,shufflenet_v2_x1_0,128,1.4120,25.2789,30.1862,1.0400
cuda,soft_actor_critic,256,1.0577,1.8831,6.8295,0.6187
cuda,speech_transformer,32,1.6858,30.6653,38.2399,0.9680
cuda,squeezenet1_1,32,1.4243,6.7493,11.9864,1.0816
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,2.6718,42.9521,158.9397,1.0125
cuda,timm_efficientnet,32,1.1486,32.3585,70.9739,0.9857
cuda,timm_nfnet,128,1.4841,131.7498,36.7929,0.8607
cuda,timm_regnet,32,1.0921,84.5204,57.8383,0.8575
cuda,timm_resnest,32,1.4304,21.6854,67.1246,0.8626
cuda,timm_vision_transformer,8,2.3047,10.3169,45.7376,0.6919
cuda,timm_vision_transformer_large,8,1.0152,196.1463,71.8627,0.6800
cuda,timm_vovnet,32,0.9751,38.4109,29.4579,0.8360
cuda,tts_angular,64,1.0069,9.3429,6.0575,0.9848
cuda,vgg16,64,1.1597,91.3436,10.0995,0.6729
cuda,yolov3,16,1.1650,87.1473,48.3770,0.9141
