dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,19.283685,17.176695,13.909438,6.326659,1.890388,14.165215,3.363588,1.605831,0.158896,1.434147,1.752257,11.257345
cuda,AlbertForQuestionAnswering,4,17.276725,15.127123,11.669086,4.057941,1.847349,6.757630,3.611258,1.339775,0.155750,1.014618,1.389054,5.656163
cuda,BartForCausalLM,4,23.295399,19.936318,16.356555,8.059317,2.388358,12.615795,3.929832,1.924408,0.349343,2.121293,2.403184,9.182901
cuda,BartForConditionalGeneration,2,54.068344,45.271149,41.584827,19.217103,6.263409,26.308354,11.614548,4.919218,1.442510,0.927595,1.292470,14.609513
cuda,BertForMaskedLM,16,26.763313,22.431773,18.638399,9.545078,2.241250,15.598824,4.568247,1.995833,0.342192,0.552803,5.951698,8.972971
cuda,BertForQuestionAnswering,16,23.025884,18.731548,14.984285,5.946676,2.250983,8.878888,4.534284,1.978166,0.344257,0.215231,5.592025,5.519793
cuda,BlenderbotSmallForCausalLM,64,15.691685,13.370667,9.993428,4.088744,1.456505,7.527550,2.557753,1.307266,0.211578,2.775789,7.751261,2.490766
cuda,BlenderbotSmallForConditionalGeneration,64,36.545958,30.968913,27.318669,12.692603,4.006938,17.470428,7.536876,3.273003,0.753516,1.897071,1.909867,10.888090
cuda,CamemBert,16,23.642124,19.370716,15.863363,6.839821,2.262025,11.662387,4.564216,1.994826,0.340442,0.553825,4.919538,7.758715
cuda,DebertaForMaskedLM,4,26.030585,20.713485,17.116872,9.198394,2.226347,16.289631,4.320743,2.173574,0.321550,15.720690,2.036504,25.233624
cuda,DebertaForQuestionAnswering,8,25.586098,20.341329,16.711345,8.905246,2.181092,14.101947,4.276808,2.145863,0.318962,16.423373,2.683928,23.994893
cuda,DebertaV2ForMaskedLM,1,42.432833,30.865242,27.053910,11.581287,3.846447,18.133742,6.150382,3.381849,0.624452,34.737164,1.916738,45.523155
cuda,DebertaV2ForQuestionAnswering,2,41.827772,30.347617,26.601735,11.256122,4.257916,17.600481,7.188179,3.827540,0.633452,34.502224,45.484839
cuda,DistilBertForMaskedLM,128,15.987147,14.248909,10.735943,5.982652,1.383068,9.073419,2.199134,1.075340,0.146536,1.391284,4.002153,5.928628
cuda,DistilBertForQuestionAnswering,256,15.555121,13.811380,10.333239,5.546135,1.360594,7.344223,2.231522,1.078254,0.143183,0.808564,3.003064,4.031425
cuda,DistillGPT2,16,15.036744,13.414330,9.798571,5.248982,1.244029,7.768988,2.249185,0.992636,0.131211,0.871133,1.875354,4.691271
cuda,ElectraForCausalLM,32,28.991167,24.656228,21.157694,12.016542,2.304097,20.553415,4.825177,2.050055,0.350118,0.992485,8.048591,11.959563
cuda,ElectraForQuestionAnswering,64,26.793770,22.462523,18.852534,9.667831,2.251933,17.288734,4.647058,1.993502,0.347419,0.207393,6.201239,10.203953
cuda,GPT2ForSequenceClassification,4,23.196501,20.186349,15.623325,7.886452,2.669073,11.270151,4.001780,1.780664,0.301017,0.491065,1.097502,6.659149
cuda,LayoutLMForMaskedLM,16,26.962680,22.641579,18.627522,9.346211,2.561737,12.675186,4.498513,2.066901,0.347529,2.248121,5.973704,8.269764
cuda,LayoutLMForSequenceClassification,16,24.589890,20.188468,15.972329,6.323377,2.556478,10.664205,4.535322,2.062408,0.346621,4.665884,7.954975,11.698841
cuda,M2M100ForConditionalGeneration,16,51.608763,43.159024,39.452542,18.110025,6.200238,27.909465,10.330861,4.887588,1.015359,4.400459,11.498311,20.702688
cuda,MBartForCausalLM,4,24.872358,21.433415,17.648340,9.114151,2.364278,12.626775,4.373480,1.999035,0.372912,2.157882,2.331132,8.155668
cuda,MBartForConditionalGeneration,2,52.660343,43.849426,40.239144,17.902742,6.542545,26.380835,12.147707,5.006373,1.570981,0.560323,0.678621,15.901207
cuda,MT5ForConditionalGeneration,16,41.399023,35.706985,31.743853,17.368041,4.240615,25.812718,6.329279,2.813117,0.455256,4.348236,33.807886,17.244312
cuda,MegatronBertForCausalLM,4,44.936114,36.088191,32.132124,13.931697,5.349948,22.517731,9.949027,4.022495,1.027549,1.573900,11.642633,15.759589
