dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,BERT_pytorch,16,8.845933,5.864300,5.815886
cuda,Background_Matting,4,6.757740,4.549536,4.534784
cuda,LearningToPaint,96,2.644759,1.720906,1.707263
cuda,Super_SloMo,6,6.802519,4.864509,4.850714
cuda,alexnet,128,0.581690,0.270636,0.257332
cuda,attention_is_all_you_need_pytorch,256,8.979222,6.074200,6.059750
cuda,dcgan,32,0.593144,0.306119,0.292482
cuda,demucs,4,1.522571,0.705621,0.692246
cuda,densenet121,4,17.100081,12.040729,12.023641
cuda,dlrm,1024,0.619926,0.330209,0.317520
cuda,drq,1,0.786990,0.319529,0.305123
cuda,fastNLP_Bert,6,8.539956,5.339629,5.324294
cuda,functorch_dp_cifar10,64,1.906584,1.157578,1.143974
cuda,hf_Albert,8,6.224823,4.480608,4.466891
cuda,hf_Bart,4,10.483354,6.651389,6.637005
cuda,hf_Bert,4,9.074656,5.017625,5.002293
cuda,hf_Bert_large,4,17.958473,9.948247,9.932427
cuda,hf_BigBird,2,33.511746,23.423740,23.401044
cuda,hf_DistilBert,8,4.139745,2.523643,2.510055
cuda,hf_GPT2,4,7.755912,4.944536,4.930339
cuda,hf_GPT2_large,4,23.071074,14.251410,14.235184
cuda,hf_Longformer,2,26.127125,16.979324,16.946315
cuda,hf_Reformer,4,3.776087,1.520080,1.504441
cuda,hf_T5,8,10.604200,6.739411,6.724067
cuda,hf_T5_large,2,41.969741,26.051758,26.032403
cuda,lennard_jones,1000,0.424315,0.169345,0.155634
cuda,mnasnet1_0,32,6.240186,4.220949,4.205795
cuda,mobilenet_v2,96,6.544226,4.488102,4.473396
cuda,mobilenet_v2_quantized_qat,96,12.801033,9.948586,9.929684
cuda,mobilenet_v3_large,32,7.005729,4.773760,4.758663
cuda,nvidia_deeprecommender,256,0.550345,0.243468,0.230087
cuda,phlippe_densenet,128,6.580617,4.501167,4.486523
cuda,phlippe_resnet,128,2.515704,1.624280,1.610361
cuda,pytorch_CycleGAN_and_pix2pix,1,2.567336,1.776656,1.762307
cuda,pytorch_stargan,16,2.970416,2.145189,2.130880
cuda,pytorch_struct,200,0.992929,0.541984,0.529008
cuda,pytorch_unet,1,3.370339,2.224966,2.211223
cuda,resnet152,32,19.660665,13.145939,13.127288
cuda,resnet18,16,2.534975,1.645301,1.631818
cuda,resnet50,32,6.504558,4.402589,4.387761
cuda,resnet50_quantized_qat,32,12.264345,9.583823,9.565673
cuda,resnext50_32x4d,8,6.515396,4.397794,4.382370
cuda,shufflenet_v2_x1_0,128,7.317030,5.013030,4.997665
cuda,soft_actor_critic,256,0.453363,0.152747,0.139418
cuda,speech_transformer,32,10.589466,6.967520,6.952024
cuda,squeezenet1_1,32,1.287864,0.666707,0.653375
cuda,timm_efficientdet,1,36.265007,20.878152,20.857439
cuda,timm_efficientnet,32,8.875454,5.393687,5.378779
cuda,timm_nfnet,128,9.550242,5.642078,5.627630
cuda,timm_regnet,32,10.436245,6.076478,6.061665
cuda,timm_resnest,32,3.435789,2.204980,2.190968
cuda,timm_vision_transformer,8,5.679427,3.684110,3.669366
cuda,timm_vision_transformer_large,8,18.800371,12.094503,12.076910
cuda,timm_vovnet,32,5.600148,3.316110,3.302392
cuda,tts_angular,64,0.376551,0.112518,0.094794
cuda,vgg16,64,0.884225,0.446439,0.433040
cuda,yolov3,16,9.855953,6.353947,6.338225
