dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,AlbertForMaskedLM,4,1.915086,0.001322
cuda,AlbertForQuestionAnswering,4,1.789485,0.000996
cuda,AllenaiLongformerBase,4,9.577518,0.022401
cuda,BartForCausalLM,4,4.010315,0.001321
cuda,BartForConditionalGeneration,2,11.254363,0.001782
cuda,BertForMaskedLM,16,4.893441,0.001585
cuda,BertForQuestionAnswering,16,4.881979,0.001508
cuda,BlenderbotForCausalLM,4,8.161885,0.001479
cuda,BlenderbotSmallForCausalLM,64,2.597827,0.000813
cuda,BlenderbotSmallForConditionalGeneration,64,6.540982,0.001316
cuda,CamemBert,16,4.682613,0.001279
cuda,DebertaForMaskedLM,4,5.385133,0.012948
cuda,DebertaForQuestionAnswering,8,5.393862,0.013057
cuda,DebertaV2ForMaskedLM,1,11.866429,0.023707
cuda,DebertaV2ForQuestionAnswering,2,11.907037,0.024417
cuda,DistilBertForMaskedLM,128,1.855965,0.000772
cuda,DistilBertForQuestionAnswering,256,1.781339,0.000673
cuda,DistillGPT2,16,1.659285,0.000637
cuda,ElectraForCausalLM,32,4.762141,0.001565
cuda,ElectraForQuestionAnswering,64,4.676162,0.001341
cuda,GPT2ForSequenceClassification,4,3.510145,0.001196
cuda,GoogleFnet,16,2.243017,0.004197
cuda,LayoutLMForMaskedLM,16,4.759671,0.001610
cuda,LayoutLMForSequenceClassification,16,4.648064,0.001622
cuda,M2M100ForConditionalGeneration,16,10.753384,0.002770
cuda,MBartForCausalLM,4,3.753005,0.000946
cuda,MBartForConditionalGeneration,2,10.986611,0.001753
cuda,MT5ForConditionalGeneration,16,6.264583,0.002216
cuda,MegatronBertForCausalLM,4,10.083447,0.001861
cuda,MegatronBertForQuestionAnswering,8,10.282737,0.002016
cuda,MobileBertForMaskedLM,64,11.923564,0.001160
cuda,MobileBertForQuestionAnswering,128,11.837776,0.001196
cuda,OPTForCausalLM,2,3.777440,0.001219
cuda,PLBartForCausalLM,8,1.963349,0.000870
cuda,PLBartForConditionalGeneration,4,4.959569,0.003049
cuda,PegasusForCausalLM,32,3.846527,0.001425
cuda,PegasusForConditionalGeneration,32,3.753751,0.001590
cuda,RobertaForCausalLM,16,4.864320,0.001606
cuda,RobertaForQuestionAnswering,16,4.852037,0.001589
cuda,Speech2Text2ForCausalLM,256,1.928262,0.001311
cuda,T5ForConditionalGeneration,4,4.449905,0.002170
cuda,T5Small,4,4.453627,0.002193
cuda,TrOCRForCausalLM,32,3.772323,0.001051
cuda,XGLMForCausalLM,8,7.976171,0.002018
cuda,XLNetLMHeadModel,8,10.115753,0.005498
cuda,YituTechConvBert,16,7.160273,0.001994
