dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,0.9952,268.8978,2.0330,0.9980
cuda,AlbertForQuestionAnswering,4,0.9951,266.9163,2.0413,0.9979
cuda,AllenaiLongformerBase,4,0.9550,207.5070,10.4125,0.8343
cuda,BartForCausalLM,4,0.9793,116.1540,4.1859,1.0000
cuda,BartForConditionalGeneration,2,0.9866,139.9401,11.7953,1.0000
cuda,BertForMaskedLM,16,0.9766,113.3340,5.1463,0.9976
cuda,BertForQuestionAnswering,16,0.9732,99.0325,5.0811,0.9990
cuda,BlenderbotForCausalLM,4,0.8945,105.2003,8.9058,0.9985
cuda,BlenderbotSmallForCausalLM,64,0.9774,61.0524,2.8162,1.0000
cuda,BlenderbotSmallForConditionalGeneration,64,0.9690,116.5668,7.3316,1.0000
cuda,CamemBert,16,0.9789,121.5110,5.1689,0.9979
cuda,DebertaForMaskedLM,4,0.8540,72.1470,5.9009,0.9686
cuda,DebertaForQuestionAnswering,8,0.9147,83.2760,6.0642,0.9522
cuda,DebertaV2ForMaskedLM,1,0.8191,124.7834,13.5535,0.9878
cuda,DebertaV2ForQuestionAnswering,2,0.8210,127.8726,13.5488,0.9765
cuda,DistilBertForMaskedLM,128,0.9860,85.7638,1.9815,1.0000
cuda,DistilBertForQuestionAnswering,256,0.9872,104.7741,1.9722,1.0114
cuda,DistillGPT2,16,0.9928,106.7789,1.8138,1.0000
cuda,ElectraForCausalLM,32,0.9711,91.9024,5.2506,0.9978
cuda,ElectraForQuestionAnswering,64,0.9777,119.3314,5.1265,0.9982
cuda,GPT2ForSequenceClassification,4,0.9796,93.3159,3.6048,1.0001
cuda,LayoutLMForMaskedLM,16,0.9776,115.8130,5.2351,0.9977
cuda,LayoutLMForSequenceClassification,16,0.9742,100.9238,5.1350,0.9986
cuda,M2M100ForConditionalGeneration,16,1.0254,121.6923,11.7399,0.9994
cuda,MBartForCausalLM,4,0.9840,115.0028,4.0976,1.0000
cuda,MBartForConditionalGeneration,2,0.9869,140.2229,11.9466,1.0000
cuda,MT5ForConditionalGeneration,16,0.9926,108.4823,6.5658,0.9943
cuda,MegatronBertForCausalLM,4,0.9956,89.1123,10.9723,0.9991
cuda,MegatronBertForQuestionAnswering,8,0.9743,146.9017,11.1681,0.9987
cuda,MobileBertForMaskedLM,64,1.0154,205.4339,13.5262,0.9977
cuda,MobileBertForQuestionAnswering,128,1.0157,191.7645,14.3108,1.0118
cuda,OPTForCausalLM,2,0.9857,170.5342,3.9624,0.9999
cuda,PLBartForCausalLM,8,0.9905,114.8670,2.0313,1.0000
cuda,PLBartForConditionalGeneration,4,0.9761,120.4979,5.3105,1.0000
cuda,PegasusForCausalLM,32,0.9801,71.5635,4.1225,0.9744
cuda,PegasusForConditionalGeneration,32,1.0023,138.8179,4.3728,0.9977
cuda,RobertaForCausalLM,16,0.9792,118.1127,5.0797,0.9978
cuda,RobertaForQuestionAnswering,16,0.9752,98.7785,5.0454,0.9984
cuda,Speech2Text2ForCausalLM,256,0.9756,54.9245,2.0120,0.9668
cuda,T5ForConditionalGeneration,4,0.9849,103.9057,4.4408,0.9846
cuda,T5Small,4,0.9837,103.6661,4.4839,0.9846
cuda,TrOCRForCausalLM,32,0.9897,139.6708,4.0254,1.0000
cuda,XGLMForCausalLM,8,0.9683,89.2678,8.4656,0.9901
cuda,XLNetLMHeadModel,8,0.9869,277.8086,10.4306,1.0000
cuda,YituTechConvBert,16,0.9747,138.7565,7.4734,0.9953
