dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,23.841373,20.060974,17.791033,9.506228,2.534752,13.058193,4.424642,1.764751,0.294616,10.282850,6.232384
cuda,Background_Matting,4,21.917992,19.157534,16.231875,9.129076,2.863527,13.671790,5.277605,2.853763,0.251476,7.537865
cuda,LearningToPaint,96,12.389740,11.095531,8.013234,5.141186,1.011138,7.021582,1.305053,0.662357,0.084269,2.945679
cuda,Super_SloMo,6,24.827476,22.612759,18.187732,11.404562,2.613781,15.651744,5.359541,2.491679,0.152525,7.152867
cuda,alexnet,128,6.079311,5.733705,2.955964,2.573647,0.187062,4.121419,0.768654,0.280659,0.016042,1.743340
cuda,attention_is_all_you_need_pytorch,256,27.585446,24.258268,20.639492,12.284030,2.559446,16.461292,4.531547,1.903272,0.365727,12.510320,6.892380
cuda,dcgan,32,8.543549,8.222418,3.833654,3.326467,0.192012,4.939223,0.333518,0.095363,0.013608,1.815166
cuda,demucs,4,17.808850,16.768521,12.069378,10.935697,0.528681,14.633323,1.210027,0.573885,0.045679,1.870046,4.254282
cuda,densenet121,4,54.274307,47.640513,44.617440,26.142270,8.147781,34.150138,13.841185,4.921391,0.718312,16.508885
cuda,dlrm,1024,3.953847,3.665358,1.489519,1.055214,0.155747,2.175956,0.470312,0.117033,0.014861,1.284960
cuda,drq,1,9.749967,9.253332,4.798881,4.362725,0.135704,6.602823,0.159594,0.084629,0.016642,2.387017
cuda,fastNLP_Bert,6,29.283547,25.425942,21.964822,14.029739,2.139044,19.253996,4.156943,1.757263,0.310677,5.358492,7.685246
cuda,functorch_dp_cifar10,64,13.026474,12.122146,7.744711,5.015182,1.253689,10.077871,2.322923,0.780188,0.069051,6.525996,0.622423
cuda,hf_Albert,8,23.245333,21.402401,17.515601,11.644034,1.844803,20.165962,2.803410,1.216278,0.148148,3.975912,10.470273
cuda,hf_Bart,4,28.191383,23.483555,21.012203,11.490817,2.733659,16.913067,4.686107,2.099380,0.414362,2.753110,8.662432
cuda,hf_Bert,4,28.163169,23.236298,19.637687,12.259756,2.076744,18.654987,4.057246,1.625210,0.295849,6.621838,8.604059
cuda,hf_Bert_large,4,45.618695,35.345023,31.659289,17.876186,4.586788,25.987565,7.151444,3.114517,0.770719,10.558967,13.223130
cuda,hf_BigBird,2,70.170671,59.018550,56.384241,28.547357,8.203738,46.928953,21.428537,9.861290,0.587136,10.091233,27.353281
cuda,hf_DistilBert,8,16.533123,14.758044,11.238201,7.575887,1.057220,11.988860,1.968681,0.886087,0.128661,4.808773,5.537254
cuda,hf_GPT2,4,22.376487,19.192776,16.426590,9.878080,2.023761,13.005750,3.853433,1.557188,0.247897,2.326520,5.266701
cuda,hf_GPT2_large,4,57.351854,45.333935,41.476437,22.209707,6.651091,29.802718,11.935491,4.554644,1.197968,1.600863,14.585333
cuda,hf_Longformer,2,79.401545,69.450523,65.658707,45.451954,5.868036,59.407615,16.870607,5.693379,0.459942,4.477626,20.226694
cuda,hf_Reformer,4,24.269314,21.737085,18.102949,16.202811,0.833426,20.962411,1.679212,0.698161,0.064169,3.539371,5.649526
cuda,hf_T5,8,31.654289,27.162672,24.527125,15.963303,2.414672,21.888997,4.056675,2.013217,0.282036,7.704610,8.497310
cuda,hf_T5_large,2,98.546977,78.667905,74.919459,40.644800,10.490060,54.127035,15.943162,6.441527,1.758645,34.254675,24.592937
cuda,lennard_jones,1000,6.190444,5.915868,2.582804,2.329629,0.039718,3.382527,0.215559,0.043919,0.007805,1.097897
cuda,mnasnet1_0,32,26.425107,23.950837,19.522252,12.614623,2.707031,17.236761,4.069867,1.773142,0.238332,7.631079,2.582393
cuda,mobilenet_v2,96,27.906879,25.006371,20.592926,13.014448,2.605115,16.560946,4.298381,1.903404,0.271094,6.505514
cuda,mobilenet_v3_large,32,28.302613,25.342676,20.905558,13.286561,2.700571,20.414248,4.276232,1.895447,0.267770,10.183621,29.305006
cuda,nvidia_deeprecommender,256,6.616142,6.271929,2.791950,2.257468,0.114360,5.317741,0.106540,0.064015,0.010993,3.182750,0.387841
cuda,phlippe_densenet,128,29.039495,26.441353,22.001691,14.671283,2.665055,19.545218,4.821455,2.201110,0.262187,7.896073
cuda,phlippe_resnet,128,10.682903,9.642918,6.881804,4.182860,1.078878,5.618594,1.094161,0.624920,0.080663,2.566097
cuda,pytorch_CycleGAN_and_pix2pix,1,12.808494,11.890307,7.546422,4.585796,1.036829,7.568382,2.111648,0.785562,0.070382,4.069636
cuda,pytorch_stargan,16,15.711055,14.732073,10.287981,7.041102,0.940959,11.482067,1.641329,0.484149,0.067149,31.512386,5.439442
cuda,pytorch_struct,200,9.639089,9.126018,5.710548,5.013977,0.162625,8.388931,0.216861,0.277524,0.024384,9.357547,3.552714
cuda,pytorch_unet,1,16.112358,14.885815,10.585205,7.165096,1.179877,9.858721,2.540615,0.999196,0.093842,3.934518
cuda,resnet152,32,54.920232,45.858438,41.184226,19.720913,8.245929,24.061524,10.573424,4.095139,1.091081,12.977392,2.490546
cuda,resnet18,16,14.458004,13.374021,9.022741,6.046317,1.052578,10.138695,1.901075,0.782023,0.084607,5.198180,2.546570
cuda,resnet50,32,23.166638,20.583657,16.618150,9.279721,2.799686,12.509305,3.706290,1.624060,0.249496,6.457301,2.165798
cuda,resnext50_32x4d,8,20.901568,18.319366,15.436278,8.174565,2.624266,11.401506,3.424257,1.657545,0.219774,5.985463,2.605841
cuda,shufflenet_v2_x1_0,128,23.504806,20.703590,17.736049,9.841990,2.736305,13.467609,4.918273,2.540163,0.324609,6.512908
cuda,soft_actor_critic,256,7.374931,7.059371,3.600501,3.371284,0.060648,5.099278,0.063620,0.041298,0.007084,1.795861
