dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,4,9.139515,6.734216,6.715734
cuda,AlbertForQuestionAnswering,4,8.552609,6.288385,6.271886
cuda,AllenaiLongformerBase,4,27.964595,18.422504,18.380194
cuda,BartForCausalLM,4,10.777482,6.883213,6.866168
cuda,BartForConditionalGeneration,2,29.967989,17.815342,17.794430
cuda,BertForMaskedLM,16,12.190044,7.025577,7.006929
cuda,BertForQuestionAnswering,16,12.166723,7.015544,6.997119
cuda,BlenderbotForCausalLM,4,21.828191,13.088248,13.069442
cuda,BlenderbotSmallForCausalLM,64,7.347415,4.544681,4.529650
cuda,BlenderbotSmallForConditionalGeneration,64,18.865290,11.771919,11.753227
cuda,CamemBert,16,12.650184,7.284965,7.265817
cuda,DebertaForMaskedLM,4,12.893757,7.149936,7.118308
cuda,DebertaForQuestionAnswering,8,13.408517,7.017634,6.984650
cuda,DebertaV2ForMaskedLM,1,26.380452,12.996477,12.949754
cuda,DebertaV2ForQuestionAnswering,2,26.503781,12.916090,12.869557
cuda,DistilBertForMaskedLM,128,5.658102,3.697382,3.681941
cuda,DistilBertForQuestionAnswering,256,5.577392,3.653751,3.639102
cuda,DistillGPT2,16,5.189758,3.355278,3.339668
cuda,ElectraForCausalLM,32,12.211738,6.973357,6.956024
cuda,ElectraForQuestionAnswering,64,11.992938,6.943234,6.926443
cuda,GPT2ForSequenceClassification,4,9.771720,6.365015,6.347793
cuda,LayoutLMForMaskedLM,16,12.346107,7.341647,7.322728
cuda,LayoutLMForSequenceClassification,16,12.455812,7.399228,7.380178
cuda,M2M100ForConditionalGeneration,16,28.345192,16.941233,16.918292
cuda,MBartForCausalLM,4,11.340908,7.335691,7.315432
cuda,MBartForConditionalGeneration,2,29.442728,17.486845,17.465560
cuda,MT5ForConditionalGeneration,16,17.709648,11.532696,11.513673
cuda,MegatronBertForCausalLM,4,24.299003,13.644116,13.621788
cuda,MegatronBertForQuestionAnswering,8,24.289061,13.649204,13.626779
cuda,MobileBertForMaskedLM,64,38.249202,25.280973,25.260079
cuda,MobileBertForQuestionAnswering,128,37.966141,25.078789,25.056309
cuda,OPTForCausalLM,2,10.557164,6.860962,6.843415
cuda,PLBartForCausalLM,8,5.728626,3.660558,3.644704
cuda,PLBartForConditionalGeneration,4,14.276627,9.097484,9.079983
cuda,PegasusForCausalLM,32,10.669548,6.762079,6.744524
cuda,PegasusForConditionalGeneration,32,19.425600,15.155639,15.137060
cuda,RobertaForCausalLM,16,12.584248,7.128717,7.110089
cuda,RobertaForQuestionAnswering,16,12.199328,7.008543,6.990056
cuda,Speech2Text2ForCausalLM,256,5.645838,3.524287,3.508589
cuda,T5ForConditionalGeneration,4,12.431166,8.035419,8.017140
cuda,T5Small,4,12.499989,8.048651,8.030515
cuda,TrOCRForCausalLM,32,10.856323,6.938610,6.921253
cuda,XGLMForCausalLM,8,22.173169,13.698179,13.677120
cuda,XLNetLMHeadModel,8,29.462062,18.725068,18.692524
cuda,YituTechConvBert,16,18.242596,10.777336,10.757006
