dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,adv_inception_v3,128,5.077942,0.002522
cuda,beit_base_patch16_224,64,3.504510,0.001927
cuda,botnet26t_256,128,2.364427,0.001607
cuda,cait_m36_384,4,16.085174,0.006754
cuda,coat_lite_mini,128,2.862209,0.001424
cuda,convit_base,64,3.482975,0.001888
cuda,convmixer_768_32,32,1.484691,0.000157
cuda,convnext_base,64,5.923097,0.003340
cuda,crossvit_9_240,128,5.177026,0.002878
cuda,cspdarknet53,64,4.614993,0.003270
cuda,deit_base_distilled_patch16_224,64,2.699134,0.001385
cuda,dla102,128,5.908235,0.003102
cuda,dm_nfnet_f0,128,4.946410,0.002365
cuda,dpn107,32,8.332017,0.006280
cuda,eca_botnext26ts_256,128,2.794944,0.001744
cuda,eca_halonext26ts,128,2.798385,0.001777
cuda,ese_vovnet19b_dw,128,1.875319,0.001245
cuda,fbnetc_100,128,4.390685,0.003081
cuda,fbnetv3_b,128,7.776952,0.005466
cuda,gernet_l,128,3.954948,0.002625
cuda,ghostnet_100,128,6.490466,0.002677
cuda,gluon_inception_v3,128,5.052610,0.002712
cuda,gluon_xception65,32,7.931060,0.004118
cuda,gmixer_24_224,128,5.153269,0.002719
cuda,gmlp_s16_224,128,5.088290,0.002897
cuda,hrnet_w18,128,7.104348,0.000461
cuda,inception_v3,128,5.001122,0.002524
cuda,jx_nest_base,32,5.830164,0.002986
cuda,lcnet_050,128,1.987931,0.001497
cuda,mixer_b16_224,128,2.617528,0.001471
cuda,mixnet_l,128,7.098971,0.004137
cuda,mnasnet_100,128,3.442486,0.002461
cuda,mobilenetv2_100,128,3.519347,0.002470
cuda,mobilenetv3_large_100,128,3.706903,0.002755
cuda,mobilevit_s,64,4.418064,0.002590
cuda,nfnet_l0,128,4.568924,0.002336
cuda,pit_b_224,64,3.103665,0.001579
cuda,pnasnet5large,16,5.322142,0.000368
cuda,poolformer_m36,64,6.499388,0.003586
cuda,regnety_002,128,3.774161,0.002669
cuda,repvgg_a2,128,3.859754,0.002648
cuda,res2net101_26w_4s,64,10.972894,0.004887
cuda,res2net50_14w_8s,128,9.485218,0.004361
cuda,res2next50,128,4.754561,0.002501
cuda,resmlp_12_224,128,2.292869,0.001402
cuda,resnest101e,64,11.344671,0.004853
cuda,rexnet_100,128,4.712032,0.002951
cuda,sebotnet33ts_256,64,1.949926,0.000887
cuda,selecsls42b,128,2.095647,0.001248
cuda,spnasnet_100,128,4.251358,0.003107
cuda,swin_base_patch4_window7_224,64,7.224821,0.003361
cuda,swsl_resnext101_32x16d,32,5.735099,0.003060
cuda,tf_efficientnet_b0,128,4.333113,0.002938
cuda,tf_mixnet_l,128,7.388954,0.004103
cuda,tinynet_a,128,5.183850,0.003406
cuda,tnt_s_patch16_224,128,6.694508,0.003474
cuda,twins_pcpvt_base,64,10.605105,0.004930
cuda,visformer_small,128,2.186039,0.001221
cuda,vit_base_patch16_224,64,2.720122,0.001528
cuda,volo_d1_224,64,4.576563,0.002626
cuda,xcit_large_24_p8_224,5,13.530432,0.005702
