dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,26.767516,23.059688,20.743862,10.784111,3.022326,14.640360,4.591407,1.983259,0.360534,13.771019,7.032289
cuda,Background_Matting,4,25.626080,22.787390,18.963748,10.851899,3.115171,15.777188,6.156267,2.795691,0.296293,8.180949
cuda,LearningToPaint,96,13.588405,12.482860,9.020237,5.639510,1.120076,7.930448,1.678036,0.727127,0.097707,3.468954
cuda,Super_SloMo,6,25.030754,22.509615,19.712552,11.912697,3.055866,16.022326,6.148136,2.504850,0.179190,7.278697
cuda,alexnet,128,6.667881,6.305643,3.568506,3.071485,0.201442,4.939886,0.990220,0.317569,0.019048,2.078848
cuda,attention_is_all_you_need_pytorch,256,27.077324,23.641445,21.281023,11.255186,2.977948,15.421452,4.977000,2.213135,0.428274,13.958788,7.320487
cuda,dcgan,32,6.555294,6.229398,3.451536,2.859966,0.221288,3.992164,0.366970,0.110529,0.016634,1.365062
cuda,demucs,4,15.519022,14.472029,11.406663,9.962875,0.544850,14.392330,1.439787,0.822891,0.057454,1.839570,5.005536
cuda,densenet121,4,59.541229,51.360655,48.103937,27.516046,7.516731,37.562356,14.973365,5.309617,0.774241,18.476480
cuda,dlrm,1024,4.404539,4.088475,1.906373,1.355434,0.296449,2.567523,0.384007,0.146327,0.017066,1.518803
cuda,drq,1,9.332876,8.608935,4.918498,4.326813,0.151452,6.534927,0.231819,0.120203,0.020194,2.373200
cuda,fastNLP_Bert,6,28.553468,24.456805,22.167222,13.143684,2.536222,17.909157,4.352765,2.046613,0.349300,5.789334,7.458834
cuda,functorch_dp_cifar10,64,11.795211,10.684967,7.953799,4.968755,1.406188,9.534701,2.512304,0.866065,0.082590,6.034484,0.649942
cuda,hf_Albert,8,22.226364,20.088278,17.527772,9.924749,1.897390,17.363398,3.362032,1.551096,0.159726,4.239908,9.457010
cuda,hf_Bart,4,32.712567,27.646470,25.030249,12.804570,3.031553,19.555247,6.095575,2.520246,0.514848,3.268827,10.239543
cuda,hf_Bert,4,26.928013,22.197593,19.669726,10.963465,2.461619,16.703926,4.147011,1.905086,0.342264,7.737829,8.348115
cuda,hf_Bert_large,4,48.324590,37.541179,35.101006,17.336231,4.731289,25.476387,8.995178,3.767112,0.933784,11.640948,13.155024
cuda,hf_BigBird,2,78.934162,67.384967,64.532344,34.241709,9.723238,52.383103,23.688054,10.280830,0.625510,10.180298,28.906595
cuda,hf_DistilBert,8,16.785023,14.639259,11.827009,7.170908,1.186943,11.045208,2.097812,1.211322,0.144177,5.236553,5.134407
cuda,hf_GPT2,4,24.412966,21.076956,17.769206,9.518473,2.344808,13.672083,4.214796,1.754476,0.307684,1.797174,6.630260
cuda,hf_GPT2_large,4,57.991795,46.366544,43.648128,20.290866,8.011056,28.987900,13.022311,5.039273,1.538069,1.315079,17.900807
cuda,hf_Longformer,2,76.210731,65.893974,63.189279,41.559870,6.246523,52.826677,17.226709,5.102620,0.469363,4.478226,18.114388
cuda,hf_Reformer,4,21.838943,19.270839,16.860038,14.650015,0.896758,17.524569,1.640600,0.775389,0.069825,3.374113,3.991352
cuda,hf_T5,8,34.534525,29.692655,27.036730,17.139024,2.832701,24.119491,4.407561,1.989290,0.298295,8.180565,9.986079
cuda,hf_T5_large,2,102.652511,82.415836,79.735711,40.161790,12.349857,53.159122,19.530882,7.515451,1.831958,37.469519,26.309726
cuda,lennard_jones,1000,4.631186,4.206305,2.031366,1.657476,0.078953,2.506400,0.103041,0.065592,0.008683,0.934258
cuda,mnasnet1_0,32,26.166486,23.627150,19.794355,12.046498,2.687391,16.402725,4.237993,1.922486,0.260437,7.401093,2.550339
cuda,mobilenet_v2,96,27.078317,24.474416,21.296199,12.682001,3.109547,16.252509,5.007168,2.076111,0.311169,6.831644
cuda,mobilenet_v3_large,32,27.478230,24.702378,21.872549,13.228203,3.248470,19.394597,5.118360,2.164612,0.287978,9.572994,27.164456
cuda,nvidia_deeprecommender,256,5.275078,4.911359,2.534976,1.986577,0.140435,4.570505,0.300266,0.090637,0.012493,2.734339,0.420875
cuda,phlippe_densenet,128,28.027718,25.401402,22.253469,13.862377,3.048705,18.558682,5.171346,2.365278,0.282270,7.893990
cuda,phlippe_resnet,128,11.901315,10.836697,8.104115,5.085880,1.024311,6.727633,1.232687,0.827994,0.088815,2.720753
cuda,pytorch_CycleGAN_and_pix2pix,1,11.473207,10.519136,7.750489,4.361012,1.497985,6.905059,2.164362,0.884728,0.081332,4.096969
cuda,pytorch_stargan,16,14.364853,13.348473,10.071859,6.531357,1.039050,9.984654,1.566712,0.552708,0.082327,35.286913,4.551276
cuda,pytorch_struct,200,5.857547,5.274208,2.906495,1.966479,0.184319,4.862938,0.471784,0.179193,0.027303,3.097472,6.091518
cuda,pytorch_unet,1,15.197650,13.948788,10.839755,7.080408,1.583145,9.811140,2.647801,1.100893,0.105739,4.377976
cuda,resnet152,32,56.117642,46.896141,43.787593,20.114419,9.125254,23.569637,10.353067,4.540346,1.135494,13.309294,3.076266
cuda,resnet18,16,13.433994,12.204305,9.353354,6.276847,1.109977,9.471804,2.033574,0.833934,0.091129,4.358093,2.446941
cuda,resnet50,32,22.927145,20.036950,17.233739,9.225017,2.916968,12.923278,4.004815,1.793731,0.258520,6.760535,2.300896
cuda,resnext50_32x4d,8,22.089453,19.224643,16.424972,8.535423,2.752508,12.543367,3.473099,1.828061,0.243107,6.902987,2.198030
cuda,shufflenet_v2_x1_0,128,25.578878,22.742450,19.929344,11.275060,3.181942,15.059323,5.487666,2.697303,0.351909,7.121627
cuda,soft_actor_critic,256,6.010457,5.676390,3.124310,2.806111,0.071122,4.287415,0.090803,0.055950,0.008430,1.560491
cuda,speech_transformer,32,32.520663,27.261532,24.903799,13.284802,3.065477,19.198920,6.005425,2.586931,0.384624,9.163269
cuda,squeezenet1_1,32,9.250530,8.474967,5.741316,4.473247,0.481330,7.454405,1.688457,0.745823,0.059648,3.484752
cuda,timm_efficientdet,1,94.957723,76.309578,73.139279,38.107595,14.832331,61.151307,21.265044,7.293736,1.467595,43.592693,38.480163
cuda,timm_efficientnet,32,31.318777,27.082799,24.087433,14.148005,3.622648,20.779772,6.041586,2.427601,0.346237,10.432877,34.002466
cuda,timm_nfnet,128,28.407333,23.757391,20.743195,10.333029,4.638230,15.794427,5.845980,2.313791,0.324809,10.530562
cuda,timm_regnet,32,31.610617,26.358439,23.335774,11.869546,4.114468,16.358016,5.244975,2.347586,0.415259,9.075161,19.697858
cuda,timm_resnest,32,19.286027,17.821334,14.924201,10.866107,1.514076,16.648568,3.732104,1.538097,0.122232,36.284010,7.567963
cuda,timm_vision_transformer,8,20.903196,18.351629,15.491398,9.306930,2.110492,17.527348,3.567093,1.896062,0.269145,16.161394,10.603593
cuda,timm_vision_transformer_large,8,53.301907,42.433860,39.500448,18.639465,6.579251,38.730443,12.976596,5.285642,1.615341,10.817018,27.482185
cuda,timm_vovnet,32,20.399622,17.754722,14.813885,8.914084,2.343253,13.860979,4.704427,1.819775,0.187130,7.397525,2.200165
cuda,tts_angular,64,4.653904,4.349738,2.012637,1.821235,0.070852,2.615722,0.060453,0.034980,0.004652,0.869369
cuda,vgg16,64,7.753647,7.215728,4.485113,3.693486,0.289218,5.705098,1.151503,0.569061,0.034778,2.316478
cuda,yolov3,16,37.761105,33.550434,30.664186,18.386155,4.537244,23.949377,8.511994,3.124325,0.419881,4.285312,10.322933
