dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,22.811638,20.782709,17.094906,11.464512,1.607876,21.427598,3.159349,1.507733,0.156121,1.803584,11.680911
cuda,AlbertForQuestionAnswering,4,24.885068,22.569515,18.242668,12.462013,1.580809,21.008049,2.764685,1.205961,0.154930,1.417390,10.461585
cuda,AllenaiLongformerBase,4,80.108586,70.452654,66.225648,46.285557,5.971272,58.867494,17.193716,4.951231,0.459132,3.097521,19.196206
cuda,BartForCausalLM,4,23.378678,19.810295,16.149674,9.340312,1.921262,15.428493,3.666855,1.567518,0.299957,1.468682,8.130048
cuda,BartForConditionalGeneration,2,51.146395,39.754384,35.956482,18.249976,5.871131,24.487077,8.680445,3.927685,1.141681,0.485526,12.422383
cuda,BertForMaskedLM,16,26.842053,22.387523,18.885561,11.561346,1.968724,19.105209,3.650926,1.639144,0.307405,5.795245,9.645897
cuda,BertForQuestionAnswering,16,27.201956,22.645884,18.983739,11.543211,1.953253,17.395277,3.324636,1.643501,0.309372,5.739965,8.196751
cuda,BlenderbotForCausalLM,4,39.611764,31.200415,27.671977,14.152020,4.269293,20.999997,6.347655,3.080638,0.759130,3.954467,11.621247
cuda,BlenderbotSmallForCausalLM,64,15.741112,13.331768,9.754874,5.088649,1.421418,9.641994,2.233958,1.079882,0.183995,6.057138,2.010039
cuda,BlenderbotSmallForConditionalGeneration,64,35.365165,28.537922,24.688422,12.900998,3.217589,19.269187,5.742371,2.669022,0.632371,1.299155,9.794607
cuda,CamemBert,16,28.028283,23.276352,19.619131,12.208355,1.989703,18.224042,3.361386,1.827803,0.308186,4.738892,8.365950
cuda,DebertaForMaskedLM,4,30.911595,25.408154,21.964053,14.959602,1.784953,24.084208,3.620838,1.983697,0.288591,1.841057,11.104225
cuda,DebertaForQuestionAnswering,8,30.963381,25.449968,22.117161,15.062878,1.778943,24.234603,3.754504,1.766110,0.284617,2.331769,11.149297
cuda,DebertaV2ForMaskedLM,1,48.195029,36.088330,32.080094,19.743975,2.810447,27.666034,4.888978,2.625196,0.561144,1.747481,11.087767
cuda,DebertaV2ForQuestionAnswering,2,43.277115,31.190946,27.793142,15.092285,3.367859,22.311396,5.117561,3.195283,0.577872,11.165381
