dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,adv_inception_v3,128,12.655186,7.908190,7.891157
cuda,beit_base_patch16_224,64,7.835723,4.475839,4.460457
cuda,botnet26t_256,128,5.608570,3.312345,3.298182
cuda,cait_m36_384,4,31.487348,16.473759,16.327529
cuda,coat_lite_mini,128,7.033909,4.300059,4.284992
cuda,convit_base,64,8.678332,5.420644,5.404614
cuda,convmixer_768_32,32,6.199120,4.911889,4.891509
cuda,convnext_base,64,11.355366,5.648177,5.631395
cuda,crossvit_9_240,128,12.054327,7.301458,7.284973
cuda,cspdarknet53,64,10.113356,5.577986,5.562330
cuda,deit_base_distilled_patch16_224,64,6.085352,3.693569,3.678441
cuda,dla102,128,14.602307,8.871111,8.853287
cuda,dm_nfnet_f0,128,10.231446,5.598018,5.582329
cuda,dpn107,32,18.769787,11.008711,10.991826
cuda,eca_botnext26ts_256,128,6.259276,3.849064,3.834376
cuda,eca_halonext26ts,128,6.589495,4.047103,4.032642
cuda,ese_vovnet19b_dw,128,4.219425,2.225910,2.211416
cuda,fbnetc_100,128,9.135410,4.972927,4.957650
cuda,fbnetv3_b,128,16.333677,9.136403,9.119642
cuda,gernet_l,128,8.336464,4.496111,4.480233
cuda,ghostnet_100,128,14.261434,8.105941,8.089182
cuda,gluon_inception_v3,128,12.731642,7.810429,7.793519
cuda,gluon_xception65,32,17.305276,10.255812,10.237895
cuda,gmixer_24_224,128,12.071625,7.250155,7.232865
cuda,gmlp_s16_224,128,11.093354,6.175438,6.158378
cuda,hrnet_w18,128,31.927731,25.540515,25.514239
cuda,inception_v3,128,12.753382,7.989143,7.972580
cuda,jx_nest_base,32,13.469741,7.939646,7.923383
cuda,lcnet_050,128,4.607565,2.618894,2.604521
cuda,mixer_b16_224,128,5.363437,3.112976,3.096158
cuda,mixnet_l,128,14.912568,8.168945,8.151711
cuda,mnasnet_100,128,7.194722,4.006345,3.992132
cuda,mobilenetv2_100,128,7.734481,4.471546,4.457177
cuda,mobilenetv3_large_100,128,7.985379,4.598156,4.582106
cuda,mobilevit_s,64,10.554659,6.115246,6.098148
cuda,nfnet_l0,128,10.133881,5.779400,5.764468
cuda,pit_b_224,64,7.085690,4.209683,4.194347
cuda,pnasnet5large,16,22.051829,17.227736,17.201040
cuda,poolformer_m36,64,12.798090,6.553837,6.536964
cuda,regnety_002,128,7.830074,4.219405,4.204719
cuda,repvgg_a2,128,8.277809,4.480092,4.464753
cuda,res2net101_26w_4s,64,26.721311,16.165651,16.145928
cuda,res2net50_14w_8s,128,24.557029,15.306868,15.287496
cuda,res2next50,128,12.390540,7.962554,7.945776
cuda,resmlp_12_224,128,4.519670,2.358615,2.344591
cuda,resnest101e,64,25.413566,14.368593,14.348128
cuda,rexnet_100,128,10.710669,6.018499,6.001681
cuda,sebotnet33ts_256,64,8.389307,4.960522,4.945847
cuda,selecsls42b,128,5.372780,3.405009,3.389983
cuda,spnasnet_100,128,9.169642,5.005610,4.986224
cuda,swin_base_patch4_window7_224,64,17.379426,10.605126,10.587466
cuda,swsl_resnext101_32x16d,32,14.044994,8.458143,8.440209
cuda,tf_efficientnet_b0,128,9.696242,5.421178,5.406099
cuda,tf_mixnet_l,128,15.207399,8.167243,8.150342
cuda,tinynet_a,128,11.470810,6.488152,6.472267
cuda,tnt_s_patch16_224,128,15.586439,9.189785,9.172057
cuda,twins_pcpvt_base,64,22.129640,11.895626,11.875501
cuda,visformer_small,128,5.792054,3.646220,3.630674
cuda,vit_base_patch16_224,64,6.101565,3.707615,3.692152
cuda,volo_d1_224,64,10.949268,6.712722,6.696285
cuda,xcit_large_24_p8_224,5,28.232595,15.239297,15.219590
