dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.9688,60.7011,3.8706,1.0016
cuda,Background_Matting,4,0.9956,127.9551,2.7944,1.0118
cuda,LearningToPaint,96,0.9833,11.4051,1.1176,0.9971
cuda,Super_SloMo,6,0.9964,79.6811,2.2109,1.0108
cuda,alexnet,128,0.9610,10.1477,0.3552,1.0001
cuda,attention_is_all_you_need_pytorch,256,0.9638,55.4356,3.4188,1.0033
cuda,dcgan,32,0.8810,2.2748,0.3259,1.0066
cuda,demucs,4,0.9694,55.1870,1.0091,0.9977
cuda,densenet121,4,0.9255,56.9659,6.8276,1.0000
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,1024,0.9847,4.5170,0.3153,1.0000
cuda,drq,1,0.9131,3.4568,0.5253,0.9461
cuda,fastNLP_Bert,6,0.9839,57.1187,4.1203,1.0003
cuda,functorch_dp_cifar10,64,0.9281,11.0664,0.9398,1.0000
cuda,hf_Albert,8,0.9942,69.1812,2.1269,0.9999
cuda,hf_Bart,4,0.9589,58.2288,7.7322,0.9843
cuda,hf_Bert,4,0.9730,42.0034,4.9356,0.9995
cuda,hf_Bert_large,4,1.0077,83.0266,10.2323,1.0000
cuda,hf_BigBird,2,0.9664,195.3601,11.4380,0.9845
cuda,hf_DistilBert,8,0.9579,32.9537,1.9618,0.9993
cuda,hf_GPT2,4,1.0063,49.1354,3.2825,1.0000
cuda,hf_GPT2_large,4,0.9755,215.3025,11.9169,0.9999
cuda,hf_Longformer,2,0.9173,129.0790,9.9447,0.8940
cuda,hf_Reformer,4,0.9852,83.8078,2.5599,0.9237
cuda,hf_T5,8,0.9910,180.8474,4.4798,0.9816
cuda,hf_T5_large,2,1.0063,221.9345,19.8475,0.9872
cuda,lennard_jones,1000,0.8765,1.6764,0.2916,1.0000
cuda,mnasnet1_0,32,0.9771,22.7785,2.5211,0.9986
cuda,mobilenet_v2,96,0.9900,48.3614,2.5308,0.9997
cuda,mobilenet_v3_large,32,0.9824,29.3860,2.8668,0.9995
cuda,moco,32,0.9859,57.1269,26.9240,0.9885
cuda,nvidia_deeprecommender,256,0.8938,11.4559,0.3591,0.9437
cuda,phlippe_densenet,128,0.9858,23.6792,2.5801,1.0000
cuda,phlippe_resnet,128,0.9794,9.1079,1.0557,1.0000
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9549,13.9794,0.9394,1.0000
cuda,pytorch_stargan,16,0.9865,15.0488,0.9625,0.9976
cuda,pytorch_struct,200,0.9256,5.0885,0.5589,1.0000
cuda,pytorch_unet,1,0.9929,40.3206,1.2125,0.9999
cuda,resnet152,32,0.9815,65.4438,9.4328,0.9992
cuda,resnet18,16,0.9904,9.2287,1.0649,1.0059
cuda,resnet50,32,0.9810,26.8353,2.6449,0.9992
cuda,resnext50_32x4d,8,0.9148,25.1012,2.6432,1.0029
cuda,shufflenet_v2_x1_0,128,0.9865,34.1048,2.8611,0.9989
cuda,soft_actor_critic,256,0.9039,1.5514,0.3265,0.9686
cuda,speech_transformer,32,0.9539,63.1870,5.0422,0.9954
cuda,squeezenet1_1,32,0.9795,10.3933,0.7717,1.0000
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,0.9329,135.3901,19.0379,1.0331
cuda,timm_efficientnet,32,0.9343,37.3435,4.3250,1.0000
cuda,timm_nfnet,128,0.9936,123.0548,4.9551,0.9135
cuda,timm_regnet,32,0.9439,62.8504,5.5001,0.9998
cuda,timm_resnest,32,0.9871,23.8868,1.4830,0.9996
cuda,timm_vision_transformer,8,0.9415,31.3807,2.5819,0.9989
cuda,timm_vision_transformer_large,8,0.9628,192.8444,10.3640,0.9985
cuda,timm_vovnet,32,0.8974,30.4283,2.7130,1.0018
cuda,torchrec_dlrm,32,0.9277,14.9460,1.2499,0.9877
cuda,tts_angular,64,0.9908,6.8512,0.3027,0.9973
cuda,vgg16,64,0.9872,67.0396,0.4923,0.9999
cuda,yolov3,16,0.9882,68.9997,4.3357,0.9989
