dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.6406,162.5801,40.0765,0.9485
cuda,AlbertForQuestionAnswering,4,1.6505,160.2946,36.0085,0.9641
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.4713,76.7398,47.4141,0.8301
cuda,BartForConditionalGeneration,2,1.4479,95.2549,76.6710,0.8456
cuda,BertForMaskedLM,16,1.5378,71.9047,49.5330,1.0030
cuda,BertForQuestionAnswering,16,1.7098,56.1063,48.0959,1.1336
cuda,BlenderbotForCausalLM,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.2511,48.6233,38.0549,0.8065
cuda,BlenderbotSmallForConditionalGeneration,64,1.3571,82.8869,55.7849,0.8729
cuda,CamemBert,16,1.4921,79.7170,45.7472,0.9990
cuda,DebertaForMaskedLM,4,1.0977,56.6181,78.4783,0.5501
cuda,DebertaForQuestionAnswering,8,1.0733,70.6316,78.3636,0.4601
cuda,DebertaV2ForMaskedLM,1,1.0273,101.9565,131.9266,0.5197
cuda,DebertaV2ForQuestionAnswering,2,0.9252,114.3729,129.4246,0.4870
cuda,DistilBertForMaskedLM,128,1.1904,70.9408,31.5731,0.8849
cuda,DistilBertForQuestionAnswering,256,1.3860,74.3608,29.8420,1.0465
cuda,DistillGPT2,16,1.6438,64.3288,26.5372,0.9682
cuda,ElectraForCausalLM,32,1.7623,50.3559,63.8121,0.8896
cuda,ElectraForQuestionAnswering,64,2.0392,56.9934,53.5215,1.1589
cuda,GPT2ForSequenceClassification,4,2.2376,40.7084,34.0474,1.1154
cuda,LayoutLMForMaskedLM,16,1.5687,72.1196,52.4666,0.9954
cuda,LayoutLMForSequenceClassification,16,1.7188,57.1809,56.2624,1.0081
cuda,M2M100ForConditionalGeneration,16,1.6459,75.1158,103.6121,0.6058
cuda,MBartForCausalLM,4,1.4809,76.1271,45.7614,0.8491
cuda,MBartForConditionalGeneration,2,1.4463,95.3320,81.5900,0.8672
cuda,MT5ForConditionalGeneration,16,2.5735,40.8072,99.1883,0.9143
cuda,MegatronBertForCausalLM,4,1.4978,58.9523,82.3582,0.8410
cuda,MegatronBertForQuestionAnswering,8,1.5871,89.7278,81.2493,0.9474
cuda,MobileBertForMaskedLM,64,2.6114,65.8962,122.0036,0.8433
cuda,MobileBertForQuestionAnswering,128,2.1175,79.3595,113.1279,0.6570
cuda,OPTForCausalLM,2,2.3656,70.3582,42.1711,1.0620
cuda,PLBartForCausalLM,8,1.5554,72.7452,32.8817,0.8907
cuda,PLBartForConditionalGeneration,4,1.5545,75.4101,59.3873,0.9562
cuda,PegasusForCausalLM,32,1.1662,59.9086,45.0932,0.7952
cuda,PegasusForConditionalGeneration,32,1.2406,111.2845,65.5688,0.8901
cuda,RobertaForCausalLM,16,1.6116,71.5818,47.3647,1.0031
cuda,RobertaForQuestionAnswering,16,1.7160,56.1314,43.3743,1.1331
cuda,Speech2Text2ForCausalLM,256,1.4452,37.1785,30.8609,0.7566
cuda,T5ForConditionalGeneration,4,1.5198,68.9585,61.2210,1.1210
cuda,T5Small,4,1.5063,69.4702,60.0736,1.1210
cuda,TrOCRForCausalLM,32,1.2233,112.8105,44.9159,0.8619
cuda,XGLMForCausalLM,8,1.6089,55.0570,76.6165,0.6744
cuda,XLNetLMHeadModel,0,0.0000
cuda,YituTechConvBert,16,1.4008,96.0579,82.9098,0.9809
