dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.6283,164.2298,54.0223,1.2647
cuda,AlbertForQuestionAnswering,4,1.6470,160.9261,44.9296,1.3145
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.5245,74.0674,46.3938,0.9749
cuda,BartForConditionalGeneration,2,1.4832,92.8374,78.6955,1.0139
cuda,BertForMaskedLM,16,1.5745,70.1515,48.7433,1.0498
cuda,BertForQuestionAnswering,16,1.7388,55.1557,46.9623,1.1370
cuda,BlenderbotForCausalLM,4,1.1748,84.8912,71.3334,0.9943
cuda,BlenderbotSmallForCausalLM,64,1.2491,47.5624,38.9652,0.9120
cuda,BlenderbotSmallForConditionalGeneration,64,1.3926,80.6316,57.8492,0.9803
cuda,CamemBert,16,1.5246,77.9864,48.7165,1.0469
cuda,DebertaForMaskedLM,4,0.9540,73.1195,55.9040,1.0409
cuda,DebertaForQuestionAnswering,8,1.0724,70.5486,57.2730,1.1526
cuda,DebertaV2ForMaskedLM,1,0.7315,141.5175,73.9032,0.9772
cuda,DebertaV2ForQuestionAnswering,2,0.7578,155.9324,72.4515,0.9801
cuda,DistilBertForMaskedLM,128,1.2368,68.3281,35.3107,0.9624
cuda,DistilBertForQuestionAnswering,256,1.4340,72.2347,37.6291,1.1479
cuda,DistillGPT2,16,1.7025,62.1466,25.5320,1.0641
cuda,ElectraForCausalLM,32,1.8438,48.1369,74.3493,0.9717
cuda,ElectraForQuestionAnswering,64,2.0759,55.9149,55.7896,1.1633
cuda,GPT2ForSequenceClassification,4,2.3103,39.4230,36.8401,1.2323
cuda,LayoutLMForMaskedLM,16,1.5868,71.3048,55.3826,1.0495
cuda,LayoutLMForSequenceClassification,16,1.7628,55.7674,59.0868,1.1330
cuda,M2M100ForConditionalGeneration,16,1.3812,78.5990,121.8213,0.9795
cuda,MBartForCausalLM,4,1.5356,73.5397,42.7360,0.9830
cuda,MBartForConditionalGeneration,2,1.4833,92.9321,79.0744,1.0307
cuda,MT5ForConditionalGeneration,16,1.8848,49.6735,131.6573,1.0011
cuda,MegatronBertForCausalLM,4,1.5333,57.2365,81.2722,1.0952
cuda,MegatronBertForQuestionAnswering,8,1.6371,87.0001,78.6347,1.1152
cuda,MobileBertForMaskedLM,64,1.1229,150.0298,137.5999,1.0136
cuda,MobileBertForQuestionAnswering,128,1.1428,148.1374,133.4037,0.8392
cuda,OPTForCausalLM,2,2.4364,68.3169,39.4698,1.1403
cuda,PLBartForCausalLM,8,1.5944,71.0250,31.7005,0.9887
cuda,PLBartForConditionalGeneration,4,1.6209,72.2180,57.4643,1.0495
cuda,PegasusForCausalLM,32,1.2189,57.3045,43.0854,0.9736
cuda,PegasusForConditionalGeneration,32,1.2901,107.4257,65.8048,1.0689
cuda,RobertaForCausalLM,16,1.6440,70.2478,47.7645,1.0497
cuda,RobertaForQuestionAnswering,16,1.7453,55.0753,42.5452,1.1366
cuda,Speech2Text2ForCausalLM,256,1.5290,35.0745,32.6408,0.8760
cuda,T5ForConditionalGeneration,4,1.6069,64.8321,58.7749,1.1814
cuda,T5Small,4,1.6093,64.7833,58.7661,1.1814
cuda,TrOCRForCausalLM,32,1.2733,108.4252,41.5987,0.9583
cuda,XGLMForCausalLM,8,1.3007,67.1334,70.4659,0.9742
cuda,XLNetLMHeadModel,8,1.5885,172.3849,86.5043,1.1240
cuda,YituTechConvBert,16,1.3883,97.0528,83.0715,1.0364
