dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.9963,227.2211,4.6827,1.0000
cuda,beit_base_patch16_224,64,0.9951,130.0405,3.2389,1.0000
cuda,botnet26t_256,128,0.9837,152.4478,2.2706,1.0000
cuda,cait_m36_384,4,0.9892,219.7906,15.1533,1.0001
cuda,coat_lite_mini,128,0.9977,190.8484,2.3873,1.0108
cuda,convit_base,64,0.9967,197.0923,2.8908,1.0000
cuda,convmixer_768_32,32,0.9996,365.0410,1.1725,1.0000
cuda,convnext_base,64,0.9959,263.1486,5.4572,1.0000
cuda,crossvit_9_240,128,0.9924,95.3020,4.5364,1.0001
cuda,cspdarknet53,64,0.9556,130.8957,4.4097,1.0000
cuda,deit_base_distilled_patch16_224,64,0.9956,120.4476,2.2747,1.0005
cuda,dla102,128,0.9966,270.4173,5.4545,0.9881
cuda,dm_nfnet_f0,128,0.9969,206.3557,4.5926,0.9406
cuda,dpn107,32,0.9598,190.9657,8.0961,1.0008
cuda,eca_botnext26ts_256,128,0.9851,163.1645,2.3691,1.0000
cuda,eca_halonext26ts,128,0.9855,169.0239,2.3744,1.0001
cuda,ese_vovnet19b_dw,128,0.9764,99.8366,1.7570,1.0001
cuda,fbnetc_100,128,0.9650,123.7117,4.0104,1.0001
cuda,fbnetv3_b,128,0.9622,163.6375,7.2764,1.0003
cuda,gernet_l,128,0.9717,165.3571,3.7065,1.0000
cuda,ghostnet_100,128,0.9925,115.9189,6.0670,1.0001
cuda,gluon_inception_v3,128,0.9962,227.4531,4.7582,1.0000
cuda,gluon_xception65,32,0.9935,184.1863,6.8687,1.0000
cuda,gmixer_24_224,128,0.9942,147.3464,4.5335,1.0001
cuda,gmlp_s16_224,128,0.9943,152.1429,4.7725,1.0001
cuda,hrnet_w18,128,0.9991,417.8950,6.2740,1.0002
cuda,inception_v3,128,0.9962,227.4879,4.8773,1.0000
cuda,jx_nest_base,32,0.9927,121.3697,5.3265,1.0021
cuda,lcnet_050,128,0.9522,38.4915,1.8379,1.0000
cuda,mixer_b16_224,128,0.9965,159.1426,1.9955,1.0000
cuda,mixnet_l,128,0.9826,248.3784,6.5313,1.0001
cuda,mnasnet_100,128,0.9636,99.0776,3.2866,1.0003
cuda,mobilenetv2_100,128,0.9637,98.0063,3.2767,1.0000
cuda,mobilenetv3_large_100,128,0.9620,86.0709,3.4115,1.0000
cuda,mobilevit_s,64,0.9755,117.7493,4.1646,1.0002
cuda,nfnet_l0,128,0.9966,176.4772,4.1560,0.9994
cuda,pit_b_224,64,0.9956,159.4506,2.7939,1.0003
cuda,pnasnet5large,16,0.9992,289.2708,4.4644,1.0688
cuda,poolformer_m36,64,0.9937,175.5073,6.1529,1.0007
cuda,regnety_002,128,0.9421,49.1960,3.6184,1.0000
cuda,repvgg_a2,128,0.9629,127.4275,3.6675,1.0003
cuda,res2net101_26w_4s,64,0.9915,153.6280,10.4357,1.0002
cuda,res2net50_14w_8s,128,0.9946,230.8071,9.4292,1.0002
cuda,res2next50,128,0.9965,207.3944,4.3389,1.0003
cuda,resmlp_12_224,128,0.9939,71.6866,1.9798,1.0000
cuda,resnest101e,64,0.9937,230.6917,11.1796,1.0000
cuda,rexnet_100,128,0.9703,119.7602,4.5446,0.9999
cuda,sebotnet33ts_256,64,0.9736,114.7759,3.2262,1.0000
cuda,selecsls42b,128,0.9942,90.0421,1.9398,1.0001
cuda,spnasnet_100,128,0.9594,106.2417,4.0018,1.0001
cuda,swin_base_patch4_window7_224,64,0.9956,236.8757,6.5435,1.0001
cuda,swsl_resnext101_32x16d,32,0.9942,220.1412,5.2833,1.0002
cuda,tf_efficientnet_b0,128,0.9735,134.6052,4.1249,1.0001
cuda,tf_mixnet_l,128,0.9827,257.7378,6.9715,0.9999
cuda,tinynet_a,128,0.9621,110.5922,4.8761,0.9999
cuda,tnt_s_patch16_224,128,0.9981,471.6473,6.0476,1.0001
cuda,twins_pcpvt_base,64,0.9892,135.6780,10.0214,1.0005
cuda,visformer_small,128,0.9967,128.7676,2.0157,1.0010
cuda,vit_base_patch16_224,64,0.9956,119.7942,2.2932,1.0000
cuda,volo_d1_224,64,0.9951,153.9279,4.2348,1.0001
cuda,xcit_large_24_p8_224,5,0.9849,137.4122,13.0793,0.9997
