dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,adv_inception_v3,128,4.819239,0.000691
cuda,beit_base_patch16_224,64,3.322367,0.000562
cuda,botnet26t_256,128,2.294957,0.000480
cuda,cait_m36_384,4,15.297279,0.001815
cuda,coat_lite_mini,128,2.577758,0.000506
cuda,convit_base,64,3.043922,0.000542
cuda,convmixer_768_32,32,1.253374,0.000129
cuda,convnext_base,64,5.721183,0.000874
cuda,crossvit_9_240,128,4.594456,0.000730
cuda,cspdarknet53,64,4.513698,0.000811
cuda,deit_base_distilled_patch16_224,64,2.396836,0.000446
cuda,dla102,128,5.629637,0.000808
cuda,dm_nfnet_f0,128,4.716464,0.000749
cuda,dpn107,32,8.210638,0.001361
cuda,eca_botnext26ts_256,128,2.436191,0.000466
cuda,eca_halonext26ts,128,2.487521,0.000505
cuda,ese_vovnet19b_dw,128,1.825752,0.000376
cuda,fbnetc_100,128,4.120170,0.000761
cuda,fbnetv3_b,128,7.472606,0.001208
cuda,gernet_l,128,3.828339,0.000702
cuda,ghostnet_100,128,6.177362,0.000714
cuda,gluon_inception_v3,128,4.884623,0.000721
cuda,gluon_xception65,32,7.118859,0.000935
cuda,gmixer_24_224,128,4.717369,0.000750
cuda,gmlp_s16_224,128,4.963498,0.000830
cuda,hrnet_w18,128,6.476881,0.000457
cuda,inception_v3,128,5.013847,0.000746
cuda,jx_nest_base,32,5.416620,0.000871
cuda,lcnet_050,128,1.875112,0.000376
cuda,mixer_b16_224,128,2.111501,0.000438
cuda,mixnet_l,128,6.734415,0.001009
cuda,mnasnet_100,128,3.346305,0.000652
cuda,mobilenetv2_100,128,3.363124,0.000610
cuda,mobilenetv3_large_100,128,3.524377,0.000646
cuda,mobilevit_s,64,4.275800,0.000718
cuda,nfnet_l0,128,4.263387,0.000706
cuda,pit_b_224,64,2.851993,0.000487
cuda,pnasnet5large,16,4.749635,0.000326
cuda,poolformer_m36,64,6.287800,0.000963
cuda,regnety_002,128,3.654169,0.000688
cuda,repvgg_a2,128,3.726668,0.000667
cuda,res2net101_26w_4s,64,10.573773,0.001266
cuda,res2net50_14w_8s,128,9.525218,0.001143
cuda,res2next50,128,4.514044,0.000725
cuda,resmlp_12_224,128,2.056294,0.000410
cuda,resnest101e,64,11.280091,0.001719
cuda,rexnet_100,128,4.649094,0.000780
cuda,sebotnet33ts_256,64,3.291839,0.000578
cuda,selecsls42b,128,1.977030,0.000374
cuda,spnasnet_100,128,4.084307,0.000739
cuda,swin_base_patch4_window7_224,64,6.706727,0.001024
cuda,swsl_resnext101_32x16d,32,5.427119,0.000786
cuda,tf_efficientnet_b0,128,4.235210,0.000760
cuda,tf_mixnet_l,128,7.130889,0.001091
cuda,tinynet_a,128,4.999181,0.000850
cuda,tnt_s_patch16_224,128,6.268155,0.000947
cuda,twins_pcpvt_base,64,10.152533,0.001356
cuda,visformer_small,128,2.103418,0.000402
cuda,vit_base_patch16_224,64,2.413384,0.000462
cuda,volo_d1_224,64,4.332659,0.000745
cuda,xcit_large_24_p8_224,5,13.171678,0.001661
