dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,27.952246,24.459567,21.623923,13.274311,3.183017,17.896325,4.762683,1.872468,0.288315,23.937130,8.031061
cuda,Background_Matting,4,27.748891,25.010761,20.509874,13.150994,3.119394,20.098663,5.764144,2.678004,0.247243,28.206436,10.283414
cuda,LearningToPaint,96,17.061455,15.987729,11.856127,8.829569,1.517293,13.621387,1.361269,0.672048,0.083139,23.669472,6.410026
cuda,Super_SloMo,6,24.120265,21.970837,18.049133,11.477079,2.834727,17.189715,5.460602,2.333238,0.146055,8.697682,7.533187
cuda,alexnet,128,7.756300,7.410061,3.967585,3.550357,0.210163,7.822299,0.927768,0.292331,0.016326,4.495706,4.879294
cuda,attention_is_all_you_need_pytorch,256,28.244376,24.961236,22.059399,13.403579,2.495461,19.943318,5.369656,1.991635,0.371851,30.336874,9.481329
cuda,dcgan,32,7.499264,7.182108,3.655413,3.137735,0.338754,4.158744,0.214843,0.101080,0.013818,1.378132
cuda,demucs,4,17.460238,16.464288,13.195701,11.866592,0.660821,17.738369,1.324593,0.624857,0.045858,9.035375,6.582015
cuda,densenet121,4,60.398494,53.801170,50.374732,31.218600,7.882566,42.431790,14.291902,5.210254,0.771410,55.269933,20.190497
cuda,dlrm,1024,4.828478,4.536491,1.793736,1.362131,0.292137,2.724007,0.334274,0.119288,0.014622,1.666563
cuda,drq,1,9.687270,9.168887,5.081140,4.598107,0.148407,6.859853,0.189437,0.094614,0.016941,2.427323
cuda,fastNLP_Bert,6,29.346769,25.215305,22.200508,14.767592,2.619774,19.389305,4.062057,1.813237,0.303744,6.485352,7.465121
cuda,functorch_dp_cifar10,64,15.174417,14.265607,10.747425,7.857217,1.300958,14.434682,2.369871,0.807304,0.068740,35.380959,7.960907
cuda,hf_Albert,8,26.400126,24.571796,21.345368,15.699491,2.089698,24.696244,2.856185,1.259156,0.156692,9.189469,11.234131
cuda,hf_Bart,4,36.628934,29.292862,26.312751,16.502564,3.061503,23.449980,4.834878,2.332415,0.318003,3.934195,10.287155
cuda,hf_Bert,4,27.795324,23.147283,20.235275,12.943980,2.154537,18.874985,4.330494,1.694749,0.301551,7.930386,8.301405
cuda,hf_Bert_large,4,47.579178,37.211622,34.280453,19.019656,4.469089,26.659276,8.412052,3.302734,0.785909,11.695751,12.806772
cuda,hf_BigBird,2,73.724465,62.571073,59.343282,31.497552,8.720935,51.525845,22.114516,9.490073,0.589350,8.818083,29.996726
cuda,hf_DistilBert,8,16.470472,14.717311,11.794358,8.083454,1.266128,12.075956,2.115596,0.920371,0.128131,5.410321,5.366252
cuda,hf_GPT2,4,23.750555,20.626585,17.589956,10.802557,2.105634,14.267751,3.761235,1.925533,0.259981,2.762420,5.759320
cuda,hf_GPT2_large,4,58.479890,46.634435,43.334151,23.544101,6.820842,30.986801,12.840529,4.767298,1.294908,1.830663,14.829254
cuda,hf_Reformer,4,24.915756,22.066374,19.090576,16.480204,0.874917,21.466567,1.432770,0.736265,0.065343,5.287533,5.969500
cuda,hf_T5,8,35.128734,30.664272,27.532231,18.780076,2.520930,26.114137,4.066718,1.920359,0.285457,8.672377,10.100286
cuda,hf_T5_large,2,97.944263,78.632782,75.100857,40.822565,10.796127,53.866375,16.395667,6.012980,1.726864,36.039022,24.790267
cuda,lennard_jones,1000,4.833858,4.559582,2.100753,1.834682,0.045636,2.849789,0.100878,0.176859,0.007852,1.069507
cuda,mnasnet1_0,32,28.925619,26.315077,22.445255,15.118146,2.510836,21.679785,4.200756,1.791223,0.231994,78.347501,9.298264
cuda,mobilenet_v2,96,29.611676,27.135184,23.519045,15.822044,2.662251,22.225567,4.792798,1.940268,0.259751,97.044239,9.293773
cuda,mobilenet_v3_large,32,29.918713,26.995431,23.438251,15.621834,2.992726,23.875203,4.401238,1.938096,0.261242,99.647193,11.483401
cuda,nvidia_deeprecommender,256,5.697180,5.357956,2.624524,2.202837,0.125598,5.880282,0.271639,0.070003,0.011223,3.817367,0.494818
cuda,phlippe_densenet,128,32.478314,29.970510,26.454325,18.952513,2.832838,26.479767,4.853154,2.395980,0.247371,128.363024,10.586252
cuda,phlippe_resnet,128,14.376943,13.213596,9.726582,6.901014,0.959732,10.392165,1.129263,0.630955,0.076627,14.481976,4.534092
cuda,pytorch_CycleGAN_and_pix2pix,1,14.252590,13.367363,9.848871,6.859698,1.041472,11.259142,1.952612,0.807681,0.073996,14.300852,5.516190
cuda,pytorch_stargan,16,15.075123,14.131333,10.618057,7.400532,0.952280,11.412375,1.312740,0.502500,0.068272,29.672574,5.053626
cuda,pytorch_struct,200,8.748958,8.228031,5.382798,4.622196,0.183537,8.463044,0.260021,0.146947,0.025041,11.496403,4.048407
cuda,pytorch_unet,1,17.487418,16.281165,12.831183,9.348480,1.194606,14.925222,2.574049,1.049921,0.093176,31.583949,6.870137
cuda,resnet152,32,57.480015,48.551281,44.710845,22.109802,8.247399,27.295888,10.325448,4.277540,1.031247,33.768074,14.104598
cuda,resnet18,16,16.073271,15.042532,11.536306,8.604386,1.075390,13.663793,1.912771,0.961052,0.081472,25.737526,6.221805
cuda,resnet50,32,25.613424,23.101243,19.598415,12.227130,2.820964,17.307655,3.767328,1.666323,0.236534,34.064721,8.369537
cuda,resnext50_32x4d,8,25.074623,22.579707,19.072031,11.641376,2.665073,17.111622,3.346100,1.962294,0.223300,22.069827,8.361584
cuda,shufflenet_v2_x1_0,128,28.238942,25.471186,21.622606,13.449543,3.036616,19.180789,4.703709,2.608357,0.301225,47.903286,9.240417
cuda,soft_actor_critic,256,6.497003,6.180677,3.310595,3.065409,0.066858,4.531817,0.076695,0.193016,0.007547,1.541592
cuda,speech_transformer,32,34.515442,29.718149,26.906960,17.154194,3.129457,25.275895,5.773515,2.342942,0.355215,29.670745,11.536221
cuda,squeezenet1_1,32,9.752039,8.993037,5.500895,4.387460,0.499643,9.992584,1.413551,0.818086,0.047634,6.140332,9.575465
cuda,timm_efficientdet,1,95.724587,76.825265,72.843073,42.418910,13.905840,59.760694,20.112647,6.581410,1.528126,135.209596,32.177026
cuda,timm_efficientnet,32,32.650358,28.516903,24.823242,16.055041,3.439265,24.803045,5.212678,2.175740,0.323946,100.555061,12.456794
cuda,timm_nfnet,128,30.162561,25.598696,21.892338,12.398660,4.257961,21.290170,5.878362,2.286453,0.336518,29.991194,13.431593
cuda,timm_regnet,32,33.039634,27.501236,23.600948,13.760004,3.853753,19.260802,4.825131,2.353578,0.389953,28.178588,9.666376
cuda,timm_resnest,32,20.741951,19.339385,15.660179,11.938260,1.383169,19.241819,3.370177,1.446106,0.112289,71.627760,8.796590
cuda,timm_vision_transformer,8,23.682798,21.071496,17.451321,12.221846,1.606395,18.065751,3.278446,1.499531,0.215488,18.720455,7.609420
cuda,timm_vision_transformer_large,8,50.860769,40.765517,36.949412,19.636863,5.947791,27.435642,9.906643,4.607976,1.186517,13.873279,14.639860
cuda,timm_vovnet,32,23.021395,20.437242,16.775473,11.221428,2.270815,18.456549,4.065274,1.740939,0.168093,31.948839,9.673561
cuda,tts_angular,64,6.155199,5.849430,2.851606,2.551254,0.280445,3.350321,0.111502,0.068794,0.005877,1.093660
cuda,vgg16,64,8.722608,8.061979,4.545633,3.872170,0.309990,8.344596,1.065725,0.396280,0.028225,4.805434,4.772639
cuda,yolov3,16,37.883734,33.772298,30.098075,19.310025,4.522213,26.721472,6.876278,2.944149,0.411138,68.918355,12.538399
