dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,32.883886,30.664640,27.060034,18.915832,8.024763,29.990524,3.533700,1.612837,0.162648,7.556513,19.266215
cuda,AlbertForQuestionAnswering,4,30.846855,28.588763,25.053056,16.936773,7.748132,26.047089,3.345138,1.600554,0.163718,3.434640,17.025928
cuda,BartForCausalLM,4,32.153935,27.668016,24.948111,15.651183,8.159305,19.838583,4.236706,2.516298,0.248699,2.785406,12.590349
cuda,BartForConditionalGeneration,2,66.323459,54.486250,51.692281,27.135270,21.062727,29.380645,11.892671,5.955823,1.499607,0.445830,23.918210
cuda,BertForMaskedLM,16,36.633347,31.288793,27.452137,17.563657,8.278068,24.763716,4.625259,2.427514,0.347864,6.765122,15.719642
cuda,BertForQuestionAnswering,16,36.479834,31.039327,27.241770,17.635374,8.169730,22.947681,4.620893,2.416940,0.346994,6.467177,13.729538
cuda,BlenderbotForCausalLM,4,50.544608,41.128374,38.280145,20.607495,15.395609,26.421592,8.584288,4.982738,0.504941,8.971170,21.679074
cuda,BlenderbotSmallForCausalLM,64,26.864189,23.444495,19.609013,13.568452,5.756052,20.301286,3.033551,1.700404,0.167634,2.960431,12.651182
cuda,BlenderbotSmallForConditionalGeneration,64,46.636861,39.619277,35.841723,20.380699,13.981190,24.122294,7.758834,4.443172,0.773677,2.272518,18.120146
cuda,CamemBert,16,32.808004,27.376139,24.624337,14.924205,8.355762,18.538065,4.669564,2.446288,0.357436,5.493973,12.218181
cuda,DebertaForMaskedLM,4,40.693930,35.003234,31.266738,22.606178,7.008446,32.046469,5.153400,2.531247,0.316267,3.238577,16.760035
cuda,DebertaForQuestionAnswering,8,40.057495,34.224134,30.530035,22.370659,6.819573,32.710683,5.031762,2.733215,0.312609,3.839872,17.473509
cuda,DebertaV2ForMaskedLM,1,56.839896,43.134355,40.184330,23.048250,14.828703,28.111386,6.589499,4.470301,0.627259,1.354316,20.497230
cuda,DebertaV2ForQuestionAnswering,2,55.213524,41.504655,38.532091,21.443770,14.448926,27.127331,8.597549,5.043410,0.644908,20.737829
cuda,DistilBertForMaskedLM,128,22.698109,20.682092,16.994192,11.992232,4.454372,16.824540,2.731044,1.296075,0.146503,9.146084,9.411445
cuda,DistilBertForQuestionAnswering,256,21.599393,19.656709,16.190946,11.331907,4.345291,16.920021,2.726303,1.268613,0.140120,10.835025,10.055213
cuda,DistillGPT2,16,21.952373,20.131802,15.597830,11.298611,3.974458,16.375693,2.310878,1.547139,0.131699,2.412261,9.162676
cuda,ElectraForCausalLM,32,39.617293,34.498647,31.339531,21.659646,8.569718,33.948065,5.409878,2.496040,0.355166,14.153482,21.100703
cuda,ElectraForQuestionAnswering,64,32.967965,28.063779,25.106164,15.590728,8.314357,23.584581,4.593233,2.724421,0.354029,7.246660,16.546607
cuda,GPT2ForSequenceClassification,4,26.270653,22.816797,19.990358,11.860001,7.241231,14.111815,4.103872,2.131385,0.307219,2.424703,9.706585
cuda,LayoutLMForMaskedLM,16,37.306273,32.019770,28.360659,18.609476,8.334108,26.220544,4.664295,2.446665,0.349401,6.757752,16.195994
cuda,LayoutLMForSequenceClassification,16,36.889914,32.111311,28.461077,18.953755,8.271924,27.985011,4.814894,2.428175,0.341860,9.188553,17.546963
cuda,M2M100ForConditionalGeneration,16,86.023133,68.012839,64.294685,38.593966,21.876823,46.789510,13.635583,7.328514,0.854336,24.176922,30.980572
cuda,MBartForCausalLM,4,32.322969,27.568893,24.733172,15.674395,7.814989,20.891488,4.722659,2.524758,0.258189,2.802812,13.272835
cuda,MBartForConditionalGeneration,2,69.682617,56.973748,53.301694,29.962972,20.977875,34.184731,12.889986,6.095690,1.593820,0.396987,25.806024
cuda,MT5ForConditionalGeneration,16,54.455105,48.305035,44.604455,29.457970,14.389692,39.122378,7.194412,3.070887,0.450795,73.398473,24.447515
cuda,MegatronBertForCausalLM,4,59.074815,48.014114,44.452310,26.012326,15.221617,33.099905,10.345502,4.753151,1.039335,12.535783,23.184243
cuda,MegatronBertForQuestionAnswering,8,58.989767,47.941313,44.389660,25.958493,15.320071,33.410789,10.283219,4.750616,1.060570,10.940926,23.627560
cuda,MobileBertForMaskedLM,64,75.647499,62.530976,58.929363,29.277604,27.768576,44.829799,14.438956,7.838718,4.314068,46.610244,43.968741
cuda,MobileBertForQuestionAnswering,128,77.057709,63.816484,60.189939,30.377424,27.562639,46.925366,14.394536,7.818687,4.229480,38.832776,44.783637
cuda,OPTForCausalLM,2,31.005648,26.531045,22.951245,14.435199,7.916565,20.531602,4.672124,2.585737,0.248080,2.543956,14.439928
cuda,PLBartForCausalLM,8,25.657986,23.219614,19.770331,14.965306,4.395353,20.609653,2.433559,1.302742,0.127045,1.888960,10.163910
cuda,PLBartForConditionalGeneration,4,49.049838,41.745476,38.094555,25.076903,10.787776,31.609758,5.713778,3.217420,0.344025,3.778572,17.632705
cuda,PegasusForCausalLM,32,33.670784,29.151500,25.589337,16.893996,7.918936,23.553066,4.514224,2.509591,0.252748,3.482007,14.815870
cuda,PegasusForConditionalGeneration,32,54.573194,50.188874,46.445490,26.554906,18.792358,34.674520,10.036961,5.208437,0.980828,1.920626,27.359657
cuda,RobertaForCausalLM,16,38.290878,33.146557,29.527070,20.121860,8.241716,24.705152,4.629197,2.438051,0.351242,5.902957,13.066116
cuda,RobertaForQuestionAnswering,16,35.163912,30.010087,26.363321,16.975219,8.142681,20.281186,4.517183,2.363936,0.348718,5.167873,11.686993
cuda,Speech2Text2ForCausalLM,256,25.050443,22.749702,19.225203,15.036352,4.600212,20.873566,2.382050,1.276084,0.127829,4.021981,10.555220
cuda,T5ForConditionalGeneration,4,41.706165,37.301547,33.753380,23.130873,9.579897,29.979431,5.246356,2.206975,0.298001,11.536053,16.694515
cuda,T5Small,4,41.977056,37.203313,33.656195,23.320174,9.601721,30.215684,5.228724,2.219231,0.297842,11.632190,16.770694
cuda,TrOCRForCausalLM,32,35.451294,31.014926,27.493792,18.312176,7.818542,24.145816,4.224185,2.699190,0.248637,1.826996,13.888525
cuda,XGLMForCausalLM,8,55.169727,46.257554,42.719311,24.817591,15.858409,32.301618,9.783877,5.362000,0.509757,5.204692,23.832074
cuda,XLNetLMHeadModel,8,77.060022,66.469465,62.687158,37.803075,21.841609,38.702927,19.111022,6.602759,0.585092,3.697758,23.405295
cuda,YituTechConvBert,16,48.385429,41.314901,37.836570,23.787321,12.991774,34.468458,8.008777,3.909125,0.608818,19.416323,24.032725
