dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,33.496165,29.737268,26.422838,16.102187,8.193068,20.457539,5.002127,2.706308,0.358434,11.875453,28.097208,24.680173
cuda,Background_Matting,4,29.509579,26.662673,22.102576,13.860096,2.937840,22.171243,6.195775,3.258384,0.277237,18.373253,34.957830,29.873278
cuda,LearningToPaint,96,19.329814,18.227155,13.348997,10.063627,1.288903,16.176398,1.465624,0.851841,0.090387,13.777350,26.228068,21.275814
cuda,Super_SloMo,6,26.643888,24.344760,21.367468,13.566964,2.887133,19.158515,6.538725,2.923554,0.175596,8.594992,17.249410,8.172615
cuda,alexnet,128,9.310693,8.939763,4.649280,4.130769,0.860764,9.698229,0.896631,0.360650,0.019289,4.934008,11.377339,4.751538
cuda,attention_is_all_you_need_pytorch,256,34.829298,31.344301,27.829850,17.453873,10.728639,22.600041,5.600328,2.670319,0.441665,14.670482,32.934850,30.824313
cuda,dcgan,32,8.703229,8.367478,4.023302,3.388460,0.230971,4.947031,0.386155,0.135353,0.015695,0.134953,1.944093
cuda,demucs,4,20.089175,19.037294,14.497145,13.112618,0.594272,21.101585,1.399103,0.790936,0.056834,6.531614,9.444851,15.162569
cuda,densenet121,4,66.520603,59.775371,55.223835,34.742053,8.075302,49.286202,15.165890,6.362421,0.782925,29.395203,57.636813,52.981426
cuda,drq,1,12.484726,11.941710,6.088475,5.469937,0.837878,7.979427,0.257078,0.146545,0.020276,0.429448,3.796172
cuda,fastNLP_Bert,6,38.352094,34.278769,30.382627,20.906229,8.519881,24.644505,5.053671,2.547636,0.358243,0.406111,6.635714,12.908795
cuda,functorch_dp_cifar10,64,18.041890,17.078117,12.745987,9.408970,1.652447,16.553269,2.635558,1.058824,0.081045,27.747162,36.416798,36.634618
cuda,hf_Albert,8,31.000542,28.844321,25.508043,18.072664,7.903527,25.524760,3.373770,1.607047,0.163976,2.437582,10.029940,17.957932
cuda,hf_Bart,4,47.523679,39.748682,36.147265,24.181294,10.513375,30.661606,5.849661,3.230906,0.340761,4.304349,4.163757,21.613894
cuda,hf_Bert,4,34.678107,29.867988,26.317852,17.003226,7.913820,22.165125,5.181933,2.365537,0.338587,0.621908,8.428581,13.935016
