dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,52.644939,47.117130,42.363060,26.927249,6.053799,39.363803,10.401934,5.659197,0.667633,106.585951,19.302407
cuda,beit_base_patch16_224,64,35.468675,31.460076,25.614220,17.868999,6.809725,24.044019,4.373292,2.452426,0.323157,3.236651,13.197383
cuda,botnet26t_256,128,34.779286,32.158861,27.608257,21.708638,4.434613,31.983945,6.481802,2.718603,0.167615,56.133721,14.880418
cuda,cait_m36_384,4,86.622067,70.428355,65.707053,36.674167,25.756798,49.093882,18.942399,9.538165,2.525322,22.852350,39.554801
cuda,coat_lite_mini,128,40.159901,37.075536,32.342715,24.797234,8.434740,40.620114,8.109919,3.727268,0.274660,45.207498,24.454607
cuda,convit_base,64,38.695038,35.257371,29.096275,20.047251,8.923790,30.121980,6.553406,3.028325,0.349526,9.512575,19.240015
cuda,convmixer_768_32,32,24.512184,22.865672,17.988477,8.160094,3.361132,15.669679,3.692299,2.107523,0.333727,11.375845,2.675614
cuda,convnext_base,64,43.366081,36.488592,31.452372,20.909545,9.808470,33.074683,7.007948,3.783295,0.618891,31.876732,22.301846
cuda,crossvit_9_240,128,47.061246,41.198693,35.448150,23.029925,12.401066,37.272052,8.612614,4.277375,0.544701,34.320326,27.202707
cuda,cspdarknet53,64,39.558243,33.975168,29.372424,17.925430,4.483147,27.060342,5.377514,3.409721,0.385135,56.154946,14.302441
cuda,deit_base_distilled_patch16_224,64,30.989760,27.780415,22.894843,16.033524,6.843528,28.112484,4.498479,2.332947,0.283344,3.733791,19.105140
cuda,dla102,128,51.934108,45.750654,40.471015,23.335869,6.506936,32.635913,8.720913,4.550691,0.655631,43.010257,16.593448
cuda,dm_nfnet_f0,128,36.960508,31.070495,26.370402,15.662750,4.950075,26.174485,6.182587,2.856463,0.358582,31.145610,15.770154
cuda,dpn107,32,63.744415,54.639270,49.897865,30.029476,6.784413,43.219687,9.231237,5.119321,0.670326,30.967416,20.906486
cuda,eca_botnext26ts_256,128,37.594845,34.395508,29.346128,22.647322,4.750095,33.486826,6.894847,2.749442,0.190130,57.013711,15.783730
cuda,ese_vovnet19b_dw,128,25.839470,23.653903,18.938936,14.746709,2.217366,23.180145,4.020601,1.802630,0.148354,52.924941,10.779568
cuda,fbnetc_100,128,40.471796,36.115289,31.388325,21.551209,4.200880,31.220472,5.712702,2.944325,0.358598,101.924935,14.164492
cuda,fbnetv3_b,128,59.887250,51.939271,47.147053,28.587109,7.325100,41.251994,10.412652,5.065001,0.766266,102.120190,20.853047
cuda,gernet_l,128,32.489553,28.098231,23.284482,14.418617,3.342192,21.752861,3.821921,2.239082,0.285752,48.752333,10.930036
cuda,ghostnet_100,128,57.081920,49.198675,44.441258,29.487787,5.653429,47.218418,9.341140,4.791615,0.562112,182.686845,24.142426
cuda,gluon_inception_v3,128,52.335717,46.825728,42.074892,27.063141,6.753356,39.730804,10.276894,5.624960,0.666772,105.704763,19.869723
cuda,gluon_xception65,32,57.196430,48.855786,44.056459,23.701764,7.269106,31.687411,9.527724,4.613421,0.828914,35.027153,15.864878
cuda,gmixer_24_224,128,41.755303,35.536736,30.882871,19.250124,8.870539,27.077548,7.124922,3.769190,0.505291,6.790104,17.013317
cuda,gmlp_s16_224,128,43.621534,37.566851,32.812366,21.260044,8.996188,31.710738,7.663933,4.217529,0.537377,13.176027,19.775226
cuda,hrnet_w18,128,110.285885,101.837590,97.153272,45.946655,18.127911,66.806556,27.325040,12.417744,5.186593,92.395621,40.978229
cuda,inception_v3,128,51.847354,46.355392,41.656556,26.882609,6.357327,39.830171,10.657432,5.606722,0.659779,104.016837,19.742145
cuda,jx_nest_base,32,51.751611,44.902064,40.128241,26.738752,14.219054,40.365744,12.671304,4.990207,0.721537,23.601991,28.250895
cuda,lcnet_050,128,27.074920,25.023324,20.493644,14.873159,2.340356,22.708599,3.382177,1.944154,0.155736,74.212746,10.324765
cuda,mixer_b16_224,128,26.836406,24.045225,19.543090,13.749452,4.683795,20.132746,2.779984,1.615708,0.190799,5.932904,11.582088
cuda,mixnet_l,128,53.823763,45.925089,41.229393,26.478005,5.340764,41.012555,8.103932,4.670675,0.634500,105.041100,20.284379
cuda,mnasnet_100,128,34.905602,31.456480,26.879434,18.871863,3.183585,27.265891,4.846085,2.399659,0.262786,91.901328,11.811005
cuda,mobilenetv2_100,128,35.951476,32.468230,27.938156,19.438092,3.058792,28.776265,5.206519,2.415819,0.277682,98.760909,12.644277
cuda,mobilenetv3_large_100,128,38.358549,34.676196,30.012670,21.063565,3.432462,32.794657,5.634310,2.803796,0.299819,121.831548,15.414125
cuda,mobilevit_s,64,50.404363,45.628325,40.899893,30.406213,10.008941,48.440629,14.773401,7.212424,0.441417,104.042918,28.568958
cuda,nfnet_l0,128,35.391029,30.490922,25.732247,15.619264,3.903621,26.710689,6.223151,2.761765,0.345419,40.553473,15.267900
cuda,pit_b_224,64,33.969162,30.737518,26.191930,18.674175,8.931355,25.960861,5.434115,2.484067,0.310475,11.803318,16.420275
