dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,34.006048,29.427760,25.948155,15.769751,8.317195,19.976377,4.816208,2.447393,0.359675,27.732471,12.776329
cuda,Background_Matting,4,29.710511,26.799585,22.188633,13.960313,2.939583,22.539948,6.452289,3.270325,0.276522,36.554728,11.754619
cuda,LearningToPaint,96,22.525498,21.373606,14.362649,11.026944,1.310553,17.529364,1.467053,1.102563,0.091427,24.381626,7.906142
cuda,Super_SloMo,6,29.714220,27.218200,22.773599,14.776188,3.191068,21.327441,6.482749,2.878968,0.175052,9.912236,8.318447
cuda,alexnet,128,9.381037,9.013392,4.736022,4.206087,0.726774,8.752146,1.023232,0.358776,0.019156,5.288174,4.717966
cuda,attention_is_all_you_need_pytorch,256,35.636832,31.825180,28.225562,17.939285,11.303124,22.583103,5.463914,2.661029,0.439420,32.309731,16.221075
cuda,dcgan,32,8.855957,8.521839,4.147260,3.542659,0.229436,5.082552,0.380864,0.134857,0.015902,1.790257
cuda,demucs,4,20.650902,19.578424,15.050052,13.544495,0.589247,22.090922,1.528899,0.785234,0.056207,9.780447,9.183497
cuda,densenet121,4,68.579526,60.383281,55.609861,34.318828,8.701596,49.407782,15.917961,6.397121,0.783536,59.486078,24.431470
cuda,drq,1,12.995656,12.243326,6.308562,5.693957,0.846226,8.276520,0.260961,0.149545,0.019873,3.447410
cuda,fastNLP_Bert,6,38.051306,33.480669,29.974174,20.613216,8.345123,24.655658,5.305407,2.520958,0.352393,6.769444,12.626292
cuda,functorch_dp_cifar10,64,17.869416,16.879244,12.506581,9.394076,1.644703,16.624918,2.780060,1.068069,0.082438,34.532594,8.966243
cuda,hf_Albert,8,35.063233,32.641232,28.435624,20.579767,8.046708,29.346497,3.410900,1.647264,0.166230,9.559947,16.984845
cuda,hf_Bart,4,49.256809,40.715263,36.849271,24.395869,10.638403,31.180965,5.755998,3.206288,0.336949,4.317783,17.735113
cuda,hf_Bert,4,37.449341,31.759286,27.750944,18.043511,8.088877,22.955371,4.921605,2.442330,0.352153,8.298644,13.623727
cuda,hf_Bert_large,4,59.787016,47.790569,44.158290,25.962106,15.054434,31.858520,9.979685,4.595989,0.957610,12.550431,22.118078
cuda,hf_BigBird,2,93.502657,81.576092,77.484092,44.596976,25.896266,60.999069,24.671934,11.446418,0.653414,10.466173,43.362184
cuda,hf_DistilBert,8,21.547701,19.184121,15.576055,10.752732,4.415396,14.630995,2.264413,1.267254,0.144012,6.274449,8.415044
cuda,hf_GPT2,4,29.339586,25.435720,21.728243,13.556573,7.079627,16.331597,4.057401,2.111227,0.306669,2.780646,10.322297
cuda,hf_GPT2_large,4,71.599454,57.501503,53.805801,29.646198,19.640172,38.378654,14.738332,6.749797,1.584703,2.408454,29.377979
cuda,hf_Reformer,4,32.263807,29.211446,25.556690,22.544564,2.287708,27.090885,1.627242,1.280418,0.072674,5.190450,6.950046
cuda,hf_T5,8,44.750234,39.340916,35.209795,24.755551,9.718147,31.786253,5.159597,2.454141,0.310035,10.828267,17.021237
cuda,hf_T5_large,2,124.324429,100.830107,97.003980,56.636691,38.969295,64.048037,19.937829,8.354065,1.915069,38.648124,47.445757
cuda,lennard_jones,1000,6.895923,6.592403,3.053267,2.659932,0.774302,3.407402,0.119426,0.083590,0.009046,1.531780
cuda,mnasnet1_0,32,35.007939,32.109172,26.579642,18.268496,3.201495,26.563261,4.415349,2.315245,0.255772,71.323141,11.735543
cuda,mobilenet_v2,96,34.003441,31.357920,26.933647,18.459477,3.496206,25.895644,4.913316,2.406480,0.273180,97.214934,11.182432
cuda,mobilenet_v3_large,32,35.789122,32.851507,28.257342,19.368253,3.897295,29.682166,5.194765,2.557928,0.283628,102.761820,14.462811
cuda,nvidia_deeprecommender,256,7.328933,6.961039,3.511509,2.932949,1.126185,6.553905,0.179542,0.113317,0.012486,4.763727,0.557482
cuda,phlippe_densenet,128,37.653976,34.649735,30.248170,22.060923,3.298054,31.351330,5.179618,2.687162,0.272586,132.574913,12.828378
cuda,phlippe_resnet,128,16.517405,15.387913,10.962654,7.796791,1.243607,11.656296,1.408277,0.837236,0.085703,16.486319,5.191794
cuda,pytorch_CycleGAN_and_pix2pix,1,16.932000,15.930607,11.486922,8.027639,1.181760,12.606608,2.342309,1.109219,0.086319,19.315542,5.843678
cuda,pytorch_stargan,16,16.978730,15.963412,11.567364,8.094974,1.046005,12.797831,1.571314,0.649614,0.074020,28.866328,5.842631
cuda,pytorch_struct,200,8.055998,7.476648,3.908225,2.913920,1.537406,6.784451,0.514277,0.227539,0.027637,5.436564,9.285469
cuda,pytorch_unet,1,20.122033,18.742648,14.239748,10.326391,1.456867,16.776182,2.707664,1.310928,0.104402,40.411260,8.017210
cuda,resnet152,32,64.936812,55.377850,50.630478,25.633384,8.960119,32.475569,11.433746,5.699678,1.108360,34.250445,16.850984
cuda,resnet18,16,18.923973,17.803123,13.293806,10.031745,1.547267,15.595299,2.297873,0.990170,0.087832,25.881397,7.202514
cuda,resnet50,32,29.517394,26.499004,22.048099,13.760486,2.961348,20.420996,4.331507,2.169332,0.258151,34.967834,9.861006
cuda,resnext50_32x4d,8,28.884018,26.132375,21.579150,13.191524,3.086703,20.037836,3.677965,2.482828,0.243052,21.041710,10.410198
cuda,shufflenet_v2_x1_0,128,32.571154,29.408564,24.965954,16.009367,3.717675,22.943305,4.990635,3.420309,0.314215,46.286259,10.917822
cuda,soft_actor_critic,256,7.404366,7.073100,3.496947,3.179674,0.533296,5.064579,0.242944,0.067504,0.008319,2.427392
cuda,speech_transformer,32,43.430844,37.739005,34.286002,22.264625,11.459516,28.894609,6.965322,3.250903,0.391963,29.389337,18.406559
cuda,squeezenet1_1,32,12.461059,11.632496,7.270227,5.924771,0.683756,11.850554,1.788825,0.857748,0.060024,6.648727,10.003047
cuda,timm_efficientdet,1,115.499419,88.624131,83.717454,47.673409,16.117393,77.550559,22.583722,9.204250,1.629938,138.078707,46.988121
cuda,timm_efficientnet,32,38.852693,34.450145,29.855377,19.730256,3.892448,30.534564,6.215947,2.900464,0.348780,102.647192,14.985507
cuda,timm_nfnet,128,35.751516,30.183766,25.647022,14.905780,4.575341,24.810710,6.473078,2.825357,0.353981,31.493719,14.776115
cuda,timm_regnet,32,39.087458,32.873995,28.201264,16.080018,4.171786,23.280918,5.875367,3.002222,0.426368,28.671561,12.043244
cuda,timm_resnest,32,25.007809,23.440106,18.816686,14.564792,1.733884,22.803180,4.049929,1.767673,0.121559,75.542698,10.094001
