dev,name,batch_size,accuracy
cuda,BERT_pytorch,4,pass
cuda,Background_Matting,4,pass
cuda,LearningToPaint,4,pass
cuda,Super_SloMo,4,pass
cuda,alexnet,4,pass
cuda,attention_is_all_you_need_pytorch,4,pass
cuda,dcgan,4,pass
cuda,demucs,4,pass
cuda,densenet121,4,pass
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,4,pass
cuda,drq,1,pass
cuda,fastNLP_Bert,4,pass
cuda,functorch_dp_cifar10,4,pass
cuda,hf_Albert,4,pass
cuda,hf_Bart,4,pass
cuda,hf_Bert,4,pass
cuda,hf_Bert_large,4,pass
cuda,hf_BigBird,4,pass
cuda,hf_DistilBert,4,pass
cuda,hf_GPT2,2,pass
cuda,hf_GPT2_large,4,pass_due_to_skip
cuda,hf_Longformer,4,pass
cuda,hf_Reformer,4,pass
cuda,hf_T5,4,pass
cuda,hf_T5_base,4,pass
cuda,hf_T5_large,4,pass_due_to_skip
cuda,lennard_jones,4,pass
cuda,mnasnet1_0,4,pass
cuda,mobilenet_v2,4,pass
cuda,mobilenet_v3_large,4,pass
cuda,moco,4,fail_to_run
cuda,nvidia_deeprecommender,4,pass
cuda,phlippe_densenet,4,pass
cuda,phlippe_resnet,4,pass
cuda,pytorch_CycleGAN_and_pix2pix,1,pass
cuda,pytorch_stargan,16,pass
cuda,pytorch_struct,200,pass
cuda,pytorch_unet,2,pass
cuda,resnet152,4,pass
cuda,resnet18,4,pass
cuda,resnet50,4,pass
cuda,resnext50_32x4d,4,pass
cuda,shufflenet_v2_x1_0,4,pass
cuda,soft_actor_critic,256,pass
cuda,speech_transformer,4,pass
cuda,squeezenet1_1,4,pass
cuda,tacotron2,4,fail_to_run
cuda,timm_efficientdet,4,pass
cuda,timm_efficientnet,4,pass
cuda,timm_nfnet,4,pass
cuda,timm_regnet,4,pass
cuda,timm_resnest,4,pass
cuda,timm_vision_transformer,4,pass
cuda,timm_vision_transformer_large,4,pass_due_to_skip
cuda,timm_vovnet,4,pass
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,4,pass
cuda,vgg16,4,pass
cuda,vision_maskrcnn,4,fail_to_run
cuda,yolov3,4,pass
