dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,AlbertForMaskedLM,4,2.490957,0.000287
cuda,AlbertForQuestionAnswering,4,2.499840,0.000294
cuda,AllenaiLongformerBase,4,10.450107,0.004519
cuda,BartForCausalLM,4,4.579768,0.000816
cuda,BartForConditionalGeneration,2,12.484529,0.001310
cuda,BertForMaskedLM,16,5.543442,0.000584
cuda,BertForQuestionAnswering,16,5.530585,0.000571
cuda,BlenderbotForCausalLM,4,9.503536,0.001606
cuda,BlenderbotSmallForCausalLM,64,3.272698,0.000575
cuda,BlenderbotSmallForConditionalGeneration,64,7.679948,0.000913
cuda,CamemBert,16,5.537730,0.000607
cuda,DebertaForMaskedLM,4,6.595639,0.002503
cuda,DebertaForQuestionAnswering,8,6.648993,0.002568
cuda,DebertaV2ForMaskedLM,1,14.754545,0.004772
cuda,DebertaV2ForQuestionAnswering,2,14.711950,0.004879
cuda,DistilBertForMaskedLM,128,2.254676,0.000304
cuda,DistilBertForQuestionAnswering,256,2.251879,0.000304
cuda,DistillGPT2,16,2.146321,0.000280
cuda,ElectraForCausalLM,32,5.799437,0.000654
cuda,ElectraForQuestionAnswering,64,5.552618,0.000608
cuda,GPT2ForSequenceClassification,4,4.034548,0.000494
cuda,LayoutLMForMaskedLM,16,5.504821,0.000639
cuda,LayoutLMForSequenceClassification,16,5.496082,0.000656
cuda,M2M100ForConditionalGeneration,16,12.048117,0.001729
cuda,MBartForCausalLM,4,4.654984,0.000861
cuda,MBartForConditionalGeneration,2,12.329684,0.001331
cuda,MT5ForConditionalGeneration,16,7.336937,0.000876
cuda,MegatronBertForCausalLM,4,11.588797,0.001022
cuda,MegatronBertForQuestionAnswering,8,11.634562,0.001036
cuda,MobileBertForMaskedLM,64,18.964317,0.000536
cuda,MobileBertForQuestionAnswering,128,18.892250,0.000582
cuda,OPTForCausalLM,2,4.419336,0.000829
cuda,PLBartForCausalLM,8,2.644316,0.000500
cuda,PLBartForConditionalGeneration,4,7.492222,0.000958
cuda,PegasusForCausalLM,32,4.510819,0.000861
cuda,PegasusForConditionalGeneration,32,5.043851,0.000485
cuda,RobertaForCausalLM,16,5.583652,0.000577
cuda,RobertaForQuestionAnswering,16,5.497905,0.000578
cuda,Speech2Text2ForCausalLM,256,2.414557,0.000482
cuda,T5ForConditionalGeneration,4,5.207684,0.000663
cuda,T5Small,4,5.157830,0.000661
cuda,TrOCRForCausalLM,32,4.639602,0.000835
cuda,XGLMForCausalLM,8,8.965914,0.001675
cuda,XLNetLMHeadModel,8,10.702937,0.001590
cuda,YituTechConvBert,16,7.938660,0.000839
