dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,2.1210,24.4181,61.2607,1.1717
cuda,Background_Matting,4,1.2621,99.8742,66.3415,1.0481
cuda,LearningToPaint,96,1.0548,10.3857,43.3001,0.7463
cuda,Super_SloMo,6,1.2251,64.7343,39.5791,1.2222
cuda,alexnet,128,1.1713,8.3644,13.8564,0.9377
cuda,attention_is_all_you_need_pytorch,256,1.4457,36.7464,70.0944,1.1482
cuda,dcgan,32,0.8809,2.3773,6.7746,0.9998
cuda,demucs,4,1.0360,51.7429,26.7426,0.9976
cuda,densenet121,4,1.0315,48.6315,125.3678,0.8020
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,0,0.0000
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,0.9861,3.9177,9.7438,0.9687
cuda,fastNLP_Bert,6,1.4320,35.7205,43.8219,1.1593
cuda,functorch_dp_cifar10,64,1.3737,7.1771,56.4764,0.4424
cuda,hf_Albert,8,2.2041,30.9221,46.8118,1.2623
cuda,hf_Bart,4,1.4576,37.7659,54.4317,1.0083
cuda,hf_Bert,4,1.5535,25.7571,44.1111,1.0266
cuda,hf_Bert_large,4,1.5279,53.7448,71.4701,1.0726
cuda,hf_BigBird,2,1.6750,110.8121,116.3123,1.1423
cuda,hf_DistilBert,8,1.4293,21.9865,26.4078,1.0233
cuda,hf_GPT2,4,1.7545,27.5281,30.2328,1.1566
cuda,hf_GPT2_large,4,1.6738,124.9009,78.4937,1.1725
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.1611,70.7112,32.0864,0.9261
cuda,hf_T5,8,1.8799,95.3219,51.8302,1.2280
cuda,hf_T5_large,2,1.9267,112.4826,158.5988,1.1672
cuda,lennard_jones,1000,0.9674,1.5442,5.2341,1.0001
cuda,mnasnet1_0,32,1.0860,19.8659,107.6720,0.7784
cuda,mobilenet_v2,96,1.4887,31.6198,134.1596,1.1013
cuda,mobilenet_v3_large,32,1.1836,21.7708,139.9513,0.7757
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,1.0180,10.0392,9.4263,0.9711
cuda,phlippe_densenet,128,1.0123,22.5115,170.0939,0.8659
cuda,phlippe_resnet,128,1.0187,8.6989,32.4264,0.3395
cuda,pytorch_CycleGAN_and_pix2pix,1,1.7433,7.4132,37.6144,0.6004
cuda,pytorch_stargan,16,1.2155,11.8516,47.3753,0.8893
cuda,pytorch_struct,200,1.1382,4.0013,20.1390,0.7358
cuda,pytorch_unet,1,1.4080,28.3137,62.4889,0.9308
cuda,resnet152,32,1.0221,61.0483,98.3701,0.9408
cuda,resnet18,16,0.9976,8.7910,45.5055,0.6159
cuda,resnet50,32,1.0781,24.1771,64.8734,0.8818
cuda,resnext50_32x4d,8,0.9716,19.1453,51.8885,0.7704
cuda,shufflenet_v2_x1_0,128,1.2095,24.4897,81.0412,0.9647
cuda,soft_actor_critic,256,0.8996,1.9136,5.9723,0.9996
cuda,speech_transformer,32,1.6261,34.3389,71.0435,0.8690
cuda,squeezenet1_1,32,1.3104,7.5029,21.9974,0.9087
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,1.4515,90.2495,267.2419,0.9954
cuda,timm_efficientnet,32,1.1551,30.0291,137.3719,0.9409
cuda,timm_nfnet,128,1.4946,79.1952,62.9255,1.0728
cuda,timm_regnet,32,1.0404,55.7112,66.8612,0.9506
cuda,timm_resnest,32,1.6201,14.9518,98.2641,0.9665
cuda,timm_vision_transformer,32,1.3866,20.0689,45.0006,0.8835
cuda,timm_vision_transformer_large,32,1.0627,436.1750,111.4443,0.9724
cuda,timm_vovnet,32,0.9706,26.5700,59.0494,0.8869
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,1.0123,6.2580,4.7933,0.9973
cuda,vgg16,64,1.2606,52.5130,14.6622,0.9889
cuda,yolov3,16,1.1914,57.5877,111.7898,1.0170
