dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,0.9996,265.9959,2.0543,0.9980
cuda,AlbertForQuestionAnswering,4,0.9994,264.2086,2.0616,0.9979
cuda,AllenaiLongformerBase,4,0.9514,188.5564,9.5947,0.8935
cuda,BartForCausalLM,4,0.9989,113.6108,3.6630,0.9834
cuda,BartForConditionalGeneration,2,1.0017,137.0363,7.5663,1.0000
cuda,BertForMaskedLM,16,0.9959,110.2779,4.4086,0.9977
cuda,BertForQuestionAnswering,16,0.9961,95.9646,4.5420,0.9990
cuda,BlenderbotForCausalLM,4,0.9810,93.2736,6.6004,0.9935
cuda,BlenderbotSmallForCausalLM,64,0.9944,58.7542,2.7479,0.9832
cuda,BlenderbotSmallForConditionalGeneration,64,1.0019,109.1472,4.9244,1.0000
cuda,CamemBert,16,0.9970,118.6185,4.2607,0.9979
cuda,DebertaForMaskedLM,4,0.8686,68.2564,5.8190,0.9686
cuda,DebertaForQuestionAnswering,8,0.9667,78.0521,5.6603,0.9524
cuda,DebertaV2ForMaskedLM,1,0.8401,117.2162,11.8051,0.9874
cuda,DebertaV2ForQuestionAnswering,2,0.8366,122.6615,11.8976,0.9763
cuda,DistilBertForMaskedLM,128,0.9981,84.8252,1.6933,1.0000
cuda,DistilBertForQuestionAnswering,256,0.9984,103.4771,1.6141,1.0114
cuda,DistillGPT2,16,0.9980,105.7685,1.6437,1.0000
cuda,ElectraForCausalLM,32,0.9958,88.3675,4.4677,0.9978
cuda,ElectraForQuestionAnswering,64,0.9968,114.9158,4.2985,0.9982
cuda,GPT2ForSequenceClassification,4,0.9964,91.8049,3.1548,1.0001
cuda,LayoutLMForMaskedLM,16,0.9987,112.5978,4.1561,0.9977
cuda,LayoutLMForSequenceClassification,16,0.9984,97.7610,4.1903,0.9986
cuda,M2M100ForConditionalGeneration,16,1.0354,98.8798,7.6029,0.9994
cuda,MBartForCausalLM,4,0.9987,113.7551,3.6582,0.9820
cuda,MBartForConditionalGeneration,2,1.0020,137.0134,7.6474,1.0000
cuda,MT5ForConditionalGeneration,16,1.0087,89.8743,6.0582,0.9939
cuda,MegatronBertForCausalLM,4,1.0005,86.4297,8.5161,0.9991
cuda,MegatronBertForQuestionAnswering,8,0.9953,142.5907,8.5125,0.9987
cuda,MobileBertForMaskedLM,64,0.9959,165.9541,15.8383,0.9977
cuda,MobileBertForQuestionAnswering,128,0.9968,160.6459,15.8444,1.0118
cuda,OPTForCausalLM,2,0.9984,167.6849,3.4204,0.9912
cuda,PLBartForCausalLM,8,0.9983,115.1633,2.2517,0.9874
cuda,PLBartForConditionalGeneration,4,0.9976,117.9346,5.7893,0.9876
cuda,PegasusForCausalLM,32,0.9950,70.0127,3.4661,0.9742
cuda,PegasusForConditionalGeneration,32,0.9977,138.3202,4.6994,0.9977
cuda,RobertaForCausalLM,16,0.9964,115.2221,4.3281,0.9978
cuda,RobertaForQuestionAnswering,16,0.9966,95.8799,4.3470,0.9984
cuda,Speech2Text2ForCausalLM,256,0.9950,53.6700,2.0345,0.9692
cuda,T5ForConditionalGeneration,4,0.9958,104.6440,4.4087,0.9875
cuda,T5Small,4,0.9948,104.2498,4.3794,0.9875
cuda,TrOCRForCausalLM,32,0.9988,137.5101,3.5779,0.9723
cuda,XGLMForCausalLM,8,0.9753,84.6566,6.2074,0.9900
cuda,XLNetLMHeadModel,8,0.9986,272.8300,7.9674,1.0000
cuda,YituTechConvBert,16,0.9964,125.4746,6.0593,0.9953
