dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.0063,45.4228,2.8036,1.0000
cuda,Background_Matting,4,0.9995,183.0712,1.6959,1.0026
cuda,LearningToPaint,96,0.9956,13.7250,0.8259,0.9989
cuda,Super_SloMo,6,0.9992,118.9443,1.8296,1.0073
cuda,alexnet,128,0.9994,12.2693,0.2864,1.0004
cuda,attention_is_all_you_need_pytorch,256,0.9964,72.2461,2.5428,1.0021
cuda,dcgan,32,0.9690,1.8837,0.2754,1.0000
cuda,demucs,4,0.9998,75.0423,0.7177,0.9975
cuda,densenet121,4,1.0007,46.0441,4.4362,1.0000
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,1024,0.9932,3.7799,0.2868,1.0000
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,0.9798,2.2321,0.4435,1.0000
cuda,fastNLP_Bert,6,0.9925,59.6430,3.0015,1.0002
cuda,functorch_dp_cifar10,64,0.9991,7.9344,0.6988,1.0000
cuda,hf_Albert,8,0.9981,75.0396,1.7487,1.0000
cuda,hf_Bart,4,0.9940,54.2455,5.7380,0.9734
cuda,hf_Bert,4,1.0161,38.4052,3.9189,1.0000
cuda,hf_Bert_large,4,0.9939,92.6282,7.6192,1.0000
cuda,hf_BigBird,2,0.9799,189.5715,9.9405,0.9886
cuda,hf_DistilBert,8,0.9963,39.1062,1.3715,1.0000
cuda,hf_GPT2,4,1.0025,49.8595,2.7722,1.0000
cuda,hf_GPT2_large,4,0.9961,241.1536,8.5461,1.0000
cuda,hf_Longformer,2,0.9351,146.8595,8.9312,0.8600
cuda,hf_Reformer,4,0.9966,83.2698,2.2955,0.8974
cuda,hf_T5,8,0.9991,182.9453,4.1012,0.9762
cuda,hf_T5_large,2,1.0105,190.4594,16.4658,0.9771
cuda,lennard_jones,1000,0.9371,1.2312,0.2425,1.0000
cuda,mnasnet1_0,32,0.9957,25.7213,1.7688,1.0037
cuda,mobilenet_v2,96,0.9978,69.5725,1.7467,1.0001
cuda,mobilenet_v2_quantized_qat,96,1.0012,143.9908,2.3371,1.0002
cuda,mobilenet_v3_large,32,0.9982,26.0441,1.9676,1.0000
cuda,moco,32,0.9934,60.1379,24.5763,1.0024
cuda,nvidia_deeprecommender,256,0.9994,8.5695,0.2909,1.0002
cuda,phlippe_densenet,128,0.9981,24.3161,1.9212,1.0000
cuda,phlippe_resnet,128,0.9928,7.9164,0.8062,1.0000
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9915,12.2441,0.7342,1.0000
cuda,pytorch_stargan,16,0.9976,23.6230,0.7186,1.0000
cuda,pytorch_struct,200,0.9891,4.3682,0.4541,1.0000
cuda,pytorch_unet,1,0.9988,58.3602,0.9629,1.0005
cuda,resnet152,32,0.9982,82.6146,5.2296,1.0003
cuda,resnet18,16,0.9978,9.1136,0.8069,1.0003
cuda,resnet50,32,0.9982,38.1673,1.8454,1.0002
cuda,resnet50_quantized_qat,32,1.0014,89.3402,2.2544,1.0003
cuda,resnext50_32x4d,8,1.0005,19.5708,1.8917,1.0006
cuda,shufflenet_v2_x1_0,128,0.9981,33.2455,2.0074,1.0000
cuda,soft_actor_critic,256,0.9369,1.1434,0.2910,0.9999
cuda,speech_transformer,32,0.9930,47.7470,3.4591,0.9961
cuda,squeezenet1_1,32,0.9919,9.1993,0.5911,0.9997
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,0.9666,112.4148,16.0808,1.0160
cuda,timm_efficientnet,32,0.9519,38.2768,3.1794,1.0020
cuda,timm_nfnet,128,0.9985,194.2308,3.8868,0.9114
cuda,timm_regnet,32,0.9588,96.3094,4.2508,1.0002
cuda,timm_resnest,32,0.9967,31.1618,1.1438,1.0013
cuda,timm_vision_transformer,32,0.9988,29.4320,1.8202,1.0001
cuda,timm_vovnet,32,0.9047,41.4925,2.2742,1.0013
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.9933,9.2643,0.2587,1.0017
cuda,vgg16,64,0.9996,107.2205,0.3169,0.9999
cuda,yolov3,16,0.9989,99.2655,3.0695,0.9999
