dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.2489,309.6986,41.2061,0.7641
cuda,AlbertForQuestionAnswering,4,1.2537,306.2975,34.8411,0.7730
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.1298,109.5603,36.4289,0.8199
cuda,BartForConditionalGeneration,2,1.0978,135.8742,53.1069,0.8137
cuda,BertForMaskedLM,16,1.1769,114.6102,37.5180,0.9248
cuda,BertForQuestionAnswering,16,1.2634,87.8869,36.4632,1.0462
cuda,BlenderbotForCausalLM,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.0018,64.8205,29.3453,0.7385
cuda,BlenderbotSmallForConditionalGeneration,64,1.0749,111.3595,39.5158,0.8181
cuda,CamemBert,16,1.1771,115.6008,35.5696,0.9205
cuda,DebertaForMaskedLM,4,0.9776,61.5040,66.0966,0.5429
cuda,DebertaForQuestionAnswering,8,0.9902,83.0794,66.7046,0.4577
cuda,DebertaV2ForMaskedLM,1,0.8296,106.5463,107.7112,0.5506
cuda,DebertaV2ForQuestionAnswering,2,0.8322,127.1043,106.0259,0.4556
cuda,DistilBertForMaskedLM,128,1.0311,118.9378,27.9529,0.7997
cuda,DistilBertForQuestionAnswering,256,1.1421,126.9277,30.0076,0.9362
cuda,DistillGPT2,16,1.3749,87.5807,20.7717,0.8492
cuda,ElectraForCausalLM,32,1.3819,76.7440,55.1055,0.8096
cuda,ElectraForQuestionAnswering,64,1.4207,88.0607,40.8534,1.0554
cuda,GPT2ForSequenceClassification,4,1.6464,62.3964,26.8172,1.0180
cuda,GoogleFnet,16,1.4314,71.0976,32.6335,0.9087
cuda,LayoutLMForMaskedLM,16,1.1906,115.2765,41.3316,0.9199
cuda,LayoutLMForSequenceClassification,16,1.2832,88.8340,44.7455,0.9692
cuda,M2M100ForConditionalGeneration,16,1.0622,108.6213,87.6862,0.5720
cuda,MBartForCausalLM,4,1.1294,109.5853,36.3684,0.8210
cuda,MBartForConditionalGeneration,2,1.1025,136.1974,54.2946,0.8239
cuda,MT5ForConditionalGeneration,16,1.5550,56.0862,129.2943,0.8004
cuda,MegatronBertForCausalLM,4,1.1431,88.8882,62.0253,0.8346
cuda,MegatronBertForQuestionAnswering,8,1.1983,144.2504,59.8394,0.9116
cuda,MobileBertForMaskedLM,64,1.3987,87.2478,117.6455,0.6396
cuda,MobileBertForQuestionAnswering,128,1.2928,108.2517,113.1351,0.4659
cuda,OPTForCausalLM,0,0.0000
cuda,PLBartForCausalLM,8,1.2181,97.2976,27.4050,0.8331
cuda,PLBartForConditionalGeneration,4,1.2193,99.9658,44.5216,0.9403
cuda,PegasusForCausalLM,32,1.0004,85.6359,35.3103,0.7872
cuda,PegasusForConditionalGeneration,32,1.0263,168.1020,54.3673,0.8462
cuda,RobertaForCausalLM,16,1.2493,114.4845,38.1243,0.9247
cuda,RobertaForQuestionAnswering,16,1.2617,88.2954,33.7954,1.0462
cuda,Speech2Text2ForCausalLM,256,1.1014,58.3114,28.0514,0.7247
cuda,T5ForConditionalGeneration,4,1.2361,84.6691,51.7732,1.0232
cuda,T5Small,4,1.2353,84.4130,52.3478,1.0232
cuda,TrOCRForCausalLM,0,0.0000
cuda,XGLMForCausalLM,8,1.1471,69.8455,61.0743,0.6766
cuda,XLNetLMHeadModel,0,0.0000
cuda,YituTechConvBert,16,1.2016,128.9778,61.9907,0.8813
