dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,22.069666,20.250103,17.369833,11.814724,1.623584,21.684803,2.930915,1.445570,0.153708,3.438766,7.657289,15.076085
cuda,AlbertForQuestionAnswering,4,20.603044,18.781451,15.838089,10.251120,1.590349,18.812690,2.873962,1.415758,0.149840,1.172291,3.524478,11.467854
cuda,BartForCausalLM,4,22.080494,18.952076,15.876978,10.236488,1.612812,17.213848,2.597657,1.694821,0.201440,3.313317,1.884330,12.071681
cuda,BartForConditionalGeneration,2,39.338481,32.679192,29.611663,13.868045,3.983580,21.333837,7.598022,3.831891,1.074120,0.748582,0.468049,12.907688
cuda,BertForMaskedLM,16,23.291346,19.472591,16.351721,9.701835,1.716379,17.432136,2.959316,1.614409,0.275865,0.543523,6.623651,10.153582
cuda,BertForQuestionAnswering,16,22.635000,18.893661,15.771854,9.239717,1.693696,15.306170,2.924013,1.580917,0.274301,0.192228,5.991903,8.114683
cuda,BlenderbotSmallForCausalLM,64,16.540514,14.226803,11.048052,7.125214,1.121911,14.015764,1.894283,1.182919,0.138844,3.388560,2.421875,11.517474
cuda,BlenderbotSmallForConditionalGeneration,64,27.113914,22.482481,19.898041,9.378768,2.655299,15.563374,5.174956,2.643659,0.587614,1.497165,2.302067,10.608520
cuda,CamemBert,16,23.003239,18.997749,16.027247,9.512067,1.702022,15.584016,2.928531,1.601311,0.275423,0.544168,5.036129,8.482602
cuda,DebertaForMaskedLM,4,27.381882,22.392224,19.217406,13.156137,1.708213,20.803017,3.103674,1.818750,0.274562,15.275512,3.247857,24.899930
cuda,DebertaForQuestionAnswering,8,27.080426,22.144481,19.025720,12.997030,1.698421,21.398304,3.076144,1.804196,0.271813,16.849446,3.009428,27.217681
cuda,DebertaV2ForMaskedLM,1,37.499022,27.716347,24.605465,13.918724,2.174798,20.531497,3.495332,2.396105,0.528576,34.776282,1.385239,44.067644
cuda,DebertaV2ForQuestionAnswering,2,34.989142,25.379859,22.303951,11.708964,2.510079,18.697150,4.424439,2.945824,0.543074,35.018695,45.018295
cuda,DistilBertForMaskedLM,128,14.999908,13.538167,10.419455,7.062149,0.938066,11.157660,1.594904,1.061280,0.117622,3.421260,8.533510,8.538830
cuda,DistilBertForQuestionAnswering,256,14.407571,12.979403,9.950855,6.650685,0.938880,11.532262,1.806458,0.889932,0.114482,3.840891,10.522717,9.744301
cuda,DistillGPT2,16,13.973358,12.487245,9.471596,6.365612,1.005574,10.471032,1.916222,0.889230,0.105245,0.999578,2.064550,6.189344
cuda,ElectraForCausalLM,32,27.445499,23.675388,20.641976,14.067528,1.739631,26.776472,3.190235,1.703481,0.280644,1.919250,13.090492,16.532712
cuda,ElectraForQuestionAnswering,64,23.079632,19.331137,16.280266,9.721860,1.695628,19.223173,2.963200,1.816991,0.277617,0.190800,6.758697,11.550827
cuda,GPT2ForSequenceClassification,4,20.380608,17.549739,14.612386,8.728169,2.059168,11.870893,3.079736,1.598627,0.241980,0.269354,1.462612,5.621363
cuda,GoogleFnet,16,16.260703,14.425529,11.442980,8.214694,1.078373,15.869276,1.664566,0.900200,0.117644,3.852561,2.091696,12.699359
cuda,LayoutLMForMaskedLM,16,25.236918,21.599049,18.541893,11.929947,1.754307,19.312799,3.212939,1.656835,0.276596,3.015457,6.369776,12.322063
cuda,LayoutLMForSequenceClassification,16,24.507080,20.904003,17.802176,11.354093,1.745109,19.428670,3.165581,1.653324,0.274505,5.051068,8.243916,15.038089
cuda,M2M100ForConditionalGeneration,16,44.399431,35.596831,32.505867,17.351833,4.023885,29.100352,7.006005,4.317867,0.600533,15.777675,21.299140,31.968051
cuda,MBartForCausalLM,4,22.127862,18.980351,15.895854,10.273108,1.689544,16.950300,2.703318,1.762207,0.202764,3.306940,1.888599,11.841391
cuda,MBartForConditionalGeneration,2,40.561801,33.989699,31.032578,15.579766,4.076977,23.060217,7.992580,3.917069,1.046296,0.761977,0.419728,13.036620
cuda,MT5ForConditionalGeneration,16,39.103446,33.711131,30.630964,18.848299,3.150747,28.488164,4.936914,2.238110,0.396294,39.494502,76.162442,52.592228
cuda,MegatronBertForCausalLM,4,38.256614,30.596950,27.529787,14.870824,3.445402,22.466759,6.828328,3.226326,0.725297,1.866485,11.781378,13.236080
cuda,MegatronBertForQuestionAnswering,8,38.316607,30.628686,27.547914,14.721157,3.378975,22.950052,6.704739,3.158631,0.718153,2.350224,9.782916,14.288175
cuda,MobileBertForMaskedLM,64,52.851300,39.181700,35.663218,14.508906,4.923719,30.898982,9.537968,5.715551,2.394804,19.706590,40.957018,41.576272
cuda,MobileBertForQuestionAnswering,128,53.779333,40.218339,36.604205,15.624147,4.982338,33.241912,9.556955,5.700357,2.436918,16.004671,33.875644,39.162219
cuda,PLBartForCausalLM,8,17.527407,15.598273,12.726671,9.424533,0.924829,14.743986,1.509986,0.916766,0.106868,2.081702,1.630994,8.417820
cuda,PLBartForConditionalGeneration,4,29.086798,24.350301,21.285343,13.284951,2.238452,21.161768,3.498388,2.202197,0.288762,2.952957,2.236258,13.287886
cuda,PegasusForCausalLM,32,20.863239,17.832700,14.834723,9.049469,1.654520,15.676669,2.681389,1.740724,0.205069,3.897105,2.308311,12.349109
cuda,PegasusForConditionalGeneration,32,38.773452,35.041185,31.907458,16.584409,3.883102,25.384412,7.480046,3.923571,0.719140,2.173088,1.875927,15.247837
cuda,RobertaForCausalLM,16,25.601332,21.587401,18.562851,12.021651,1.722834,17.522592,3.248130,1.631841,0.278327,0.545495,5.427287,7.931958
cuda,RobertaForQuestionAnswering,16,22.640659,18.881025,15.844353,9.317039,1.679612,13.788773,2.903405,1.584167,0.272590,0.190468,4.697334,6.501861
cuda,Speech2Text2ForCausalLM,256,16.242336,14.514688,11.565760,8.535917,0.801337,14.195896,1.456379,0.891298,0.107888,2.395977,3.754255,8.944546
cuda,T5ForConditionalGeneration,4,29.863021,26.043692,23.000952,14.869812,2.103267,21.413662,3.376823,1.821894,0.267820,4.169119,11.211048,13.027612
cuda,T5Small,4,30.526550,26.667547,23.639238,15.327689,2.111496,21.915970,3.403792,1.836173,0.265977,4.155669,11.306241,13.067819
cuda,XGLMForCausalLM,8,33.288922,27.997776,24.954186,13.101466,3.749286,22.322850,6.013108,3.697045,0.421588,9.076698,5.561177,22.401016
cuda,YituTechConvBert,16,30.275957,24.643085,22.106177,11.603328,2.967906,21.663000,5.241667,2.545484,0.467441,1.037262,16.911546,14.313414
