dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.2533,310.1069,41.1459,1.2096
cuda,AlbertForQuestionAnswering,4,1.2550,307.3089,34.7173,1.2434
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,4,1.1670,105.7296,34.0723,0.9141
cuda,BartForConditionalGeneration,2,1.1193,132.8189,52.6786,0.9794
cuda,BertForMaskedLM,16,1.1920,113.0684,38.9567,0.9848
cuda,BertForQuestionAnswering,16,1.2637,87.9959,37.6419,1.0462
cuda,BlenderbotForCausalLM,4,1.0193,92.5122,51.8272,0.9928
cuda,BlenderbotSmallForCausalLM,64,1.0560,61.5199,27.7209,0.8426
cuda,BlenderbotSmallForConditionalGeneration,64,1.0953,108.9807,38.7549,0.9055
cuda,CamemBert,16,1.1922,114.2214,36.1401,0.9820
cuda,DebertaForMaskedLM,4,0.9183,65.5909,41.2509,1.0107
cuda,DebertaForQuestionAnswering,8,1.1189,73.3021,38.8470,1.1413
cuda,DebertaV2ForMaskedLM,1,0.6882,128.6170,49.3981,0.9879
cuda,DebertaV2ForQuestionAnswering,2,0.7832,135.2104,46.9504,0.9759
cuda,DistilBertForMaskedLM,128,1.0580,116.1557,27.9917,0.8955
cuda,DistilBertForQuestionAnswering,256,1.1414,127.4439,30.2047,1.0349
cuda,DistillGPT2,16,1.4303,84.5565,20.6838,0.9667
cuda,ElectraForCausalLM,32,1.4401,73.5825,55.6678,0.9090
cuda,ElectraForQuestionAnswering,64,1.4215,87.8923,41.8803,1.0554
cuda,GPT2ForSequenceClassification,4,1.6720,61.2524,27.2834,1.1472
cuda,GoogleFnet,16,1.5514,65.8274,27.0397,1.1410
cuda,LayoutLMForMaskedLM,16,1.2075,113.8139,41.5226,0.9833
cuda,LayoutLMForSequenceClassification,16,1.2793,89.0419,44.3163,1.0464
cuda,M2M100ForConditionalGeneration,16,1.1181,104.3177,84.3397,0.8903
cuda,MBartForCausalLM,4,1.1668,105.8616,33.5266,0.9142
cuda,MBartForConditionalGeneration,2,1.1180,133.5313,54.1146,0.9794
cuda,MT5ForConditionalGeneration,16,1.4552,60.3625,128.3655,0.9117
cuda,MegatronBertForCausalLM,4,1.1715,86.8008,62.4110,1.0257
cuda,MegatronBertForQuestionAnswering,8,1.2121,142.5694,60.9858,1.0459
cuda,MobileBertForMaskedLM,64,1.2738,94.7983,115.9718,0.8782
cuda,MobileBertForQuestionAnswering,128,1.2966,108.7476,111.6800,0.5584
cuda,OPTForCausalLM,2,1.7225,98.7212,30.0138,1.0940
cuda,PLBartForCausalLM,8,1.2850,93.3907,26.9204,0.9244
cuda,PLBartForConditionalGeneration,4,1.2487,97.4428,42.8698,0.9919
cuda,PegasusForCausalLM,32,1.0400,82.3761,32.9276,0.8902
cuda,PegasusForConditionalGeneration,32,1.0453,165.1990,54.5357,0.9645
cuda,RobertaForCausalLM,16,1.2659,113.1280,38.1545,0.9847
cuda,RobertaForQuestionAnswering,16,1.2681,88.1224,34.4079,1.0462
cuda,Speech2Text2ForCausalLM,256,1.1638,54.9301,25.7098,0.8187
cuda,T5ForConditionalGeneration,4,1.2531,83.5403,50.3238,1.0871
cuda,T5Small,4,1.2497,83.4799,50.2573,1.0871
cuda,TrOCRForCausalLM,32,1.0665,157.7676,32.1221,0.8833
cuda,XGLMForCausalLM,8,1.0625,75.7938,54.1629,0.9132
cuda,XLNetLMHeadModel,8,1.5300,245.2652,72.6011,1.0732
cuda,YituTechConvBert,16,1.2164,127.7167,62.6804,0.9434
