dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,35.699603,32.211612,28.900452,16.765971,4.510919,26.162368,8.873582,4.788540,0.570706,46.709981,105.407467,60.968230
cuda,beit_base_patch16_224,64,20.410424,18.068993,14.724456,9.523137,1.482161,15.787827,3.323388,1.786535,0.252204,0.777946,2.883883,8.670580
cuda,botnet26t_256,128,22.666063,20.626952,17.883682,13.053428,2.291656,18.735172,5.895935,2.427830,0.138041,27.636170,55.377369,35.745320
cuda,cait_m36_384,4,46.443581,38.795253,35.541974,16.498845,4.979683,33.153942,12.600333,7.323846,1.971338,7.751980,21.872608,30.301852
cuda,coat_lite_mini,128,22.920609,20.868174,17.560812,12.420193,2.017969,24.539322,6.740690,2.684075,0.213946,13.853964,39.931859,28.129112
cuda,convit_base,64,22.287232,20.031414,16.512282,10.309847,2.061188,18.490206,4.492467,2.179686,0.269643,6.247377,9.724174,16.656029
cuda,convmixer_768_32,32,19.453009,18.070285,14.850172,6.418590,2.784794,10.748586,2.590046,2.043122,0.281646,3.778873,11.136772,2.778182
cuda,convnext_base,64,21.203640,17.333273,14.665455,8.106962,2.914531,17.694858,4.657428,2.476704,0.471849,11.168601,16.441278,23.869127
cuda,crossvit_9_240,128,26.844675,23.613873,20.321330,11.615735,2.529402,23.844832,6.126631,3.033314,0.400272,22.407737,34.116307,37.393166
cuda,cspdarknet53,64,26.952814,23.127783,19.867074,11.014218,3.077106,17.590272,4.213071,2.759650,0.333030,26.358636,57.473539,36.258177
cuda,deit_base_distilled_patch16_224,64,17.614351,15.745842,12.449958,7.838944,1.228816,13.997192,2.755868,1.530481,0.201383,2.525843,3.589149,10.036506
cuda,dla102,128,34.818712,31.051962,27.677793,14.282789,4.727188,21.756534,7.155868,3.543403,0.559075,18.963300,42.401470,31.555482
cuda,dm_nfnet_f0,128,23.672948,19.900458,16.518410,8.339717,3.407543,16.382366,4.599906,2.070284,0.274654,25.435949,30.965200,37.105243
