dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,38.514885,34.860965,31.542003,17.991472,5.254606,28.027192,9.298358,5.080645,0.613920,46.149629,104.748885,61.822267
cuda,beit_base_patch16_224,64,22.178011,19.614635,16.273426,9.769683,1.895033,15.578067,3.706369,2.066779,0.294197,0.834164,3.234650,8.700472
cuda,botnet26t_256,128,25.940899,23.829082,20.479619,15.138572,2.413428,23.113046,6.143589,2.533142,0.148510,28.429838,55.446368,38.964224
cuda,cait_m36_384,4,56.053308,47.614063,44.265293,19.388398,6.212532,37.534304,16.141663,7.947296,2.372107,8.941706,22.825775,33.924514
cuda,coat_lite_mini,128,26.418053,24.136253,20.763059,14.281122,2.373058,27.686378,7.760431,3.223573,0.245521,13.796200,43.111547,29.733737
cuda,convit_base,64,23.612578,21.167426,17.800085,10.278991,2.147092,19.733819,5.375350,2.519306,0.314100,6.055775,9.551096,17.840034
cuda,convmixer_768_32,32,22.130472,20.559073,17.193865,7.379519,2.895493,12.665400,3.585824,2.113936,0.334576,3.651525,12.334160,2.879375
cuda,convnext_base,64,27.285351,23.178270,19.920129,11.158739,3.709808,22.536946,5.757450,3.080785,0.571970,13.548801,31.928889,28.878886
cuda,crossvit_9_240,128,30.596370,27.008408,23.715398,12.786550,2.975546,27.576981,7.392235,3.633770,0.499802,18.850000,33.827074,37.096146
cuda,cspdarknet53,64,30.426890,26.404341,23.091675,12.556288,3.944563,19.391214,5.020814,2.674612,0.357870,27.164521,57.363180,38.237514
cuda,deit_base_distilled_patch16_224,64,20.108909,18.042714,14.861689,8.812903,1.624282,20.797616,4.003714,1.923796,0.258592,2.401993,3.698188,16.156477
cuda,dla102,128,36.802172,32.760514,29.991379,14.767795,5.014031,22.162817,7.844234,3.939657,0.595044,18.608090,42.181993,31.692767
cuda,dm_nfnet_f0,128,25.524373,21.619694,18.746536,8.999683,3.506210,17.426100,5.500256,2.303733,0.297619,24.065520,29.705129,36.244279
cuda,dpn107,32,44.390225,37.954722,34.989575,17.104411,5.534864,26.554936,7.939452,4.430425,0.597635,16.435822,30.596694,32.201587
cuda,eca_botnext26ts_256,128,26.052779,23.804948,20.929424,14.793786,2.945542,22.255085,6.175680,2.802909,0.168587,31.594405,57.275029,42.172821
cuda,ese_vovnet19b_dw,128,18.215718,16.534154,13.165745,9.359562,1.489543,15.252727,3.460430,1.618060,0.127243,29.781601,53.599276,37.439369
cuda,fbnetc_100,128,28.749775,25.393826,22.036793,13.175094,3.166173,20.337604,4.968163,2.558558,0.323921,48.059587,102.594968,58.860112
cuda,fbnetv3_b,128,44.341974,38.748827,35.473548,18.555953,5.868793,28.843359,8.756171,4.643421,0.694042,56.955054,112.139814,73.545350
cuda,gernet_l,128,24.096326,20.711409,17.421646,9.530422,2.827322,14.586677,2.949847,1.896447,0.248483,25.699441,49.597796,33.795897
cuda,ghostnet_100,128,40.487622,35.212511,31.960896,18.633745,4.816300,31.155537,8.314078,4.232938,0.505288,104.391731,185.073976,122.098008
cuda,gluon_inception_v3,128,38.679726,35.041604,31.725395,18.200400,4.981450,28.403589,9.517772,5.045279,0.607796,48.440870,107.325736,64.002895
cuda,gluon_xception65,32,41.529256,36.690435,33.472151,15.312155,5.658362,22.235837,7.490944,3.682393,0.747933,17.089539,35.077431,30.479212
cuda,gmixer_24_224,128,27.835554,24.254800,20.969451,10.831686,2.728814,19.452676,5.820430,3.050413,0.459043,0.209579,6.821151,11.803478
cuda,gmlp_s16_224,128,28.521787,24.631903,21.345979,11.530686,3.052935,21.667236,6.126070,3.140300,0.497213,0.216142,13.074363,13.657301
cuda,hrnet_w18,128,104.883889,97.255501,93.904916,42.451547,18.939388,59.790648,27.261297,12.305021,5.115568,45.770589,94.211098,83.410343
cuda,inception_v3,128,38.747174,35.096406,31.783142,18.274240,4.953832,28.500984,9.463703,5.031415,0.605272,47.113799,104.783393,62.669826
cuda,jx_nest_base,32,35.385722,31.271354,27.849817,15.938658,4.188167,29.531228,10.737978,4.315706,0.666327,12.766516,24.775974,30.875913
cuda,lcnet_050,128,19.452449,17.820154,14.607635,9.481398,1.991535,14.798676,3.000620,1.523983,0.133882,44.380513,76.135716,51.818322
cuda,mixer_b16_224,128,17.945460,16.168803,12.991617,7.865557,1.406866,13.743081,2.235871,1.310984,0.170419,0.160784,6.110289,7.565752
cuda,mixnet_l,128,38.067115,32.538238,29.246711,16.614145,4.068358,26.922413,6.922836,4.000403,0.556331,67.285414,105.058885,82.270278
cuda,mnasnet_100,128,24.855393,22.195613,18.893345,11.814921,2.490175,17.963346,4.011408,2.073943,0.224699,44.972535,93.466644,53.808284
cuda,mobilenetv2_100,128,26.010595,23.276052,19.947807,12.357844,2.852280,18.405991,3.944788,2.308210,0.241436,45.797085,99.583070,54.910139
cuda,mobilenetv3_large_100,128,27.330341,24.557236,21.247023,13.392614,2.935511,21.953063,5.016876,2.670772,0.265685,69.171852,123.491120,80.878522
cuda,mobilevit_s,64,36.367488,32.841635,29.629677,20.155873,4.370388,36.753141,13.965282,6.089542,0.411599,55.696100,103.920886,77.143827
cuda,nfnet_l0,128,24.771389,21.379712,18.076893,9.187805,3.031811,17.928935,5.031097,2.234779,0.283676,31.846870,41.772182,43.848098
cuda,pit_b_224,64,22.504709,20.158485,16.753277,10.123359,2.079864,17.582973,4.236507,2.158720,0.283572,0.202419,12.168843,9.903568
cuda,pnasnet5large,16,73.739327,67.523155,64.055765,30.896158,11.096228,47.559350,21.563145,10.044050,2.005816,27.672004,50.483370,56.358980
cuda,poolformer_m36,64,38.133395,33.640309,30.418695,17.685861,5.688889,32.492418,14.519476,6.248415,0.629058,16.864819,34.038873,37.726533
cuda,regnety_002,128,24.373772,21.252956,18.006978,10.783008,2.526119,17.605719,3.886746,2.386023,0.255274,44.024733,74.405988,53.568632
cuda,repvgg_a2,128,24.196647,20.856674,17.585048,9.618923,2.932584,14.504473,3.360115,1.922676,0.227394,14.881677,28.597002,22.911846
cuda,res2net101_26w_4s,64,61.189383,54.551809,51.269145,24.029860,8.705935,35.284911,14.686462,7.157909,1.556288,29.234409,59.826227,49.914858
cuda,res2net50_14w_8s,128,55.228250,49.463820,46.200810,21.389938,7.786630,33.724600,13.462873,6.656928,1.286447,21.535136,39.975297,42.278966
cuda,res2next50,128,34.247016,30.969114,27.619388,14.663685,4.464697,22.972300,7.426593,3.864944,0.510469,18.029892,39.083091,31.155377
cuda,resmlp_12_224,128,16.611196,14.915255,11.764575,8.104054,1.021026,27.557924,2.167841,1.602010,0.146845,0.146483,7.788682,20.710240
cuda,resnest101e,64,55.048294,48.119361,44.870283,20.620737,7.235060,33.011345,12.449069,6.067238,1.239418,45.813590,83.180745,66.092283
cuda,rexnet_100,128,35.230947,31.533250,28.265435,18.036233,3.909475,30.582636,6.487070,3.237907,0.333265,151.736085,245.097784,168.475045
cuda,sebotnet33ts_256,64,31.325427,28.503452,25.137039,17.268315,3.606573,26.441154,8.356638,3.303754,0.230608,37.549093,61.775320,50.545462
cuda,selecsls42b,128,21.409952,19.837058,16.639465,10.767873,2.174571,18.014940,4.384814,2.115957,0.180181,28.882449,61.540877,38.463561
cuda,spnasnet_100,128,28.334027,25.050960,21.651008,12.969876,3.274155,19.685043,4.942780,2.478004,0.299009,50.343326,103.135361,60.580495
cuda,swin_base_patch4_window7_224,64,43.609142,38.006255,34.731817,19.350689,4.942225,39.497131,14.038102,6.530606,0.783754,24.904149,32.391900,50.385601
cuda,swsl_resnext101_32x16d,32,34.455651,30.622340,27.273380,12.539453,4.643346,18.798421,6.017187,2.977024,0.508082,7.754502,11.394102,19.320761
cuda,tf_efficientnet_b0,128,29.516417,26.216454,22.868929,13.821996,3.199321,22.698159,5.584440,2.734792,0.313521,68.836704,115.066594,81.397148
