dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,0.9985,386.0124,6.0783,0.9458
cuda,AlbertForQuestionAnswering,4,1.0002,383.0997,6.0717,0.9382
cuda,AllenaiLongformerBase,4,0.5885,422.3100,30.2122,0.8101
cuda,BartForCausalLM,4,0.9681,128.2692,8.1571,0.9067
cuda,BartForConditionalGeneration,2,0.9838,152.1838,19.0080,0.8824
cuda,BertForMaskedLM,16,0.9653,139.1559,8.7158,0.9392
cuda,BertForQuestionAnswering,16,0.9845,112.9793,9.0140,0.9306
cuda,BlenderbotForCausalLM,4,0.9249,106.2067,15.0788,0.9922
cuda,BlenderbotSmallForCausalLM,64,0.9052,71.6367,5.5281,0.8363
cuda,BlenderbotSmallForConditionalGeneration,64,0.9419,127.7523,12.5024,0.8954
cuda,CamemBert,16,0.9650,140.6954,8.6975,0.9372
cuda,DebertaForMaskedLM,4,0.7111,83.1060,10.7701,0.9598
cuda,DebertaForQuestionAnswering,8,0.9071,90.6794,10.6400,1.0300
cuda,DebertaV2ForMaskedLM,1,0.6158,144.7328,19.0435,0.9879
cuda,DebertaV2ForQuestionAnswering,2,0.7148,148.1126,19.0118,0.9729
cuda,DistilBertForMaskedLM,128,0.9496,128.5214,4.0903,0.8830
cuda,DistilBertForQuestionAnswering,256,0.9944,145.3571,4.0455,0.9594
cuda,DistillGPT2,16,0.9451,127.7340,3.8651,0.8755
cuda,ElectraForCausalLM,32,0.9334,113.8855,9.0334,0.8819
cuda,ElectraForQuestionAnswering,64,0.9877,126.8352,8.8728,0.9502
cuda,GPT2ForSequenceClassification,4,0.9620,107.4082,7.3842,0.8956
cuda,GoogleFnet,16,0.9682,105.1831,4.2998,0.9187
cuda,LayoutLMForMaskedLM,16,0.9743,140.9844,8.9865,0.9379
cuda,LayoutLMForSequenceClassification,16,0.9956,114.2451,8.6920,0.9308
cuda,M2M100ForConditionalGeneration,16,0.9634,127.7777,18.6682,0.9125
cuda,MBartForCausalLM,4,0.9689,127.7492,7.7889,0.9069
cuda,MBartForConditionalGeneration,2,0.9838,151.5646,17.8675,0.8820
cuda,MT5ForConditionalGeneration,16,0.8624,111.1288,15.6741,0.8684
cuda,MegatronBertForCausalLM,4,0.9800,103.5159,16.6372,0.9293
cuda,MegatronBertForQuestionAnswering,8,0.9821,175.6727,16.5688,0.9159
cuda,MobileBertForMaskedLM,64,0.8451,166.1771,33.0365,0.8247
cuda,MobileBertForQuestionAnswering,128,0.9371,166.2404,32.6787,0.9887
cuda,OPTForCausalLM,2,0.9197,182.3416,7.9153,0.9338
cuda,PLBartForCausalLM,8,0.9486,122.5916,4.5561,0.8876
cuda,PLBartForConditionalGeneration,4,0.9611,127.1053,11.3805,0.9322
cuda,PegasusForCausalLM,32,0.9528,89.8957,7.5078,0.8811
cuda,PegasusForConditionalGeneration,32,0.9762,176.8901,15.6759,0.9484
cuda,RobertaForCausalLM,16,0.9667,148.0266,9.1829,0.9389
cuda,RobertaForQuestionAnswering,16,0.9848,113.3465,8.9144,0.9306
cuda,Speech2Text2ForCausalLM,256,0.9252,69.7627,4.0000,0.8381
cuda,T5ForConditionalGeneration,4,0.8373,126.7572,11.1101,0.9582
cuda,T5Small,4,0.8281,126.5084,11.0946,0.9582
cuda,TrOCRForCausalLM,32,0.9584,174.2938,7.7608,0.8737
cuda,XGLMForCausalLM,8,0.8832,98.0056,15.5527,0.8976
cuda,XLNetLMHeadModel,8,0.9722,387.8722,22.3021,1.0000
cuda,YituTechConvBert,16,0.9664,160.8600,13.2511,0.9336
