dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,34.913547,31.432969,28.513419,16.610781,4.868877,24.820027,8.462301,4.784197,0.569538,105.601138,13.694055
cuda,beit_base_patch16_224,64,18.344037,15.955772,13.059216,7.775490,1.504157,13.120492,3.375435,1.784855,0.249528,2.876033,6.992620
cuda,botnet26t_256,128,23.201341,21.180175,18.396448,13.637340,2.272856,19.856636,6.091278,2.416209,0.136311,56.107560,8.626745
cuda,cait_m36_384,4,48.775114,39.778735,36.464876,16.015583,6.238664,31.180985,12.656174,6.632570,1.967690,21.210763,21.959900
cuda,coat_lite_mini,128,22.419763,20.015667,17.131618,11.933192,2.298638,23.296674,6.758845,2.728238,0.220814,39.592529,13.799365
cuda,convit_base,64,20.004959,17.783308,14.946135,8.931516,2.276051,16.210735,4.187065,2.154026,0.268399,9.357918,9.716669
cuda,convmixer_768_32,32,18.609017,17.249460,14.427272,6.145897,2.766257,10.171723,2.579485,2.002626,0.279463,7.027175,2.997406
cuda,convnext_base,64,23.762839,19.869360,16.001645,9.123785,3.180180,18.968395,4.401555,2.466257,0.467955,16.625459,13.228549
cuda,crossvit_9_240,128,25.957613,22.708302,19.744416,11.034940,2.527081,22.950684,6.094353,3.029989,0.403224,33.933941,14.927060
cuda,cspdarknet53,64,26.319048,22.131862,19.239763,10.681494,3.078834,16.830204,4.429259,2.389991,0.335443,57.471766,9.706570
cuda,deit_base_distilled_patch16_224,64,16.869267,14.792104,11.785653,7.286112,1.219238,13.420003,2.742651,1.506562,0.199263,3.590134,7.696273
cuda,dla102,128,34.330159,30.434915,27.315449,13.740402,4.744763,20.604397,7.115571,3.528028,0.549760,42.267945,12.391308
cuda,dm_nfnet_f0,128,23.474083,19.365695,16.282899,8.153714,3.199385,16.449135,4.853243,2.075465,0.272234,28.262211,11.972673
cuda,dpn107,32,42.752588,35.876329,32.171325,16.059342,5.009611,24.091072,7.178805,4.040253,0.549778,29.280191,13.769232
cuda,eca_botnext26ts_256,128,25.194688,22.835908,19.830906,14.479504,2.768824,20.846765,5.950159,2.615570,0.156832,64.173360,9.288695
cuda,ese_vovnet19b_dw,128,15.837355,14.256287,11.229138,8.047889,1.342449,13.643688,3.299813,1.464144,0.110670,52.728976,7.030919
cuda,fbnetc_100,128,25.589770,22.433671,19.403241,11.702876,3.050493,17.704510,4.228602,2.498859,0.285169,100.910972,9.277386
cuda,fbnetv3_b,128,37.460617,32.169966,29.232634,15.542914,5.648020,23.341651,7.104828,3.744324,0.632989,111.779600,13.827011
cuda,gernet_l,128,22.020261,18.480330,15.564464,8.658476,2.331382,13.901786,3.104981,1.704445,0.225509,50.482598,7.767342
cuda,ghostnet_100,128,35.824398,30.953523,28.017795,16.175571,4.106313,27.363955,7.494571,3.827492,0.484810,189.170453,15.919414
cuda,gluon_inception_v3,128,35.273534,31.517690,28.481201,16.652652,4.767209,25.463873,8.508579,5.031540,0.567095,104.516377,13.919066
cuda,gluon_xception65,32,37.723971,32.729753,29.664941,13.462889,5.709520,18.719938,6.184041,3.218275,0.693103,34.809430,11.424439
cuda,gmixer_24_224,128,23.246421,19.827603,16.832756,9.312666,1.942103,17.571476,5.140203,2.550824,0.395017,6.322891,10.396997
cuda,gmlp_s16_224,128,23.441494,20.324558,17.331522,9.833066,2.458749,18.992405,4.973674,2.642276,0.391230,13.395133,11.827214
cuda,hrnet_w18,128,92.808653,85.888511,82.849413,37.802981,16.439657,52.897925,24.462700,11.119363,4.859546,94.235857,32.733431
cuda,inception_v3,128,34.616403,31.182917,28.154879,16.198311,4.825039,25.244388,8.773130,4.733509,0.562261,108.762602,14.209898
