dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.8106,24.6798,55.5937,1.1114
cuda,Background_Matting,4,1.0526,173.9649,57.3063,1.0422
cuda,LearningToPaint,96,1.0602,12.9325,41.8459,0.8274
cuda,Super_SloMo,6,1.1360,104.6129,35.5785,1.3192
cuda,alexnet,128,1.1077,11.0903,13.2440,1.0004
cuda,attention_is_all_you_need_pytorch,256,1.0416,69.2266,63.9308,0.9451
cuda,dcgan,32,0.8130,2.1189,6.9034,0.9999
cuda,demucs,4,1.0304,72.7330,26.4753,0.9975
cuda,densenet121,4,0.9613,52.6767,120.0263,0.7296
cuda,dlrm,1024,1.0690,3.1532,6.1096,1.0010
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,0.9194,2.3492,7.3284,0.9801
cuda,fastNLP_Bert,6,1.3721,43.2894,36.8926,1.2176
cuda,functorch_dp_cifar10,64,1.2102,6.7336,52.0840,0.4230
cuda,hf_Albert,8,1.6267,46.7707,46.1720,1.1702
cuda,hf_Bart,4,1.2062,45.2540,43.3789,1.0392
cuda,hf_Bert,4,1.1301,34.5892,38.2181,0.9890
cuda,hf_Bert_large,4,1.1408,80.8728,60.4544,1.0278
cuda,hf_BigBird,2,1.5690,115.5562,104.0793,1.0398
cuda,hf_DistilBert,8,1.1616,34.1471,25.7716,0.9835
cuda,hf_GPT2,4,1.4254,36.5966,29.8350,1.1041
cuda,hf_GPT2_large,4,1.3551,177.2550,64.0881,1.1177
cuda,hf_Longformer,2,1.6568,83.4880,107.4576,0.8798
cuda,hf_Reformer,4,1.1444,72.3983,29.9074,0.8994
cuda,hf_T5,8,1.3699,133.2454,47.2543,1.1711
cuda,hf_T5_large,2,1.5108,129.5308,145.7979,1.1177
cuda,lennard_jones,1000,0.8825,1.4884,5.5787,1.0000
cuda,mnasnet1_0,32,1.0012,27.2039,100.5971,0.8721
cuda,mobilenet_v2,96,1.3469,51.5657,126.1446,1.2553
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.0827,26.0322,127.4504,0.9260
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9659,8.8690,9.1502,0.9844
cuda,phlippe_densenet,128,1.0317,23.6393,158.6305,0.9199
cuda,phlippe_resnet,128,1.0177,8.0270,28.5852,0.4791
cuda,pytorch_CycleGAN_and_pix2pix,1,1.2964,9.5282,30.4157,0.7115
cuda,pytorch_stargan,16,1.1886,19.8555,44.4887,1.0715
cuda,pytorch_struct,200,1.0245,3.6386,22.8515,0.7351
cuda,pytorch_unet,1,1.1407,51.1705,47.6035,0.9923
cuda,resnet152,32,1.0087,82.3032,89.0389,0.9673
cuda,resnet18,16,0.9656,10.1573,40.8846,0.6971
cuda,resnet50,32,1.1093,34.3557,59.3468,0.9337
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,0.9890,20.2813,47.6513,0.9203
cuda,shufflenet_v2_x1_0,128,1.1715,28.5357,74.5598,1.0656
cuda,soft_actor_critic,256,0.7560,2.1907,6.9151,0.9997
cuda,speech_transformer,32,1.4188,37.5498,66.1857,0.8435
cuda,squeezenet1_1,32,1.2079,8.1333,21.5912,0.9894
cuda,tacotron2,0,0.0000
cuda,timm_efficientnet,32,1.0608,34.8010,133.7447,1.0584
cuda,timm_nfnet,128,1.3803,139.8481,62.9262,1.1330
cuda,timm_regnet,32,1.0248,90.1573,62.1439,0.9823
cuda,timm_resnest,32,1.2885,24.1468,91.4486,1.0026
cuda,timm_vision_transformer,32,1.0933,26.7602,39.1408,0.9267
cuda,timm_vovnet,32,0.9690,38.8949,56.7425,0.9522
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,1.0035,10.0019,6.3182,1.0017
cuda,vgg16,64,1.1575,92.7048,14.7818,0.9999
cuda,yolov3,16,1.1262,88.3463,107.5438,1.1038
